Time(Iteration),CAB,CAB_original
0,4.95507394963,4.95507394963
1,9.04568103389,9.04568103389
2,11.9518575176,11.9518575176
3,15.4453999536,15.4453999536
4,18.958131771,18.958131771
5,22.0612527117,22.0612527117
6,25.4114971247,25.4114971247
7,28.1165973218,28.1165973218
8,30.556453325,30.556453325
9,33.3029291642,33.3029291642
10,35.5067079372,35.5067079372
11,38.1605299491,38.1605299491
12,40.8465152912,40.8465152912
13,43.0904008051,43.0904008051
14,45.5213727047,45.5213727047
15,47.2127739057,47.2127739057
16,49.0200086573,49.0200086573
17,51.1645433915,51.1645433915
18,52.6660815924,52.6660815924
19,54.8973398923,54.8973398923
20,56.5338452483,56.5338452483
21,58.8468237073,58.8468237073
22,61.1205919166,61.1205919166
23,63.0855543231,63.0855543231
24,65.3373696507,65.3373696507
25,66.946060071,66.946060071
26,68.3148823527,68.3148823527
27,69.9750567136,69.9750567136
28,71.6600272864,71.6600272864
29,72.9307370461,72.9307370461
30,74.4649743504,74.4649743504
31,75.8100891135,75.8100891135
32,77.5217203945,77.5217203945
33,78.8454408869,78.8454408869
34,80.0373220373,80.0373220373
35,81.0906984808,81.0906984808
36,82.1479812309,82.1479812309
37,83.3684283364,83.3684283364
38,84.7818558546,84.8695595572
39,86.0938113755,86.1815150781
40,87.3478291285,87.4274246997
41,88.3553789557,88.4349745269
42,89.1254649088,89.2036598191
43,89.896495407,89.9746903173
44,90.7034347897,90.7530920438
45,91.5890286859,91.6386859401
46,92.4740270941,92.5628363904
47,93.6010327983,93.6898420946
48,94.3229980334,94.4118073297
49,95.2037232253,95.314942489
50,95.8364516519,95.9805012322
51,96.6540304014,96.7980799817
52,97.6274087396,97.7714583199
53,98.2784539973,98.3751858159
54,99.3775221367,99.4416629623
55,100.299471935,100.335187188
56,100.788911007,100.82462626
57,101.510418687,101.54613394
58,102.144000489,102.179715742
59,103.1884382,103.224153453
60,103.587810163,103.623525416
61,104.395507738,104.439540232
62,105.398518831,105.442551325
63,105.900322744,105.967186473
64,106.415187554,106.503433791
65,107.147093271,107.504612615
66,107.858600486,108.463221073
67,108.616803422,109.173831262
68,109.068279352,109.625307192
69,109.900987114,110.535890383
70,110.730104487,111.369717213
71,111.491160893,112.199359267
72,112.44879823,113.297540157
73,113.137574181,114.0845288
74,113.690752052,114.711644878
75,113.965485389,115.078801529
76,114.804784063,116.021876041
77,115.269092257,116.671250838
78,115.942931965,117.345090545
79,116.439954632,117.844000117
80,116.761054354,118.165690639
81,117.485656958,119.006274791
82,118.055332503,119.65237703
83,118.895253952,120.549812092
84,119.260476129,120.906718433
85,119.911911233,121.778597094
86,120.398382214,122.380440474
87,121.000563212,122.990010667
88,121.422866633,123.491423156
89,122.123217946,124.271259242
90,122.824503695,124.972544991
91,123.244357074,125.466367816
92,123.655054013,125.952843844
93,124.112037395,126.581355147
94,124.702436878,126.993031469
95,125.03815061,127.332318184
96,125.583271063,127.88059727
97,125.858229366,128.249835556
98,126.19807721,128.701023324
99,126.657198517,129.309318814
100,127.300337918,129.952458215
101,127.661575582,130.41047018
102,128.464884427,131.275157222
103,128.837163796,131.649187298
104,129.043942966,131.855966467
105,129.34047444,132.297698563
106,129.915746094,132.888109557
107,130.410178497,133.589953513
108,130.539964194,133.785651186
109,131.010623851,134.395109186
110,131.429827432,134.990137106
111,131.858102499,135.440167137
112,132.174196655,135.756261293
113,132.510894325,136.196846789
114,132.802173584,136.587872841
115,133.326521927,137.112221184
