Time(Iteration),CAB_original,CAB_cbj+cbij,CAB_optimal,LinUCB
0,7.82083353152,6.29628297054,6.29628297054,5.99466604062
1,12.9470408169,10.4275080971,8.14717811855,11.2099414262
2,17.1598579716,13.1884793117,9.61977112544,16.5211205862
3,20.3048188472,16.5510880602,10.9470131624,20.1707062584
4,23.4183005001,18.8072629672,11.976206224,23.4440640572
5,26.3289185231,20.4761971028,12.7534759243,26.5775154486
6,28.0079357912,23.1373145929,13.5237611736,28.2367774076
7,31.067528618,25.6364195049,15.2252696991,30.3808021401
8,33.5729858022,28.146420508,16.8289256815,32.8776178415
9,35.2750160835,30.5222100367,17.9903154319,34.1629353626
10,36.898630133,32.2399895753,19.0874139134,36.4231852315
11,38.3058611917,34.7586016966,20.0025516479,37.5165305681
12,40.1761575606,36.5579379098,20.9637719991,38.4981308063
