Time(Iteration),CAB_full,CAB_cbj,CAB_original,CAB_cbij,LinUCB
0,6.39066242198,6.39066242198,6.50945484701,6.39066242198,6.55291893381
1,12.3684333714,12.4961578193,11.4236497411,12.707118925,13.1302466158
2,16.6582160547,17.3577187533,16.0543200619,17.5979635343,17.7653346906
3,20.6545111955,21.7819781816,20.5352346911,22.3362090433,22.1759055863
4,22.7920257681,23.6249445999,23.2184072196,24.0457927958,23.9554983744
5,25.5061661448,25.5895520904,25.1563587053,25.6144505768,26.1752433854
6,27.1719671834,27.7592461258,27.6031905473,27.5418660998,28.4973154432
7,29.3191900867,30.0246774211,29.4314616647,29.827810734,30.269717831
8,31.417233415,31.4121150685,30.47881501,31.3882891091,31.2409141507
9,33.832073522,33.1540931719,32.466933549,33.0742772615,32.3531052887
10,35.8540116019,35.0245114331,34.2308894411,34.6483489388,34.1114772053
11,37.2028684866,36.360763661,35.9081322365,36.4430847349,35.9830959722
12,39.3752980082,37.5193208118,36.7395991245,37.7023604849,37.8975517078
13,39.8546963121,38.527300925,37.1626559672,38.4064495493,38.6432415477
14,40.9713734244,39.5060724258,38.5714849582,39.9307886871,39.5533969362
15,41.6887103125,40.1258788607,39.0692281996,40.8747069014,40.380529369
16,42.7223568974,40.4951241091,39.5158570633,41.343147701,41.251435089
17,43.2156346774,41.2669089814,39.7224373544,42.7780886079,42.1881785229
18,44.7269423442,41.752402895,41.085139568,43.203676252,43.1815634228
19,45.6390194688,42.3635426701,42.1683448658,44.1591437397,43.8911948814
20,46.3011793556,43.2887420509,43.0430139172,45.1069568249,44.4377035136
21,46.5989202216,43.661884371,43.3433910643,45.3109602305,44.9206006445
22,47.3406863806,44.195645197,43.8058583875,45.6225363682,45.2693578169
23,48.5863719178,44.9184105805,44.1789681179,46.7379632655,45.7676936921
24,48.8473676919,45.0514220644,44.6021348914,47.0064419195,46.0131645204
25,49.0276852918,45.2542569812,45.0141440994,47.156683599,46.1988172222
26,49.4066670534,45.5147759776,45.4599470158,47.3454928194,46.4825323034
27,49.8136887727,46.0440456273,45.8493609249,47.6966426563,46.839210371
28,50.2353750623,46.3135446922,46.1899382296,48.0216262342,47.1435439208
29,50.8175077765,46.8752928447,46.3295837641,48.2896313694,47.5648474619
30,51.0445517739,47.0314486835,46.402960166,48.5384758223,48.0142958208
31,51.3294972295,47.3868942,46.5804170585,48.8097502155,48.2282931991
32,52.2572950852,47.8988716169,46.8255459241,49.3675760807,48.5792767993
33,52.4100737688,48.1758014525,46.9289586456,49.4384209689,48.7332564081
34,52.6408373801,48.309052733,47.0775322187,49.5960502905,48.9846569314
