Time(Iteration),CAB_true_increaseCoTheta,CAB_originalCoTheta,CAB_optimalCoTheta,LinUCBCoTheta,,,,,,
0,0.985692210382,0.986990569841,0.985692210382,0.985191091234,,,,,,
1,0.95538109697,0.965781024995,0.945678410113,0.950504390312,,,,,,
2,0.938472847927,0.931030848417,0.914587123965,0.924827687199,,,,,,
3,0.917612180056,0.914426236584,0.898793476203,0.902601926725,,,,,,
4,0.889747533676,0.893976124783,0.874170464289,0.873465692955,,,,,,
5,0.877467475981,0.876411236742,0.858219876255,0.858756690357,,,,,,
6,0.840745748385,0.849024284083,0.826558245067,0.830661551507,,,,,,
7,0.826173094148,0.839673309105,0.814849604758,0.814258735935,,,,,,
8,0.807753773681,0.817718691527,0.791314040925,0.797694678971,,,,,,
9,0.794075775868,0.79479535809,0.773315499849,0.779629703159,,,,,,
