Time(Iteration),CAB_true_increase,CAB_original,CAB_true_decrease,CAB_optimal,LinUCB
0,5.94283491384,7.42661868864,5.94283491384,5.94283491384,6.03205408103
1,10.0949902613,10.370388962,9.00299599832,9.00299599832,11.0935333002
2,15.5152157592,12.975249194,12.781049659,12.781049659,16.0447926571
3,19.573197221,15.552229499,15.1428829069,15.1428829069,20.0797334238
4,21.9633199813,16.884866853,17.3326854429,17.3326854429,22.3960336458
5,24.8494728342,18.9481539917,18.575127348,18.575127348,25.0971996063
6,27.0945157908,20.2347918572,19.9194593507,19.9194593507,26.6753253101
7,29.4341378119,23.0050503904,21.0842484388,21.0842484388,28.6361235277
8,31.3814435584,23.8680214728,21.8641452187,21.8641452187,30.4548478642
9,32.5388469883,25.3104868457,22.8401559323,22.8401559323,31.522265321
10,34.0515795353,26.2583222429,23.2165910791,23.2165910791,33.1691643977
11,35.3818951908,27.1172263209,24.3322930541,24.3803322245,34.3569526145
12,35.9907698111,28.8448365366,25.0252598601,25.1260331952,35.8002686805
13,36.4495735119,29.6934948713,25.3902049902,25.386931136,36.7501603653
14,37.3501032324,31.1060547114,26.2390941019,26.2525330971,37.4434561296
15,38.0832006424,32.273397418,26.4851568748,26.6473323461,38.2489429193
16,38.7138211557,32.6618053003,26.8007247743,27.1504533242,38.9519066644
17,39.1427691958,33.1262186658,27.2120017603,27.4820760323,39.4102179797
18,39.576566648,34.0112170176,27.6216389576,27.7921553279,40.6518786107
19,40.0039762145,34.9208749244,28.0276910011,28.1512633036,41.1872501406
20,40.8019091663,35.6833914495,28.4488906591,28.7646745604,42.0910261625
21,40.8456190456,36.2846245464,28.516414656,28.9734557251,42.3762828255
22,41.1398177316,36.7471274997,28.8318472678,29.1862543892,43.2328125449
23,41.2028145298,37.3717101045,29.0696797356,29.4057051824,43.7454159721
24,41.9004125919,38.4843940004,29.857705878,29.804230872,44.2924303011
25,42.3319574081,39.4039914066,30.1046200184,30.1254592817,44.7775118988
26,42.623083086,39.7630899778,30.3322879168,30.3371323406,45.1803443742
27,42.9785394613,40.2684714067,30.482786791,30.4940015595,46.0012128591
28,43.2372605498,41.1144076665,30.6688744123,30.7702704492,46.4063439386
29,43.3966814741,41.4580972352,30.8913429935,30.9799408634,46.6936519664
30,43.437193084,41.8249920275,31.0604378945,31.0487100833,46.7706461318
31,43.8170064255,42.6141812132,31.5519704963,31.4296481393,47.6534662848
32,44.0162993022,43.0683544462,31.8715037895,31.6240261832,48.204739812
33,44.2915257364,43.5159504631,32.1545192471,31.8251638478,48.624998199
34,44.3773575776,43.8169213217,32.42402073,31.935463147,48.8658768804
35,44.5247209491,44.1531355045,32.6095037041,32.0828265185,49.2650344408
36,44.6198309458,44.3169468418,32.6505283904,32.1617683255,49.4706609157
37,44.8954482793,45.1988290151,33.0730680993,32.3991643136,50.0895385859
38,44.9343776662,45.2635114845,33.1067685897,32.4272742451,50.1794553767
39,45.0468580666,45.4577141964,33.2332313242,32.5597592777,50.3039255196
40,45.5176096899,46.2137571242,33.7082024903,33.0193777354,50.9922050299
41,45.6219308196,46.425972681,33.856077019,33.1441088464,51.1647036258
42,45.6709489201,46.5339269052,33.8754990445,33.1635308719,51.2931793468
43,45.7797729246,46.9671187406,33.9296338027,33.2572759572,51.4378323321
44,45.9378095956,47.2356458416,34.1980307965,33.3172419641,51.7276618114
45,45.9668196844,47.5053600397,34.3588748314,33.3771943087,51.9810175841
46,46.1120151305,47.9755646948,34.6565072293,33.5912282098,52.5202996572
47,46.237758482,48.1669543223,34.9608291262,33.6510739297,52.6847674355
48,46.3007027261,48.3662742764,35.0338905421,33.7484582101,52.9040893874
49,46.4235341652,48.855417062,35.3395788573,33.9086492946,53.2753574903
50,46.4729337385,49.0503363626,35.5117002786,33.9827217036,53.4439190434
51,46.5200593936,49.2001374575,35.7816030901,34.0974044541,53.6874953409
52,46.8175990979,49.4564693138,36.0607844351,34.2954583211,54.2134477575
53,46.8367795925,49.51400486,36.1375004759,34.3382168928,54.4193204715
54,46.8386647064,49.7295159457,36.2911367585,34.352551709,54.4636097479
55,46.8940514028,49.7665241788,36.3680090262,34.4079384054,54.5987921892
56,47.2241271586,50.1724656328,36.580020634,34.7797298106,54.7806357539
57,47.4781296785,50.5382046681,36.8172415668,35.0849442079,55.0117752232
58,47.6911263163,50.8913702155,36.9662935302,35.2979408458,55.3495185319
59,47.7362407959,51.0674577136,37.0277848825,35.3430553253,55.6550977147
60,47.7602018681,51.3913172013,37.0323337507,35.3476041935,55.8157948351
61,47.8781498506,51.8824195525,37.0852622004,35.4035350809,56.1154716035
62,47.922177776,52.0319043566,37.1312334324,35.4331825188,56.2081735099
63,47.978466202,52.0828424919,37.1730911765,35.5042952993,56.4504197751
64,48.0826753094,52.4838324159,37.2785707579,35.5915035696,56.601855539
65,48.3168466616,52.6989212824,37.3830145066,35.7428123501,56.8753958778
66,48.3373668858,52.8688965514,37.4985132704,35.7633325743,57.0882729295
67,48.4570901603,52.8932689138,37.5071920282,35.7635328892,57.1991890748
68,48.528379745,52.971681753,37.5946864758,35.8082844299,57.3023397093
69,48.6364294394,53.1955409197,37.67192697,35.829031686,57.4604236302
70,48.7552660839,53.2394905357,37.7665881822,35.8391920486,57.7399070514
71,48.816505693,53.297116634,37.8006379245,35.8801139092,57.7975331497
72,48.8393399867,53.3954320418,37.8633724606,35.9317629161,57.8394384066
73,48.9381071737,53.6256580857,37.9907090593,36.0590995148,58.0458142824
74,48.9816189977,53.6913376092,38.019245628,36.0948366465,58.1051058847
75,49.1217826193,54.0147221718,38.1070015091,36.2324756851,58.1606619248
76,49.2599296843,54.1901685893,38.2378180567,36.3706227501,58.3885765997
77,49.3479305606,54.260432346,38.325818933,36.4586236264,58.4511649287
78,49.3818866276,54.3787696799,38.3521780248,36.4810779381,58.5878119798
79,49.3898267434,54.4137051372,38.3601181406,36.5075767724,58.6552631759
80,49.4716617021,54.5340841117,38.3912885932,36.5894117311,58.8274718349
81,49.5712543206,54.6046769928,38.4416939226,36.6112550696,58.987903362
82,49.6620063597,54.6223933302,38.4416939226,36.6873774205,59.0826563881
83,49.7047830849,54.6651700554,38.4966147023,36.7301541456,59.1690646045
84,49.7104999477,54.6719940074,38.5218040403,36.7365409569,59.1858842979
85,49.8042882811,54.6719940074,38.5266991524,36.8303292904,59.2947210026
86,49.8136790559,54.6995795769,38.5825599215,36.8397200652,59.370445541
87,49.8297704642,54.7156709851,38.59090287,36.8558114734,59.4915138591
88,49.8504857397,54.7810804192,38.6351681021,36.8765267489,59.6577713751
89,49.9093871715,54.8337993302,38.6769294064,36.9397659054,59.8644992651
90,49.9705067871,54.9047583697,38.6894256273,36.9831473074,59.978205956
91,50.0871045576,55.1243585793,38.8847520682,37.0997450779,60.0569346264
92,50.1055555444,55.1445167782,38.8908260887,37.1014531896,60.2002055625
93,50.1072785358,55.1445167782,38.9226347043,37.1014531896,60.4254028891
94,50.1441383569,55.1813765993,38.9382490925,37.10426115,60.4767366192
95,50.3023451415,55.339583384,39.1040624071,37.2700744647,60.6849130608
96,50.3974201973,55.4346584398,39.1931574817,37.2993182422,60.8187039724
97,50.4343979328,55.4417295609,39.2898757331,37.3362959778,60.8596187497
98,50.4421344339,55.4596988333,39.2976122341,37.3440324788,60.8775880222
99,50.4716388603,55.4869807251,39.3320497088,37.3509090641,60.9070924486
100,50.4716388603,55.5408453713,39.3331220054,37.3509090641,60.9965382894
101,50.5960471365,55.6347589055,39.4617223964,37.4225742921,61.1622401785
102,50.603812572,55.672047991,39.4669696243,37.4303397276,61.1745306373
103,50.6799143123,55.7662129263,39.4976529387,37.4610230419,61.2917579428
104,50.6983685298,55.7815276178,39.510005308,37.4794772594,61.3461684948
105,50.9823874927,56.0273727117,39.6960622473,37.6837201589,61.6306924083
