Time(Iteration),CAB_original,CAB_cbj+cbij,CAB_optimal,LinUCB
0,5.91272543867,7.08081214339,7.08081214339,7.32435503078
1,8.82764715618,10.4633362148,8.88354321841,12.693662412
2,14.1776667288,14.7270909021,11.5515481194,16.8733609484
3,17.3079603302,18.7250900775,13.2734164713,20.8221120206
4,20.0058450409,22.8529221323,14.5025821087,23.9896424569
5,22.311649606,27.0159806092,16.4597712944,26.9919405107
6,24.5051467394,30.5349782067,18.1364034521,28.9907093126
7,26.7669654337,35.0883680631,20.2924557798,31.8834404324
8,29.225644388,37.4015728107,22.0299651925,34.2088586782
9,30.5543796173,40.0177454427,22.9270653423,35.8903777644
10,33.0578547547,43.1775946547,24.3358489925,37.1310200989
11,33.7378567569,44.3436874986,24.8612817219,38.165126794
12,34.847009784,46.536053907,25.358724622,39.4409674045
13,36.3780788492,47.9519215274,26.2625389812,40.7178443834
14,37.2096188413,49.8643644711,26.8582121336,41.9208830014
15,38.8426452792,51.0223154878,27.7875474367,43.5101844355
16,39.7789078129,52.6351052726,28.2679804263,44.8619232055
17,40.797774068,53.7244159128,28.9366366226,46.3410600545
18,41.7961044323,54.8107102794,29.6492088224,46.9927487988
19,42.7952323086,55.7964489784,30.1813989899,47.4238511553
20,43.4878602437,57.3302503477,30.843784916,48.3295593647
21,44.4062355815,58.6581173277,31.4153264524,49.5057265345
22,45.024722298,59.1914633763,31.7944268036,50.0261130579
23,46.0910460759,60.2585818993,32.0692420253,50.6588596056
24,46.7929390644,61.1060005839,32.5950595092,51.1804081921
25,47.302644803,61.6367671968,33.0468191898,51.4345313255
26,47.6607306882,62.2100290229,33.1564743012,51.8333336193
27,48.1310469519,62.6047617043,34.0455985096,52.6755174452
28,48.462773021,63.4969077533,34.3620603913,53.3436221357
29,49.1309969907,64.0892080236,34.4788896141,54.1443936648
30,49.5946624171,64.4519254122,34.9375301402,54.8079235358
31,50.023811255,64.9328872308,35.2543830668,54.9112461756
32,50.1581072629,65.2945572298,35.5969317192,55.1408676862
33,50.9360196979,65.551987925,35.8072170089,55.536405636
34,51.6266766913,66.3316899236,36.0586530777,56.1186382848
