Time(Iteration),CAB
0,1.81180268837
1,3.56576603166
2,5.67918021789
3,7.17380554031
4,8.71105512014
5,10.0576588484
6,11.4173875724
7,12.6609659397
8,13.8830005656
9,14.8629192855
10,15.8082194715
11,17.00684033
12,17.9064162476
13,18.8958998712
14,19.5273533422
15,20.4306168957
16,21.2166663671
17,21.6651872438
18,22.2470320484
19,22.8779975058
20,23.5012107972
21,24.040265966
22,24.4241115226
23,24.9097652406
24,25.4104120467
25,25.8645685964
26,26.256490185
27,26.5039009818
28,26.9096190909
29,27.2601772161
30,27.7706382335
31,28.2663759357
32,28.4464921633
33,28.8726255932
34,29.3212788081
35,29.6427405441
36,29.9932669068
37,30.1973255366
38,30.4566430174
39,30.7663380017
40,31.0744187949
41,31.3139026185
42,31.5452226824
43,31.7848064177
44,31.9845929353
45,32.2994761311
46,32.5554030487
47,32.6726062473
48,32.8793107076
49,33.0753779427
50,33.2956998908
51,33.5919636484
52,33.7787988033
53,33.9761510581
54,34.1791545976
55,34.3017548764
56,34.4545401353
57,34.5473498
58,34.8156749556
59,34.9374477668
60,35.1265102479
61,35.2669679722
62,35.383609208
63,35.5685048713
64,35.6381763383
65,35.7751148031
66,35.943656368
67,36.1587531947
68,36.2446295723
69,36.3488805887
70,36.4404090124
71,36.5201362892
72,36.6026839377
73,36.7312049046
74,36.7933689238
75,36.9461690817
76,37.0095496988
77,37.1274729331
78,37.2102549684
79,37.3159166012
80,37.3852626473
81,37.510583382
82,37.7023744738
83,37.8126764393
84,37.8330362092
85,37.892199936
86,38.0930196163
87,38.2019279991
88,38.3915584542
89,38.5630040584
90,38.693046775
91,38.7426880639
92,38.962756971
93,39.034985346
94,39.1261467861
95,39.2166146641
96,39.2530348713
97,39.3763607143
98,39.436359227
99,39.6008639592
100,39.6723006739
101,39.7964212458
102,39.960367009
103,40.0420431137
104,40.1184334139
105,40.2193376137
106,40.3253777975
107,40.39600332
108,40.4750821298
109,40.5349370209
110,40.6227876798
111,40.6435700498
112,40.7623298217
113,40.9778304128
114,41.108562548
115,41.1861342824
116,41.305299175
117,41.3411323746
118,41.4779887604
119,41.6743724703
120,41.7426858463
121,41.8136471065
122,41.9073961052
123,41.9098920324
124,42.0716144443
125,42.1302885408
126,42.2342446946
127,42.297278419
128,42.3727969776
129,42.4512143914
130,42.5439312723
131,42.6234703268
132,42.7539948081
133,42.8638566595
134,42.9337629369
135,43.090455376
136,43.1616526783
137,43.2479198531
138,43.3482325944
139,43.3986959201
140,43.4864306143
141,43.5705907083
142,43.7043739175
143,43.7520115345
144,43.8249174492
145,43.8887688846
146,43.9857089072
147,44.1638356207
148,44.2653554002
149,44.3360060363
150,44.398668373
151,44.4493108696
152,44.4599803033
153,44.5954375859
154,44.6226380044
155,44.7437633515
156,44.8298924212
157,44.8544099609
158,44.967248754
159,45.0446977909
160,45.1832767341
161,45.2190428069
162,45.3289601729
163,45.3650714164
164,45.4708505246
165,45.5557055756
166,45.5931712801
167,45.6751987512
168,45.735048655
169,45.8680900314
170,45.9211196705
171,46.0266474801
172,46.1004508868
173,46.1414486755
174,46.2248716921
175,46.2987811168
176,46.3777282939
177,46.4527167576
178,46.5097839904
179,46.6649076708
180,46.724145675
181,46.8073396007
182,46.8669790004
183,46.9153418578
184,46.9943069594
185,47.146698655
186,47.2089304227
187,47.2555390079
188,47.3319416179
189,47.3810508022
190,47.5408908483
191,47.6421274697
192,47.7074505855
193,47.8090923112
194,47.8768335117
195,47.9286544538
196,48.0225738327
197,48.0809949859
198,48.1310043462
199,48.1912384285
200,48.2507860642
201,48.3595042219
202,48.3706180668
203,48.479197348
204,48.5898434363
205,48.6334724478
206,48.7103896302
207,48.7303886573
208,48.8389293747
209,48.9392698703
210,49.031789556
211,49.1069629239
212,49.2224122909
213,49.3263328722
214,49.3915885904
215,49.4199244521
216,49.5357917697
217,49.6422172916
218,49.7238744027
219,49.8026234468
220,49.8901183783
221,49.9639480982
222,50.0595627514
223,50.0901693459
224,50.2287627786
225,50.3743912815
226,50.4753290798
227,50.5200409984
228,50.5213565016
229,50.5551438941
230,50.5931946851
231,50.6824138775
232,50.781780768
233,50.8422047109
234,50.8484410637
235,50.9193880478
236,50.9814844219
237,51.0135076993
238,51.0982087498
239,51.1946078305
240,51.2600871117
241,51.3779419039
242,51.4965055366
243,51.528843708
244,51.6474045472
245,51.6859400769
246,51.7171288885
247,51.8420641461
248,51.9263431043
249,52.0198209494
250,52.1187726837
251,52.2271138023
252,52.2667328507
253,52.3683403525
254,52.4122105554
255,52.4658867341
256,52.498103967
257,52.5385875081
258,52.6068872277
259,52.7326807089
260,52.7960593486
261,52.8604957913
262,52.9032699714
263,53.0113050508
264,53.0708050516
265,53.1707255911
266,53.2322748429
267,53.312944714
268,53.411887959
269,53.4527706973
270,53.5233563441
271,53.5628016526
272,53.645037931
273,53.7828402413
274,53.8660040904
275,53.9736247325
276,54.076125247
277,54.1045761708
278,54.1980330361
279,54.2391226084
280,54.3392133953
281,54.4883263631
282,54.6141264868
283,54.6733938511
284,54.734114972
285,54.7644890801
286,54.8112820538
287,54.8825808267
288,54.9268988566
289,55.0201026618
290,55.0810555134
291,55.1410552365
292,55.2033140562
293,55.2858588637
294,55.3329321135
295,55.4728178494
296,55.5459215841
297,55.6200787058
298,55.6458798958
299,55.7229319908
