Time(Iteration),CABCoTheta,CAB_originalCoTheta,,,,,,
0,0.303640990334,0.303640990334,,,,,,
1,0.293875029813,0.293875029813,,,,,,
2,0.290152907653,0.290152907653,,,,,,
3,0.286670235368,0.286670235368,,,,,,
4,0.279347825752,0.279347825752,,,,,,
5,0.275876577862,0.275876577862,,,,,,
6,0.271657003963,0.271657003963,,,,,,
7,0.267360977966,0.267360977966,,,,,,
8,0.259920277312,0.259920277312,,,,,,
9,0.255755193514,0.255755193514,,,,,,
10,0.250809787157,0.250809787157,,,,,,
11,0.244028043764,0.244028043764,,,,,,
12,0.240536184344,0.240536184344,,,,,,
13,0.236646613267,0.236646613267,,,,,,
14,0.233710465613,0.233710465613,,,,,,
15,0.22846873108,0.22846873108,,,,,,
16,0.224291184893,0.224291184893,,,,,,
17,0.222431993773,0.222431993773,,,,,,
18,0.218560119895,0.218560119895,,,,,,
19,0.214292348181,0.214292348181,,,,,,
20,0.212182883871,0.212182883871,,,,,,
21,0.20934718481,0.20934718481,,,,,,
22,0.207107745084,0.207107745084,,,,,,
23,0.204443032571,0.204443032571,,,,,,
24,0.202716204827,0.202716204827,,,,,,
25,0.197951159441,0.197951159441,,,,,,
26,0.195678252965,0.195678252965,,,,,,
27,0.191912408936,0.191912408936,,,,,,
28,0.188699260507,0.188699260507,,,,,,
29,0.183039667663,0.183039667663,,,,,,
30,0.181877953178,0.181877953178,,,,,,
31,0.180666703478,0.180666703478,,,,,,
32,0.178756752945,0.178756752945,,,,,,
33,0.177940946839,0.177940946839,,,,,,
34,0.176138754637,0.176138754637,,,,,,
35,0.173508133167,0.173508133167,,,,,,
36,0.172683536332,0.172683536332,,,,,,
37,0.1667491359,0.1667491359,,,,,,
38,0.164674751649,0.164674751649,,,,,,
39,0.161191383018,0.161178663216,,,,,,
40,0.158867655404,0.158996058664,,,,,,
41,0.157963390167,0.158100566985,,,,,,
42,0.155467900564,0.155608024177,,,,,,
43,0.154264321463,0.154396040969,,,,,,
44,0.153787015666,0.153903529228,,,,,,
45,0.152743390778,0.152845724945,,,,,,
46,0.150979962082,0.15108253236,,,,,,
47,0.150335622878,0.150434432522,,,,,,
48,0.148593493891,0.148697600856,,,,,,
49,0.1477009391,0.147845558972,,,,,,
50,0.146912599776,0.147068397543,,,,,,
51,0.146012352112,0.146162821715,,,,,,
52,0.145356681788,0.144710850328,,,,,,
53,0.143806484893,0.143008024108,,,,,,
54,0.141702922848,0.140881559063,,,,,,
55,0.140521140369,0.139853605769,,,,,,
56,0.140043760158,0.13942292988,,,,,,
57,0.13937971451,0.139204220443,,,,,,
58,0.139219031712,0.1392335021,,,,,,
59,0.138517068072,0.13846602248,,,,,,
60,0.137285371722,0.136523585311,,,,,,
61,0.137298073982,0.136146040104,,,,,,
62,0.136846087003,0.135712877465,,,,,,
63,0.136759803168,0.135499028756,,,,,,
64,0.136324327975,0.134894230685,,,,,,
65,0.136266971346,0.134965256685,,,,,,
66,0.136234862889,0.134844061293,,,,,,
67,0.134015129594,0.133842108773,,,,,,
68,0.133134162852,0.13311817772,,,,,,
69,0.132035372104,0.131938226176,,,,,,
70,0.131671803866,0.131345734999,,,,,,
71,0.131579120581,0.129938678802,,,,,,
72,0.131108211424,0.12853306566,,,,,,
73,0.130268754975,0.128256253426,,,,,,
74,0.129273653732,0.127643623799,,,,,,
75,0.128931622663,0.127511963624,,,,,,
76,0.128302621187,0.126704488442,,,,,,
77,0.128224829056,0.126520213331,,,,,,
78,0.127618691848,0.126002811375,,,,,,
79,0.126912556109,0.125309140733,,,,,,
80,0.126611220989,0.124843436231,,,,,,
