Time(Iteration),CAB,CAB_original
0,6.98204795778,4.77971825415
1,12.1466405519,6.98523633943
2,14.1685222963,9.8160382492
3,16.9789811282,11.8020352589
4,18.5278252355,13.4338169875
5,21.233573098,15.338877398
6,23.4110399873,16.7772203193
7,25.8677638067,18.1063458848
8,28.1122686606,19.9467206305
9,30.2781796051,20.8633180602
10,32.4499463193,22.2747106638
11,33.8136214018,23.2029239058
12,35.3574823867,24.4307909786
13,37.2413603327,25.5253894774
14,38.3468599183,26.2234908115
15,39.3152619264,26.7432108523
16,40.5885167333,27.2606540774
17,41.7314479744,27.6886285823
18,43.0437609926,28.6014746083
19,44.3661110728,29.0103530376
20,45.6439790649,29.2898621618
21,47.1422704219,29.8442285692
22,48.20585568,30.1888474086
23,48.9146521771,30.3327655521
24,49.543388193,30.5744426104
25,51.2782941047,30.9944869943
26,52.5462765897,31.2998327015
27,52.8894041164,31.7930859119
28,53.7917253216,32.1119780066
29,54.4871380395,32.3070279707
30,54.8591572768,32.4283128756
31,55.3810927769,32.8492471999
32,56.1928081842,33.2720215201
33,56.8218400252,33.5694791329
34,57.6051375463,34.2145700421
35,57.8806023946,34.4815450838
36,58.1982864745,34.6262042935
37,58.7114262418,35.2178240546
38,59.5601485498,35.7181222005
39,59.7600265285,35.8692504485
40,60.5420854628,36.0237794443
41,60.7385817931,36.3763275802
42,61.2043843236,36.8641366162
43,61.3839329586,36.8686703379
44,61.9842781639,37.0418372905
45,62.3960145134,37.2831361709
46,62.6988288204,37.4759195916
47,63.1029517926,37.8548458652
48,63.4838834076,37.8719693507
49,63.9879799213,38.0934448307
50,64.1723643107,38.2765229526
51,64.538723618,38.4387389659
52,64.9388451172,38.5578587692
53,65.1504797221,38.627294367
54,65.5578945556,38.9073605941
55,66.0428421468,38.9696361341
56,66.2438103132,38.9819102969
57,66.5743253527,39.0141870009
58,66.9123698278,39.0745759637
59,67.0369033498,39.1723877116
60,67.3030415896,39.3304580374
61,67.5788148385,39.5014263341
62,67.8035922781,39.5918982904
63,68.5181573537,39.6225260788
64,68.7641712187,39.8367914871
65,69.0069984864,40.0790178567
66,69.104458593,40.1001335301
67,69.3893804524,40.2361784278
68,69.6383309891,40.4437073211
69,70.1544320574,40.6111492923
70,70.4197690801,40.7824288716
71,70.9709453052,40.9240838793
72,71.2152494033,40.9473906442
73,71.5635204545,41.0333417053
74,71.8184256125,41.1173934963
75,72.3297058161,41.1392575461
76,72.5007335342,41.2610133227
77,72.8417143673,41.5491233454
78,73.0510732703,41.5655554703
79,73.2788104604,41.5963470876
80,73.3439330893,41.6086442524
81,73.6880276294,41.6086442524
82,73.8579695922,41.8175397443
83,74.1493157147,41.9047074476
84,74.2122158881,41.9114864279
85,74.2939759815,41.9509097824
86,74.4405124636,42.0184919448
87,74.8940354534,42.0886144731
88,75.0762514846,42.1870648196
89,75.150694867,42.2087053321
90,75.2197372496,42.3447201775
91,75.4992136027,42.3544707313
92,76.1433200974,42.5664570035
93,76.4416264502,42.6218462012
94,76.5341910891,42.6464017199
95,76.7992151757,42.7143495794
96,76.7992151757,42.7203159238
97,76.9849773621,42.7427961712
98,77.2622230453,42.7438404397
99,77.4274077922,42.8284251615
