Time(Iteration),CAB_originalCoTheta,CAB_cbj+cbijCoTheta,,,,,,
0,0.985107009996,0.983279773617,,,,,,
1,0.962953485939,0.964405722126,,,,,,
2,0.931415875119,0.94469063561,,,,,,
3,0.902349145879,0.92888854808,,,,,,
4,0.877918088234,0.89724283918,,,,,,
5,0.853047049903,0.876038790262,,,,,,
6,0.827165916171,0.853059618586,,,,,,
7,0.804179189396,0.836544343973,,,,,,
8,0.782931475059,0.812735535787,,,,,,
9,0.764915461781,0.786006748067,,,,,,
10,0.746639562911,0.758079287971,,,,,,
11,0.729523973467,0.739890785024,,,,,,
12,0.703553053988,0.725313015598,,,,,,
13,0.688249937924,0.711830981589,,,,,,
14,0.669619997672,0.685785765693,,,,,,
15,0.661087967891,0.677428702272,,,,,,
16,0.644295397068,0.671968807899,,,,,,
17,0.636318965439,0.663251147474,,,,,,
18,0.623731556437,0.649523360781,,,,,,
19,0.614774090594,0.637419044755,,,,,,
20,0.60570935288,0.628488441948,,,,,,
21,0.601413241494,0.612540667367,,,,,,
22,0.591235423967,0.596000638513,,,,,,
23,0.58434540058,0.588900503071,,,,,,
24,0.575340201692,0.579204571385,,,,,,
25,0.570467031175,0.568952416812,,,,,,
26,0.557059465803,0.560137448854,,,,,,
27,0.554611635778,0.551259866809,,,,,,
28,0.549913748754,0.545626547897,,,,,,
29,0.545528781759,0.539161370159,,,,,,
30,0.539539569694,0.532029009055,,,,,,
31,0.534911054813,0.524949503896,,,,,,
32,0.53188193203,0.518031978701,,,,,,
33,0.527827406487,0.51239291406,,,,,,
34,0.523051830514,0.505714248035,,,,,,
35,0.520253232163,0.501361008593,,,,,,
36,0.516503217358,0.494476874626,,,,,,
37,0.511031826896,0.491939558613,,,,,,
38,0.506120096627,0.48827665649,,,,,,
39,0.502278139089,0.485072707153,,,,,,
40,0.496964024304,0.479736972667,,,,,,
41,0.492412488385,0.471095863198,,,,,,
42,0.482988604843,0.464150153845,,,,,,
43,0.47673522375,0.461382428854,,,,,,
44,0.473138316339,0.4572403357,,,,,,
45,0.470850138049,0.452718168363,,,,,,
46,0.468660174539,0.450685606712,,,,,,
47,0.466897602917,0.446845857819,,,,,,
48,0.463774641827,0.443740640689,,,,,,
49,0.455380818812,0.439584834333,,,,,,
50,0.443614665263,0.437745288092,,,,,,
51,0.441480744765,0.436063231968,,,,,,
52,0.438939902669,0.433867793953,,,,,,
53,0.437068020163,0.431166501237,,,,,,
54,0.435500092672,0.429485178559,,,,,,
55,0.434103762363,0.423379863015,,,,,,
56,0.431203872174,0.421942226803,,,,,,
57,0.427730689655,0.418715265729,,,,,,
58,0.426252624849,0.417319440498,,,,,,
59,0.422303913295,0.41600450974,,,,,,
60,0.420689321989,0.414228357584,,,,,,
61,0.418467351762,0.410962413167,,,,,,
62,0.416335735641,0.409537508653,,,,,,
63,0.414239763716,0.408355105937,,,,,,
64,0.412588147452,0.406019897164,,,,,,
65,0.409972305844,0.404182563994,,,,,,
66,0.409512549278,0.402520002,,,,,,
67,0.407604398723,0.400716957802,,,,,,
68,0.40681102736,0.399538933554,,,,,,
69,0.404629286001,0.395501956065,,,,,,
70,0.398533838205,0.391008534348,,,,,,
71,0.392945274961,0.38453536471,,,,,,
72,0.393047010968,0.384080490375,,,,,,
73,0.39070382771,0.381661426013,,,,,,
74,0.38839922239,0.37671107831,,,,,,
75,0.38612305515,0.375524597422,,,,,,
76,0.384902515873,0.372307489601,,,,,,
77,0.38393522876,0.3712003056,,,,,,
78,0.383235388465,0.369448038661,,,,,,
79,0.379676894728,0.364901159522,,,,,,
80,0.378343002276,0.364196624006,,,,,,
81,0.372554877276,0.362382828232,,,,,,
82,0.371531414788,0.361663955144,,,,,,
83,0.370175463494,0.360909102146,,,,,,
84,0.369457442427,0.360001100231,,,,,,
85,0.367879483383,0.358702184907,,,,,,
86,0.365656232142,0.356040433776,,,,,,
87,0.360139273057,0.348783179122,,,,,,
88,0.359732883157,0.347964991883,,,,,,
89,0.357642097467,0.344613773394,,,,,,
90,0.356137618054,0.341238997144,,,,,,
91,0.355475683433,0.339949566254,,,,,,
92,0.355004905683,0.339551803851,,,,,,
93,0.355093068385,0.338861277692,,,,,,
94,0.354465600113,0.337079607953,,,,,,
95,0.352454658668,0.333696344173,,,,,,
96,0.352325219426,0.333430471558,,,,,,
97,0.351687146106,0.332608026898,,,,,,
98,0.348019275333,0.329136714635,,,,,,
99,0.345302376014,0.324825176625,,,,,,
100,0.340302332801,0.31701676005,,,,,,
101,0.338807901004,0.314624092946,,,,,,
102,0.338197405863,0.314255958258,,,,,,
103,0.336910800432,0.313262192445,,,,,,
104,0.336967876133,0.312910592196,,,,,,
105,0.33554612407,0.31169960316,,,,,,
106,0.332798734173,0.310981304041,,,,,,
107,0.332300897296,0.310930663315,,,,,,
108,0.326248193205,0.3093783081,,,,,,
109,0.325692593517,0.308201345246,,,,,,
110,0.324305493011,0.306630432881,,,,,,
111,0.321599603865,0.304791227345,,,,,,
112,0.319583655207,0.303124386457,,,,,,
113,0.319150848615,0.302497702508,,,,,,
114,0.317331723192,0.29980677727,,,,,,
115,0.316827778893,0.298250081472,,,,,,
116,0.316637453874,0.298185341765,,,,,,
117,0.316030527455,0.297956560686,,,,,,
118,0.310221749804,0.296193037736,,,,,,
119,0.307662681852,0.29308263848,,,,,,
120,0.307667401664,0.292797740192,,,,,,
121,0.306353412401,0.292574759784,,,,,,
122,0.302942791813,0.287308067211,,,,,,
123,0.301445091651,0.285536173068,,,,,,
124,0.299466894855,0.283714667364,,,,,,
125,0.297721178768,0.282585273172,,,,,,
126,0.297198646344,0.282526433851,,,,,,
127,0.295126339989,0.281726848409,,,,,,
128,0.294469732142,0.281062133703,,,,,,
129,0.294743264092,0.281027156875,,,,,,
130,0.293711005384,0.27968239898,,,,,,
131,0.292597440155,0.279050666284,,,,,,
132,0.290144831228,0.271122451192,,,,,,
133,0.289544104825,0.270591854223,,,,,,
134,0.289070015328,0.269013325148,,,,,,
135,0.286890056166,0.267129688745,,,,,,
136,0.286954907181,0.26368626791,,,,,,
137,0.286387312289,0.263471882631,,,,,,
138,0.28031585868,0.259985636756,,,,,,
139,0.279637552343,0.258935007216,,,,,,
140,0.278504156516,0.258533947234,,,,,,
141,0.27743975732,0.251210013477,,,,,,
142,0.277117168978,0.251470689301,,,,,,
143,0.276563519808,0.250597334032,,,,,,
144,0.275075703995,0.249551883515,,,,,,
145,0.274694797269,0.249294912096,,,,,,
146,0.274543831554,0.247540337396,,,,,,
147,0.272129145731,0.244602118863,,,,,,
148,0.271756885863,0.243898905894,,,,,,
149,0.271572524638,0.243705149203,,,,,,
150,0.27087593037,0.241998680221,,,,,,
151,0.270226878936,0.24072659874,,,,,,
152,0.265015878281,0.235765873597,,,,,,
153,0.261595077414,0.233987858994,,,,,,
154,0.261668622282,0.234057405319,,,,,,
155,0.259878888576,0.232307044944,,,,,,
156,0.25628566909,0.230489849107,,,,,,
157,0.255764341465,0.229479109627,,,,,,
158,0.252875661766,0.227956167516,,,,,,
159,0.252653935396,0.22569059869,,,,,,
160,0.251236240224,0.224413136642,,,,,,
161,0.249204912022,0.224047861734,,,,,,
162,0.248994819482,0.223680367314,,,,,,
163,0.248953871956,0.223431201699,,,,,,
164,0.248487968256,0.2210054654,,,,,,
165,0.248306813611,0.218000347863,,,,,,
166,0.24531417747,0.216414742432,,,,,,
167,0.244428026445,0.214854926091,,,,,,
168,0.244175545264,0.214328992021,,,,,,
169,0.242488577404,0.21366701797,,,,,,
170,0.2418151113,0.213538872059,,,,,,
171,0.241821585549,0.213352078608,,,,,,
172,0.237605667622,0.213219749327,,,,,,
173,0.236159513294,0.212217618472,,,,,,
174,0.235638251813,0.211817919268,,,,,,
175,0.231312515046,0.211447163053,,,,,,
176,0.230131026409,0.211636083792,,,,,,
177,0.229344430112,0.211263659308,,,,,,
178,0.227093637615,0.210953877594,,,,,,
179,0.226712804898,0.210581277268,,,,,,
180,0.226199810359,0.20890482283,,,,,,
181,0.225551088652,0.208341850255,,,,,,
182,0.225290232977,0.207661474615,,,,,,
183,0.223917731584,0.206887929713,,,,,,
184,0.222806644097,0.206097996707,,,,,,
185,0.22256204718,0.20545199773,,,,,,
186,0.22256761603,0.204988001853,,,,,,
187,0.222212372216,0.204868773759,,,,,,
188,0.220064859587,0.204081937463,,,,,,
189,0.219843069739,0.195571144288,,,,,,
190,0.219008880359,0.195345205564,,,,,,
191,0.217925414732,0.194002860032,,,,,,
192,0.217288141497,0.193314157775,,,,,,
193,0.217318128353,0.19288944814,,,,,,
194,0.217146804577,0.19284118576,,,,,,
195,0.217008034143,0.192685531045,,,,,,
196,0.21426978156,0.190526934191,,,,,,
197,0.212830497139,0.189269445934,,,,,,
198,0.212063809929,0.188799321988,,,,,,
199,0.211564039971,0.188509992231,,,,,,
