Time(Iteration),CAB_original,CAB_true_decrease,CAB_optimal,LinUCB
0,7.12923531352,6.79384712377,6.79384712377,6.57062275328
1,11.7238858267,11.0352157764,9.64201772069,11.3246453255
2,15.7290044046,14.9945057425,11.8597218652,16.1063793304
3,18.4485136907,19.1852235231,13.8426333734,20.3399037884
4,21.0381470866,23.3012428763,16.2166481072,23.466903934
5,22.3334533732,26.5789410938,17.9742519109,25.5345597663
6,23.6130490495,29.9154871242,19.3994508553,27.8891111982
7,26.013878247,33.1177024147,20.571223485,30.3124918382
8,28.2447369893,35.8051478828,21.2577445804,31.8523036425
9,28.951250029,37.5084556311,21.9476657574,32.8075098262
10,30.5760188939,39.5462172612,22.493005256,34.198618921
11,32.0047098048,41.9581960383,23.5806777145,36.1567154232
12,33.0525928987,44.0678126319,23.8232024404,37.0173022081
13,34.5258004269,46.8148211097,24.4148373285,38.5587380043
14,35.2812809284,48.7363172363,24.8495840603,39.0793989049
15,35.7399078621,51.2324492993,25.4089241474,40.3156524499
16,36.8172020707,53.9289644047,25.7813447164,41.1941394895
17,37.6246550469,55.5047166117,26.1647946913,41.5393118899
18,38.0324568397,57.9886637661,26.4485375607,41.8965516932
19,38.3595335569,59.7879446227,26.8093104723,42.5008161304
20,39.1347093024,62.1103069087,27.0447331796,43.1212085041
21,39.79039901,64.9735244974,27.1562719167,43.6019606481
22,39.9404995483,66.2622479418,27.2952861208,44.0524197447
23,40.463762995,68.2325863468,27.6721787092,44.535622375
24,40.6913826975,69.1649894266,27.9130991509,44.9996879848
25,40.8964027873,70.9127512536,28.4182681331,45.2650798998
26,41.2051593923,73.1288563394,28.4787355316,45.7654162952
27,41.5697584767,74.4690739591,28.8031086379,46.1973000864
28,41.8664656282,77.0580627678,28.811285396,46.3807510105
29,42.0930413939,79.5749617855,28.927254596,46.7259386442
30,42.4096480666,81.7708893805,29.1832373608,47.0642946618
31,42.7342760465,83.1603127528,29.2819266644,47.5259345354
32,43.1802095842,85.2637015328,29.5404158186,47.9427306526
33,43.5098913745,87.4683004162,29.7638741102,48.2988089095
34,44.0046692976,89.0158896459,29.8750018672,48.7246806596
35,44.0686288901,90.0970636725,30.145930223,49.1579133674
