Time(Iteration),LinUCBCoTheta,CAB_fullCoTheta,CAB_cbjCoTheta,CAB_originalCoTheta,CAB_cbijCoTheta,,,,,,
0,0.974608857123,0.975715067688,0.975715067688,0.983273950637,0.975715067688,,,,,,
1,0.958844205756,0.959148435718,0.949494739209,0.965393953822,0.953932755991,,,,,,
2,0.939515720373,0.937546931875,0.921502461371,0.93576038248,0.918793413158,,,,,,
3,0.918950402446,0.919593825873,0.90479542607,0.913230154531,0.904651669178,,,,,,
4,0.898526874826,0.906943020399,0.881003106534,0.894945864752,0.882420519414,,,,,,
5,0.880676217768,0.892077712375,0.863674162578,0.879887079126,0.85798359295,,,,,,
6,0.858315728317,0.875028448537,0.845511809839,0.867653981927,0.840088736386,,,,,,
7,0.836249224362,0.854914776786,0.819032958219,0.848793593171,0.813601594334,,,,,,
8,0.823605682243,0.830944218813,0.803260834019,0.82944669059,0.787771720847,,,,,,
9,0.807824375166,0.806327705213,0.786763672825,0.807920418995,0.765768468126,,,,,,
10,0.79060301585,0.794009676455,0.769176198701,0.795044394636,0.755099919501,,,,,,
11,0.767937365531,0.77588977549,0.748135504637,0.770645511594,0.735006219787,,,,,,
12,0.750379776308,0.763638621838,0.723815461086,0.758676214852,0.716991998017,,,,,,
13,0.742857193531,0.749083672897,0.715226855433,0.752182876074,0.711173465212,,,,,,
14,0.725549430113,0.729539350074,0.696882736623,0.738677250598,0.69848648088,,,,,,
15,0.708194300119,0.711005622393,0.679328849146,0.726183400154,0.685620721883,,,,,,
16,0.699292332122,0.698063641888,0.666171439842,0.71623315159,0.67329911362,,,,,,
17,0.690996377515,0.687138688667,0.65791530946,0.707282897364,0.656434595956,,,,,,
18,0.67028780016,0.670715802019,0.64039075646,0.690877073857,0.635667231358,,,,,,
19,0.659674148647,0.660197985612,0.632792259778,0.677932531952,0.630126109975,,,,,,
20,0.644607370022,0.647388361829,0.62352621282,0.665752050827,0.625330122364,,,,,,
21,0.630704978083,0.629492142957,0.612958881644,0.646557536682,0.615639127615,,,,,,
