Time(Iteration),CAB_true_decreaseCoTheta,,,,,,
0,0.977349298582,,,,,,
1,0.945381547513,,,,,,
2,0.920747243419,,,,,,
3,0.902980809781,,,,,,
4,0.876116589559,,,,,,
5,0.857732163443,,,,,,
6,0.836366052398,,,,,,
7,0.808881805602,,,,,,
8,0.790929193808,,,,,,
9,0.776603350996,,,,,,
10,0.760436913512,,,,,,
11,0.742846435734,,,,,,
12,0.729265384532,,,,,,
13,0.715507850678,,,,,,
14,0.703358183785,,,,,,
15,0.691445280736,,,,,,
16,0.6808728398,,,,,,
17,0.659554399962,,,,,,
18,0.647191762571,,,,,,
19,0.634894273751,,,,,,
20,0.626662500641,,,,,,
21,0.613083602071,,,,,,
22,0.605985976961,,,,,,
23,0.597822465049,,,,,,
24,0.586743716601,,,,,,
25,0.575055827835,,,,,,
26,0.569796077134,,,,,,
27,0.561768358926,,,,,,
28,0.551151325578,,,,,,
29,0.544754557522,,,,,,
30,0.536829622713,,,,,,
31,0.527394142985,,,,,,
32,0.52093219106,,,,,,
33,0.517482430064,,,,,,
34,0.512616243008,,,,,,
35,0.50869816365,,,,,,
36,0.503104198549,,,,,,
37,0.497225007868,,,,,,
38,0.493948441358,,,,,,
39,0.491363764866,,,,,,
40,0.488395375995,,,,,,
41,0.484195845236,,,,,,
42,0.479292244993,,,,,,
43,0.475475634881,,,,,,
44,0.471897260895,,,,,,
