Time(Iteration),CAB_true_increaseCoTheta,CAB_originalCoTheta,CAB_optimalCoTheta,LinUCBCoTheta,,,,,,
0,0.97020739914,0.981399814618,0.97020739914,0.973015120526,,,,,,
1,0.951644272497,0.961901470039,0.936046678531,0.953350482219,,,,,,
2,0.914665122141,0.939208563289,0.907826320692,0.919234438738,,,,,,
3,0.894599386753,0.919825686852,0.884981605662,0.90061283187,,,,,,
4,0.873928208534,0.898184364748,0.867136340884,0.879979659002,,,,,,
5,0.85513782885,0.872425667062,0.840069778416,0.863953347845,,,,,,
6,0.822226719464,0.852714923297,0.809715060335,0.833543431721,,,,,,
7,0.804030705116,0.835333104202,0.793476473626,0.811480878032,,,,,,
8,0.782064661653,0.813006322663,0.780588977882,0.784105640899,,,,,,
9,0.765552948431,0.778739362707,0.757266804741,0.761408662687,,,,,,
10,0.749772879743,0.768329935841,0.745819495051,0.746678386374,,,,,,
11,0.723654111525,0.741443701456,0.733278542022,0.731448248946,,,,,,
12,0.68676476576,0.71740371492,0.709245174862,0.711211474437,,,,,,
13,0.665287754638,0.698050951804,0.699585472483,0.69347922148,,,,,,
14,0.648650875708,0.670128396691,0.6602833746,0.671684091224,,,,,,
15,0.633297022149,0.654271732919,0.651599404218,0.657276307869,,,,,,
16,0.623160788045,0.647409796403,0.643455029716,0.649458491438,,,,,,
17,0.616088603856,0.621948835909,0.627804046784,0.630715136624,,,,,,
18,0.603188704624,0.607895440963,0.618025800179,0.6175432362,,,,,,
19,0.587963512212,0.587075309854,0.603305927388,0.60630659345,,,,,,
20,0.578768887568,0.575943524191,0.595571211235,0.59837807405,,,,,,
21,0.572954201895,0.570792371382,0.586925887746,0.591147892342,,,,,,
22,0.568203327943,0.566000429808,0.583005105211,0.580435979467,,,,,,
23,0.556132658818,0.559710809531,0.575396229251,0.57036884632,,,,,,
24,0.549994606426,0.548669318501,0.566658824495,0.562693726314,,,,,,
25,0.546269391103,0.539422212285,0.561012213388,0.554019283618,,,,,,
26,0.543557871644,0.537112730495,0.556588962628,0.551267526128,,,,,,
27,0.536314829375,0.530265395107,0.551431954277,0.541637233533,,,,,,
28,0.526299327559,0.521886428834,0.54347162882,0.531211459068,,,,,,
29,0.52390020739,0.513408976155,0.540868028426,0.524070460335,,,,,,
30,0.519125564099,0.509823282277,0.536712032461,0.517490267764,,,,,,
31,0.510486238072,0.504330764453,0.528771822696,0.511502899015,,,,,,
32,0.507059798192,0.497947631279,0.525516944885,0.507640772133,,,,,,
33,0.503001355681,0.493618555405,0.523930499358,0.504421908669,,,,,,
34,0.498451722755,0.490047287949,0.520242963869,0.498721091677,,,,,,
35,0.494085868678,0.482495146646,0.515096397482,0.493961189034,,,,,,
36,0.487792370085,0.479614244104,0.505123077343,0.488959505678,,,,,,
37,0.483570390291,0.470739883595,0.496194920297,0.483578277826,,,,,,
38,0.480976138635,0.466660305725,0.490243406105,0.479549606858,,,,,,
39,0.479493312571,0.463565234793,0.487263642641,0.478054533922,,,,,,
40,0.475866055821,0.461182554574,0.483199553923,0.475132338896,,,,,,
