Time(Iteration),CAB_original,CAB_cbj+cbij
0,6.31324435463,5.78747839052
1,10.6734487863,10.3401449277
2,13.8730359078,15.2579322818
3,17.5898472508,18.6690364907
4,19.8560476826,21.2634187772
5,21.6698217812,22.6804683186
6,24.0652512207,24.8889001553
7,26.194581281,26.9135513529
8,27.8145220616,28.2894877554
9,29.6475705463,29.9947608784
10,30.5522756231,31.61638001
11,32.1076523363,33.1757861655
12,33.5032496663,35.0168206984
13,34.0377882853,35.5644468154
14,35.0742173292,36.7181559321
15,36.4524327719,37.7403461464
16,37.5149473778,39.0248818267
17,38.0997558724,39.5173827614
18,38.853259989,40.3013316837
19,39.4915514367,40.8015263518
20,39.8573322603,41.6148001665
21,40.1909564768,42.4079311589
22,40.6111293447,42.7280151901
23,40.9877396536,42.9306271991
24,41.3710260098,43.1216417382
25,41.9166906507,43.895994727
26,42.1487276366,44.6158077036
27,42.6518862041,44.8302460442
28,42.8772752099,45.4363872431
29,43.3401342449,45.8432886004
30,43.6997349319,46.3412912485
31,44.4493633723,46.8489946684
32,44.9514653677,47.4542259213
33,45.3187663541,48.0033809634
34,45.3910245694,48.474894487
35,45.6510914612,49.1349382718
36,45.7531279225,49.4701922513
37,46.1777167075,49.7464401794
38,46.3149925707,50.2378236823
39,46.3891786198,50.6103690265
40,46.4705744002,51.0497791577
41,46.8164027349,51.6374623969
42,46.8621922372,51.6832518991
43,46.923721404,51.8126259805
44,47.1300657261,51.9469867076
45,47.2536674208,52.4238336621
46,47.6721802592,52.8534940847
47,47.8668093301,53.1130284944
48,48.0048942226,53.6698309211
49,48.157467591,53.8631178238
50,48.4377353909,54.0901060616
51,48.665632451,54.2206380179
52,48.7702212113,54.4337772284
53,49.057483475,54.5513292957
54,49.0701546076,54.7043812309
55,49.1535338746,55.0583920825
56,49.2496829056,55.4312095167
57,49.3258911373,55.5366934403
58,49.4195876473,55.8100475342
59,49.5644074668,56.028538283
60,49.6363877111,56.2208074164
61,49.7577514916,56.4675510522
62,49.7958792964,56.5854371799
63,49.959854926,56.8059478619
64,50.2101968106,57.1383805273
65,50.3947828615,57.3030393664
66,50.6400459539,57.3797903979
67,50.6465020505,57.4128809572
68,50.6679608476,57.4417829211
69,50.8287533211,57.513452923
70,50.9902038946,57.68944587
71,51.2970135248,57.8450524101
72,51.4439791843,57.9235089149
73,51.5235909379,58.2710795161
74,51.5938578854,58.567542828
75,51.6355949956,58.6061343347
76,51.7587517569,58.7400030948
77,51.9517920557,58.8999132393
78,52.0277946777,59.0576184689
79,52.0601302331,59.3249049202
80,52.0928296737,59.363092538
81,52.1614723541,59.4251747356
82,52.2061266164,59.5336987418
83,52.2101895658,59.6090931906
84,52.3139220071,59.7503846641
85,52.3290158151,59.7983082889
86,52.3512127603,59.9177207292
87,52.3512127603,60.0492298092
88,52.5447676501,60.1922844553
89,52.6521937815,60.3404179663
90,52.7592388187,60.3877170421
91,52.7652322423,60.454053308
92,53.0902208919,60.6747026104
93,53.0910384688,60.7275017668
94,53.0967369656,60.7547317664
95,53.1979276231,60.8059619655
96,53.1989454693,60.9911824811
97,53.2361541038,61.051698117
98,53.2641087223,61.0765295882
99,53.3908789023,61.0842867655
100,53.4326436889,61.1942586865
101,53.5113235685,61.2808524172
102,53.6631057374,61.3565906698
103,53.6713488215,61.3795074305
104,53.7099993224,61.4450645752
105,53.756146315,61.5469664374
106,53.756146315,61.5674162995
107,53.7910670168,61.6123449994
108,53.8081279177,61.6741313569
109,53.9057620245,61.71271769
110,53.9281404079,61.7416735794
111,53.9503031393,61.7572699958
112,53.9615191089,61.7708674485
113,53.9724467708,61.8239219613
114,53.9744876682,61.8757001417
115,54.0418952222,61.9692317781
116,54.1606015694,62.1213523249
117,54.1791085904,62.1270944906
118,54.2802833647,62.1615156487
119,54.2857164849,62.1615156487
120,54.3076642649,62.1799481282
121,54.3115926724,62.2330670727
122,54.3423845552,62.2737853583
123,54.3959254669,62.3873061364
124,54.4076949707,62.4117184367
125,54.410461096,62.4782333049
126,54.5848128968,62.587048848
127,54.6334445272,62.6356804785
128,54.6558325723,62.6808954608
129,54.6558325723,62.7333657333
130,54.6745227617,62.7471120549
131,54.7108497359,62.8408677161
132,54.7836487699,62.9245033468
133,54.808395263,62.9701964322
134,54.8410661132,63.015488468
135,54.8410661132,63.0902431589
136,54.8616240003,63.1304598247
137,54.9066276164,63.2318119118
138,54.9115345451,63.2551245248
139,54.9407779516,63.2714954789
140,54.9529885528,63.3006656284
141,54.9550827582,63.3027598338
142,54.9709571592,63.3162880502
143,55.0964464875,63.4310612057
144,55.1147409479,63.4604525183
145,55.1385273378,63.6276785243
146,55.1840271528,63.6517083517
147,55.215703619,63.6698842842
148,55.215703619,63.6698842842
149,55.2350838075,63.6913839532
150,55.2982626114,63.8262363462
151,55.4209840091,64.0479526172
152,55.4663150911,64.1002326257
153,55.5293695712,64.2228289257
154,55.5342608198,64.266227945
155,55.5477356751,64.3428958608
156,55.637476806,64.4495091322
157,55.6507693423,64.4800463029
158,55.6919928562,64.6321663337
159,55.7206598462,64.6798357861
160,55.7837220779,64.8179494834
161,55.7837761404,64.8180035459
