Time(Iteration),CAB_original
0,5.86338325537
1,11.3823268724
2,15.3730249667
3,19.0526626178
4,23.4242213278
5,26.3338282315
6,28.7326204117
7,30.8118998069
8,32.5542293633
9,34.5535288566
10,36.4107261054
11,38.0738712913
12,39.6680742107
13,41.3352364044
14,42.6852482711
15,44.2283103133
16,45.6514034112
17,46.8433102314
18,47.8683681354
19,48.5296636738
20,49.3850311428
21,50.3502068807
22,51.2385756249
23,51.8888863557
24,52.6895601278
25,53.8974373522
26,54.5826556918
27,55.1906837365
28,55.390107074
29,56.0485255209
30,56.5329620625
31,56.7785814297
32,57.2674728064
33,57.5918011233
34,57.7115958275
35,58.1937483247
36,58.8201108536
37,59.3529588422
38,59.8930356737
39,60.0534893318
40,60.3783787889
41,60.4391523835
42,61.0917092991
43,61.273228823
44,61.5148244352
45,61.6399736291
46,62.4868841657
47,62.6684093609
48,63.4302963404
49,63.6319849227
50,63.7611955589
51,64.0621174431
52,64.5460725888
53,64.8702572217
54,65.1702520035
55,65.4181574867
56,65.6992626752
57,66.2452850717
58,66.5033319859
59,66.573171398
60,66.8805464496
61,67.2101234189
62,67.3310085441
63,67.5873136777
64,67.6216403642
65,67.7658570147
66,68.1799217094
67,68.27932539
68,68.3328051383
69,68.490442144
70,68.6053821549
71,68.6215593521
72,68.7034518082
73,68.7531836371
74,68.9919774971
75,69.1584289194
76,69.1734546437
77,69.545551177
78,69.6384458491
79,69.6786604898
80,69.8370309268
81,69.9974708911
82,70.0067312284
83,70.0756610576
84,70.28878652
85,70.3476901017
86,70.39909072
87,70.6083973895
88,70.6169823007
89,70.7474146573
90,70.7652894215
91,70.839301706
92,71.0468799133
93,71.0468799133
94,71.0585814415
95,71.1248983067
96,71.1398452942
97,71.1910707594
98,71.2400178983
99,71.2504633163
100,71.2504633163
101,71.3610701835
102,71.4959996823
103,71.547891202
104,71.6417412253
105,71.6925624336
106,71.8210801348
107,71.8705235862
108,72.0202665532
109,72.0202665532
110,72.250510052
111,72.250510052
112,72.3267348033
113,72.4075464762
114,72.8434834364
115,72.8888488649
116,72.9386466896
117,73.0950121637
118,73.1066226309
119,73.2977991297
120,73.4498080616
121,73.4758550246
122,73.5375834372
123,73.5383332478
124,73.8988740232
125,73.9175701444
126,74.0142868048
127,74.0175750075
128,74.2824998608
129,74.343878395
130,74.374755176
131,74.4287364194
132,74.5674770325
133,74.5692727994
134,74.6246168224
135,74.6812681786
136,74.8132401068
137,74.8393167471
138,74.904007153
139,74.9086918945
140,75.0531130121
141,75.0553646139
142,75.0876423613
143,75.2437611422
144,75.3302123178
145,75.3391735122
146,75.3607667519
147,75.3607667519
148,75.4069168337
149,75.4886225055
150,75.5242143826
151,75.5267352419
152,75.5338862913
153,75.5409753479
154,75.5682569811
155,75.5925909488
156,75.5925909488
157,75.5963183657
158,75.5963183657
159,75.6058018877
160,75.6079350976
161,75.6897418963
162,75.6897418963
163,75.6897418963
164,75.6994098166
165,75.7889642686
166,75.8973522964
167,75.8973522964
168,75.9517612566
169,75.9558905955
170,75.9652039222
171,76.000193435
172,76.000193435
173,76.0029346602
174,76.0029346602
175,76.2327268263
176,76.2989334265
177,76.3421511945
178,76.3421511945
179,76.3421511945
180,76.3462346477
181,76.3650569631
182,76.3656545408
183,76.3656545408
184,76.3656545408
185,76.3663085065
186,76.3698494021
187,76.3707872603
188,76.4636667399
189,76.4788706009
190,76.5163873075
191,76.5184033463
192,76.5317060836
193,76.550438823
194,76.550438823
195,76.5526720488
196,76.6054333349
197,76.6054333349
198,76.6054333349
199,76.6054333349
200,76.6121594901
201,76.6191455976
202,76.6253987056
203,76.6305188269
204,76.6305188269
205,76.6389568751
206,76.6473996608
207,76.6513094467
208,76.6513094467
209,76.8436303894
210,76.8436303894
211,76.8436303894
212,76.8437316045
213,76.8656521942
214,76.8656521942
215,76.8694259577
216,76.8694259577
217,76.8786619023
218,76.8836232988
219,76.8836232988
220,76.8867316139
221,76.892964693
222,76.9061938402
223,76.9073343539
224,76.9073573879
225,76.946900258
226,77.0396597421
227,77.0396597421
228,77.0429761927
229,77.0429761927
230,77.0975122549
231,77.0975122549
232,77.0975122549
233,77.1011528464
234,77.1363426121
235,77.1564647116
236,77.1634295811
237,77.1634295811
238,77.1731021681
239,77.2260648224
240,77.2260648224
241,77.226830392
242,77.226830392
243,77.226830392
244,77.2334427775
245,77.2497243737
246,77.2513436501
247,77.2513436501
248,77.2868196528
249,77.2868196528
250,77.2921568111
251,77.2921568111
252,77.300307809
253,77.3272484857
254,77.3293773124
255,77.3293773124
256,77.3293773124
257,77.3475528789
258,77.3475528789
259,77.3514823544
260,77.3514823544
261,77.3514823544
262,77.3530740425
263,77.4927972388
264,77.4927972388
265,77.4927972388
266,77.4934302089
267,77.4934302089
268,77.5081077986
269,77.535129329
270,77.535129329
271,77.5382714451
272,77.5382714451
273,77.5382714451
274,77.5404557998
275,77.5463751722
276,77.5463751722
277,77.5564724535
278,77.5564724535
279,77.5564724535
280,77.5583075535
281,77.5583075535
282,77.5864392767
283,77.5864392767
284,77.5887833236
285,77.5887833236
286,77.5887833236
287,77.5890032199
288,77.5953997701
289,77.5953997701
290,77.5996884805
291,77.5996884805
292,77.6188430824
293,77.6188430824
294,77.6223183472
295,77.6253524682
296,77.6253524682
297,77.6392928512
298,77.6436066143
299,77.6436066143
