Time(Iteration),CAB_original,CAB_cbj+cbij
0,6.71394230871,6.44889561732
1,13.2052341056,12.2830947297
2,17.5664598473,16.7378540166
3,21.9877439555,21.4593444994
4,26.0473743872,24.270708839
5,28.4241904304,27.3871333784
6,31.2171530496,30.7748115308
7,33.184760551,33.515931633
8,34.6619883498,35.7316747189
9,35.9188995967,37.0554692016
10,37.8806142491,37.9543030676
11,39.7661989154,39.1956039925
12,40.976035353,40.8730762817
13,42.8327928209,41.8689564161
14,43.3001216034,43.1809090281
15,43.5790163264,43.8453932153
16,44.5869189046,44.8800779558
17,45.3635723663,45.2158132252
18,45.8435135789,45.6716209205
19,46.928960619,46.0894334308
20,47.7572646993,46.5643844516
21,48.0071939412,47.0581304004
22,48.4718692202,47.4745778453
23,49.0297445662,47.6755783277
24,49.5226260491,48.0915029341
25,49.9305751148,48.3022337558
26,50.2985561422,48.4787029774
27,50.4675104424,48.640574395
28,51.0989686543,49.1838161353
29,51.2474654681,49.3177005593
30,51.5357313398,49.4519284363
31,52.0020668264,49.6030543448
32,52.2313735347,49.7593263137
33,52.6634723335,50.0144678732
34,52.7032830165,50.0574031404
35,53.1441337297,50.2961568394
36,53.194948292,50.3500992054
37,53.334514759,50.6518402396
38,53.584987694,50.7972612661
39,53.6052506864,50.9484050441
40,53.6164234181,51.0683355443
41,53.7401877221,51.151487198
42,53.9425968129,51.1549156948
43,54.2520311086,51.2707240455
44,54.4088328468,51.4556415773
45,54.5136035908,51.7750647729
46,54.5665695284,51.7880780326
47,54.6024315361,51.8380126867
48,54.7227851227,52.1428604324
49,54.7791608011,52.1615940687
50,54.8068495123,52.3832531484
51,54.8722211059,52.7863439372
52,55.0247417754,52.9504910663
53,55.0705924918,53.0128378052
54,55.1980630357,53.2939448524
55,55.2210496164,53.4697147214
56,55.2210496164,53.5595498613
57,55.2240055135,53.6905869772
58,55.2354505371,53.7793443302
59,55.3033542835,53.9672027255
60,55.3380094553,54.0649841109
61,55.4685064709,54.0987944727
62,55.6653870208,54.3022444255
63,55.6797481128,54.4505864475
64,55.7172561572,54.6695410373
65,55.8312107189,54.7656887453
66,56.2543280408,54.972388888
67,56.3332200741,54.9724166094
68,56.3859831115,55.0597460606
69,56.4476085141,55.1496741243
70,56.5719468394,55.2285122372
71,56.6708638203,55.2325567014
72,56.6708638203,55.3111422558
73,56.7089463271,55.4562554294
74,56.7514612809,55.5603718893
75,56.7842720049,55.6428275442
76,56.8068604,55.7644443754
77,56.8435429774,55.8479144311
78,56.917306396,55.9608822246
79,57.108291041,56.1946587652
80,57.118011278,56.2593985483
81,57.118011278,56.6056348679
82,57.1402464208,56.7553436847
83,57.16627474,56.7869849156
84,57.2090961458,56.8714865531
85,57.218867419,56.9843398137
86,57.2840007634,57.0332052455
87,57.2857655801,57.0637729115
88,57.4619637111,57.257692948
89,57.5255050062,57.3079161501
90,57.5337818936,57.3444675172
91,57.5814989339,57.3907418149
92,57.5857724221,57.4200617907
93,57.5958025108,57.4917753026
94,57.6120097172,57.5166029747
95,57.6994314239,57.6224316227
96,57.7383791509,57.6398479466
97,57.7432647775,57.6810329348
98,57.835905492,57.7777093049
99,57.8563261031,57.8036584337
100,58.0220225499,57.9171110889
101,58.1550427511,57.9209322808
102,58.160330616,57.9209322808
103,58.1973847421,58.0310298989
104,58.207546492,58.0411916488
105,58.2806523795,58.0411916488
106,58.325691012,58.1333426133
107,58.331392244,58.1931596082
108,58.331392244,58.1931596082
109,58.3583269703,58.2216501031
110,58.3583269703,58.2216501031
111,58.3583269703,58.286309514
112,58.3826858189,58.3404378005
113,58.4002231006,58.3738194512
114,58.4028642381,58.3943494448
115,58.5257537203,58.5595916796
116,58.5623183675,58.5655114755
117,58.5761050282,58.5961510808
118,58.6648067134,58.6103822735
119,58.6696822602,58.6681749918
120,58.6757098067,58.6742025382
121,58.7160726113,58.6985723801
122,58.801742043,58.8227772616
123,58.9026061671,58.9236413857
124,58.9482884253,58.9252133656
125,59.0486791691,58.9812934582
126,59.0884189291,59.057492192
127,59.103047726,59.0903543472
128,59.1121304922,59.1343619868
129,59.1159054417,59.2217509824
130,59.2350404766,59.3654008882
131,59.2350404766,59.3758915613
132,59.2396506199,59.37928519
133,59.249735882,59.4078861415
134,59.2719731352,59.414167017
135,59.2719731352,59.414167017
136,59.2765569744,59.4187508562
137,59.2920639902,59.4282377218
138,59.2920639902,59.4353648123
139,59.2920639902,59.4353648123
140,59.3081092199,59.4518249371
141,59.420016813,59.5888728409
142,59.420016813,59.6304113662
143,59.4273084905,59.6304113662
144,59.4273084905,59.6512840099
145,59.4273084905,59.6512840099
146,59.4408810265,59.6667521836
147,59.4408810265,59.6667521836
148,59.4408810265,59.672566026
149,59.4465620666,59.6791619255
150,59.4693119667,59.7019118256
151,59.5245532314,59.7948980883
152,59.5245532314,59.7948980883
153,59.5253654705,59.8739255792
154,59.5253654705,59.8850036693
155,59.5583344343,59.9354778062
156,59.5583344343,59.9913418281
157,59.5583344343,59.9913418281
158,59.5675335859,60.0005409798
159,59.5757104124,60.1553036999
160,59.5777386447,60.1573319322
161,59.7517478438,60.199269609
162,59.7517478438,60.2043608219
163,59.7517478438,60.2149820622
164,59.7705992573,60.2324023503
165,59.8221283479,60.2783164893
166,59.8279647447,60.3031755152
167,59.8378387486,60.3130495191
168,59.8420814357,60.3130495191
169,59.9384835329,60.3141029697
170,59.9384835329,60.3703114833
171,59.9985112243,60.4469172117
172,60.0109518467,60.4889163966
173,60.0247875982,60.5055633667
174,60.0259428084,60.7400930432
175,60.0801600175,60.7745357256
176,60.0801600175,60.7745357256
177,60.088811471,60.8093938408
178,60.1039961097,60.8826004476
179,60.266515864,61.0345191484
180,60.2738762791,61.0418795635
181,60.2738762791,61.0577471302
182,60.2921865352,61.1308033929
183,60.2926266072,61.1683546379
184,60.3918349096,61.3184235686
185,60.3918992451,61.3443084992
186,60.3975443816,61.3443084992
187,60.510428388,61.4555273455
188,60.5436890899,61.5097538118
189,60.6124053859,61.5911093341
190,60.6274334142,61.6242890258
191,60.6521095921,61.6252982577
192,60.6521095921,61.6252982577
193,60.6521095921,61.6252982577
194,60.6521095921,61.677770196
195,60.7853799426,61.7083410061
196,60.7922057688,61.7582494444
197,60.9312255987,61.8972692744
