Time(Iteration),CAB,CAB_original,LinUCB
0,7.03383916439,8.58903589255,8.61079302629
1,13.1965461306,14.6965874118,15.039759959
2,17.6153808571,19.0951713301,19.4144223027
3,21.6402763497,23.499718088,24.5269440327
4,24.4783077449,26.3234883048,26.7872242392
5,26.8577198798,29.3654221504,30.6188722482
6,29.6664354918,31.9253194393,34.2239947583
7,32.3046111916,33.6931239464,36.767750951
8,33.9936932339,35.3842758392,37.9123126256
9,35.5972985608,36.9979720901,39.3952590974
10,37.4328861569,38.0182866089,41.0415594542
11,38.8243745353,38.8048414459,41.8948764097
12,40.3463763398,39.8497824748,43.4694766924
13,42.2118733655,41.024084388,44.5446027871
14,43.1779888453,42.0394370294,45.267376053
15,44.2392668679,42.7647553147,46.2000501255
16,45.4781128444,43.6498077026,47.0413008118
17,46.7743887815,44.3778250398,47.4894881458
18,48.1311270737,44.8906649978,48.0253842131
19,49.0281111376,45.7197746311,48.470999224
20,50.5758891811,46.4228242566,49.053492484
21,51.0819965836,47.0360195221,49.6497541669
22,52.2955882433,47.5037950388,50.3822100416
23,52.9556908457,48.0933844608,50.7156720634
24,54.0423716952,48.6859445494,51.1813514651
25,54.7913589333,49.1284583034,51.4269961915
26,55.588050765,49.8540806534,52.1729963598
27,56.0862966973,50.0052016548,52.66214838
28,56.7864363112,50.7461759871,53.2088023744
29,57.0756801453,51.0968382917,54.0115821258
30,57.8125779292,51.3080635544,54.2349788749
31,58.9955098476,51.6873377382,54.7335807163
32,59.9748733716,52.0605480161,55.0315018619
33,60.2688328609,52.4017033585,55.4920738204
34,61.0751575327,52.7144364826,55.8339520858
35,61.6017186513,53.0343870834,56.3319793686
36,62.3094946311,53.3324111724,56.8173522077
37,62.9647135052,53.4008346745,57.0035470811
38,63.2793022896,53.5803404758,57.0799262869
39,64.0110392034,53.9498742125,57.7738047805
40,64.7222285988,54.274045545,58.2062673574
41,65.1984833257,54.4676924885,58.6718632596
42,65.7458957994,54.6559344937,58.9296605952
43,66.8546236881,55.3492953773,59.9378668054
44,67.7198622444,55.5126792314,60.1004104116
45,68.1144509264,55.7867295177,60.3982204508
46,68.3944618656,56.0812895503,60.88292985
47,68.6330314023,56.2572378196,61.2770923296
48,69.4348318194,56.3851490419,61.3494503117
49,70.1506692484,56.8962857919,61.7834966356
50,70.9444070242,57.019158263,61.8943642308
51,71.5422643192,57.1396358172,62.1506035876
52,71.9784107075,57.2805982383,62.2058561097
53,72.7701294616,57.3361707997,62.3710841925
54,73.8036317385,57.4568464905,62.5772329276
55,74.4436850238,57.6708769072,62.6422552433
56,75.4121690991,57.8923659706,62.7906203698
57,75.949914259,57.9607319118,62.8945476101
58,76.6305670886,58.1532613394,63.0568130709
59,77.3655900966,58.443094086,63.3890823842
60,77.8594234321,58.4756374532,63.4296936008
61,78.3495153828,58.6861802328,63.5286958986
62,78.6856484923,58.855731584,63.7559103612
63,79.0028904803,58.8751467913,63.7692125988
64,79.2997857276,58.9850615808,63.8791273882
65,79.4477463564,59.1963357638,64.2375358339
66,79.4645714414,59.1963357638,64.2394738371
67,79.5191283067,59.3921247411,64.30408998
68,79.7941053372,59.4369010851,64.3307454789
69,80.0387851619,59.4878055804,64.3762884831
70,80.2756550301,59.5271742463,64.4085527026
71,80.5659049217,59.5404446864,64.4522407813
72,81.1833292296,59.6895614726,64.4522407813
73,81.3805881999,59.7327879451,64.5018430117
74,81.5535886434,59.7380334175,64.5080467513
75,81.7605317413,59.9195102413,64.5302982474
76,81.9437344316,59.9258596884,64.5366476945
77,82.0200000677,60.0125346117,64.6233226178
78,82.1941418267,60.1167977111,64.6511962916
79,82.5173919477,60.1984148504,64.6919555462
80,83.0177783904,60.2147623785,64.8314297677
81,83.6005671295,60.3382672001,64.969284376
82,83.8347932825,60.4108732463,65.0454438556
83,83.9237989281,60.4339584092,65.087351836
84,84.2027664184,60.6011889024,65.1650490955
85,84.6924777544,60.8075886733,65.3714482402
86,84.8682858814,60.8075886733,65.3714482402
87,85.0885573291,60.8413917597,65.4052513267
88,85.6688391139,60.8443072676,65.4081668345
89,85.7688413834,60.8489768707,65.5736356799
90,85.9245387195,60.8597742553,65.5911672428
91,86.4436532359,60.9158700889,65.6709463135
92,86.8243131045,61.0923930611,65.7948997715
93,86.9567524835,61.1088446056,65.811351316
94,87.4339282296,61.1562101229,65.9043895998
95,87.7038575036,61.1736993053,65.9055113879
96,88.2736138596,61.3848214093,66.1229870312
97,88.8522804436,61.4698166079,66.1904370315
98,89.2989523714,61.4882011976,66.2088216212
99,89.514555264,61.5014800153,66.2174408049
100,89.7119811116,61.5184668144,66.2351217569
101,90.2733144259,61.5527230289,66.2693779714
102,90.7104990663,61.5622356408,66.2788905833
103,91.3594389978,61.6812790646,66.3311983291
104,92.2910036579,61.9765010636,66.4612558954
105,92.3602820347,62.0403169384,66.4934169235
106,92.7281802555,62.0542465563,66.5073465414
