Time(Iteration),CAB_true_decreaseCoTheta,,,,,,
0,0.974565126048,,,,,,
1,0.945431626364,,,,,,
2,0.910239355696,,,,,,
3,0.89677591737,,,,,,
4,0.87645889459,,,,,,
5,0.851394519308,,,,,,
6,0.82732894096,,,,,,
7,0.811412015517,,,,,,
8,0.792260758142,,,,,,
9,0.765917590627,,,,,,
10,0.745485329339,,,,,,
11,0.73347005616,,,,,,
12,0.71630992867,,,,,,
13,0.702379741387,,,,,,
14,0.680230611134,,,,,,
15,0.667005186342,,,,,,
16,0.655177315819,,,,,,
17,0.645077978067,,,,,,
18,0.632053422354,,,,,,
19,0.623239562828,,,,,,
20,0.6074453249,,,,,,
21,0.598313414261,,,,,,
22,0.58715330423,,,,,,
23,0.577247162355,,,,,,
24,0.570675118178,,,,,,
25,0.561436853343,,,,,,
26,0.554794130436,,,,,,
27,0.548253499706,,,,,,
28,0.534393128243,,,,,,
29,0.525083097235,,,,,,
30,0.516737897489,,,,,,
31,0.509242419113,,,,,,
32,0.501272628458,,,,,,
33,0.488789515041,,,,,,
34,0.484826495744,,,,,,
35,0.481811484832,,,,,,
36,0.475841293729,,,,,,
37,0.468552018597,,,,,,
38,0.463196982559,,,,,,
39,0.459593600113,,,,,,
40,0.456146761854,,,,,,
41,0.445814781929,,,,,,
42,0.443274879816,,,,,,
43,0.440626279276,,,,,,
44,0.434293582438,,,,,,
45,0.430274053439,,,,,,
46,0.42755996069,,,,,,
47,0.422150054794,,,,,,
48,0.415536147567,,,,,,
49,0.412051227443,,,,,,
50,0.406197681719,,,,,,
51,0.401659433415,,,,,,
52,0.39781019073,,,,,,
53,0.39537335361,,,,,,
54,0.39181766794,,,,,,
