Time(Iteration),CAB,CAB_original,LinUCB
0,7.3055264069,5.99026041792,7.99829694993
1,11.8695888644,10.3636174216,15.1394299797
2,14.9079314934,14.5711437117,19.7586808545
3,17.6343304025,17.4185382148,22.8030122499
4,21.1877769396,20.2601762224,25.2256028547
5,23.7648107828,21.4090805101,27.090369016
6,25.5435199414,22.8209648885,29.0874679614
7,27.0831244437,24.8225729731,30.8017267479
8,28.7996911769,26.3784066868,32.3897462972
9,30.7621976145,27.9220931356,33.9136928854
10,32.2900633984,29.484581819,35.120683764
11,33.9070545051,30.7684159522,36.5510669745
12,35.7890836578,32.0759383634,37.3327406193
13,37.2479209462,33.4103729856,38.7934651294
14,38.3392809083,34.3823060917,39.8738730672
15,39.8462644018,35.2819954476,40.9120957432
16,41.8723254595,35.8891076946,41.6088519025
17,43.4307864858,36.4301863217,42.0939685501
18,44.4560377624,36.9454058672,42.6063182334
19,46.5608308226,37.6147388119,43.6120463637
20,48.0005416614,38.2498737707,43.8921427444
21,49.0256358016,39.0137630035,44.3009382353
22,50.0467250745,39.6894041431,44.5780614221
23,51.0645494194,40.0114487929,44.7852993308
24,52.3867083342,40.6374480201,45.8153989653
25,53.8379723026,41.2395180434,46.370967162
26,55.1556519612,41.6947134008,46.702665459
27,56.4118792284,42.261851731,47.0128216024
28,57.8298281252,42.7146041031,47.4884909762
29,58.969608071,43.050534682,47.7158326803
30,59.6437201765,43.5564629993,48.1874709375
31,60.5461626156,43.813887732,48.4532301169
32,61.6252896726,44.5002104534,48.9844619394
33,62.3513448656,45.0889644074,49.3220676081
34,63.2856450606,45.3798981025,49.6344657064
35,64.1080974502,45.6367027041,49.8588630694
36,64.9948035092,45.8210608804,50.009875655
37,65.5010941839,45.9274677376,50.1439245163
38,66.2607317644,46.1148141094,50.541052753
39,67.6041966291,46.3082284152,50.7258616211
40,68.0152113912,46.5762935309,50.8494153122
41,68.806863638,46.7824653432,51.084586342
42,69.3146947003,46.9189564282,51.2179472405
43,70.3716289603,47.176736898,51.4589522132
44,70.8379364149,47.3488498332,51.677768782
45,71.0133322594,47.4610804457,51.8183546423
46,71.862548103,47.713743597,51.9561505747
47,72.2239253409,48.0149013484,52.0713905438
48,72.766301315,48.2289762764,52.2084338561
49,73.3706556187,48.4225702522,52.3963165791
50,73.9917036576,48.5118677589,52.4170453895
51,74.1223707184,48.6256404167,52.534511847
52,74.9823631613,48.8663766065,52.8300218177
53,75.6861640263,49.0206654624,53.0056158073
54,75.9015338713,49.2751293511,53.2784551623
55,76.2070256553,49.3344434967,53.2836902791
56,76.4035612118,49.3478596653,53.2971064477
57,76.9007103481,49.4366246918,53.5079522163
58,77.6276072813,49.505358081,53.5415551778
59,77.9625813255,49.7022211878,53.6907651443
60,78.2976537495,49.9712113841,53.8059806171
61,79.2706135909,50.0917357666,53.9346475873
62,79.5405449766,50.2642295416,54.1610973416
63,80.306617823,50.4211448622,54.3212984362
64,81.1163123668,50.4342544333,54.3613269278
65,81.2769840945,50.4411153759,54.3820251755
66,81.71309208,50.605803413,54.4711462804
67,81.7735696497,50.6394171536,54.490979821
68,81.8350181165,50.6478042326,54.5376562529
69,82.4799910846,50.8207331422,54.7097216465
70,82.9004283098,51.0945133449,54.8840222659
71,83.5256715914,51.2263588899,54.9264861676
72,83.9681890496,51.2336659269,55.0411914947
73,84.4847281133,51.2437834465,55.071582752
74,84.9307859464,51.309900727,55.0958170258
75,85.6138654657,51.3314136514,55.1190587211
76,86.2448662079,51.3758058376,55.1764460766
77,86.5579550044,51.4002214191,55.2095343853
78,86.8443650358,51.4109426967,55.220255663
79,87.2031812851,51.4932495458,55.302562512
80,87.5849471002,51.585030035,55.302562512
81,88.130254472,51.6103369791,55.3697325266
82,88.2664775748,51.6852317796,55.385678826
83,88.4852834454,51.7010727634,55.4015198098
84,88.6824330253,51.7250048054,55.4257337886
85,88.9634663013,51.7250048054,55.4257337886
86,89.4138545498,51.8040459832,55.4893844248
87,90.2632331613,51.8622854474,55.5195250013
88,90.7709565861,51.97636321,55.5700441936
89,91.1309303914,52.0662983388,55.627969393
90,91.2920117368,52.0958445278,55.6852394009
91,92.4765515719,52.1846366634,55.7740315365
92,92.7432746754,52.2794165871,55.828886468
93,93.0528672286,52.3119100015,55.8676269957
94,93.3974799181,52.3275071215,55.8676269957
95,93.3999957962,52.3300229996,55.8851871913
96,93.8763803077,52.3622417952,55.90004284
97,94.0886086173,52.4205276078,55.9676582315
98,95.2027966496,52.4219798035,55.9701621717
99,95.6461006799,52.4400585271,56.0194865399
100,96.0261969739,52.4423981265,56.0218261393
101,96.4058385574,52.4698490033,56.0570084615
102,96.5722051983,52.5628130632,56.1776803441
103,97.095549246,52.6986485188,56.3073940612
104,97.412755894,52.7191582799,56.3908505486
105,97.414251587,52.7967845476,56.4806546757
106,97.8498739717,52.8068781305,56.4907482587
107,97.955530813,52.8068781305,56.4907482587
108,98.1828132651,52.8315284054,56.5114393488
109,98.3939855638,52.8380499001,56.538763317
110,98.538548467,52.8380499001,56.571861639
111,99.09375242,52.9497205418,56.6630093351
112,99.3175095971,53.025540957,56.7623585187
113,100.027318062,53.0486491299,56.8166488159
114,100.108590956,53.0486491299,56.8259143916
115,100.800716398,53.2077250643,56.8612163124
116,101.203362998,53.2077250643,56.8612163124
117,101.700627759,53.2122523789,56.8612163124
118,101.820947108,53.2336206347,56.8916794639
119,102.067282947,53.2336206347,56.8916794639
120,102.154283497,53.2609371413,56.9189959706
121,102.384077005,53.2894280879,56.9279675691
122,102.6666053,53.2894280879,56.9279675691
123,103.39692034,53.3346445328,56.9453788179
124,103.869111444,53.4176019169,56.9640987299
125,103.969365807,53.4210531606,56.9858953722
126,104.192890854,53.430680959,57.0592431561
127,104.730148164,53.4392529293,57.0678151263
128,105.170197158,53.4660398896,57.0946020867
129,105.270962141,53.4842334999,57.1244394073
130,105.482657021,53.5104199104,57.1689749148
131,105.926615293,53.5382164923,57.1917703482
132,106.134694748,53.635709568,57.3104554858
133,106.467525857,53.65235875,57.3104554858
134,106.94553869,53.7122121196,57.3640216779
135,107.266785233,53.7415049684,57.3640216779
136,107.569313343,53.9014020131,57.5347017472
137,107.786040195,53.9125720792,57.5347017472
138,107.952787246,54.0468800398,57.5890002877
139,108.209334765,54.0468800398,57.6140821656
140,108.352724015,54.050360841,57.6243495143
141,108.624998689,54.050360841,57.6243495143
142,108.680553495,54.072252845,57.6628090758
143,109.475399966,54.0818559597,57.6724121905
144,109.962646536,54.0888624947,57.6877757704
145,110.579690944,54.1450876313,57.7468935493
146,110.793563954,54.1498682705,57.7516741884
147,110.79833985,54.1498682705,57.7516741884
148,111.036825262,54.156412902,57.7702484789
149,111.17981575,54.156412902,57.7834174887
150,111.225586863,54.3312854109,57.9582899976
151,111.682662576,54.336243912,57.9721609947
152,111.761450738,54.3502077233,57.9822247576
153,112.086954419,54.3827528349,58.0372375199
154,112.44281654,54.3827528349,58.0556532687
155,112.857964096,54.396884696,58.0556532687
156,113.265872824,54.5018447282,58.1709964567
157,113.349905462,54.5323524876,58.2266573185
158,113.635671535,54.562431982,58.2785755093
159,113.850613538,54.562431982,58.2785755093
160,114.230447718,54.6208131742,58.3369567015
161,114.631484571,54.6216063119,58.4646923254
162,114.895847932,54.6216063119,58.4646923254
163,115.091662047,54.7568931085,58.6332964815
164,115.28445544,54.8859096784,58.7634317697
165,115.589768543,54.8965602022,58.7645021227
166,115.901792155,54.9331013152,58.8771541772
167,116.073141112,54.9447503571,58.8924690448
168,116.176865713,55.0930171705,58.8956020781
169,116.303554035,55.116056292,58.9057490067
170,116.539905758,55.117605683,58.9147547936
171,116.729648707,55.1185506248,58.9721396
172,117.509481567,55.1210454373,58.9721396
173,117.763595785,55.1210454373,58.9721396
174,118.026434579,55.1210454373,58.9880661715
175,118.247779379,55.1304436003,59.0089059782
176,118.371317745,55.1310394772,59.0095018552
177,118.478232167,55.2196699144,59.1010829244
178,118.618087694,55.2262211819,59.1010829244
179,118.697992954,55.234377651,59.1379171319
180,119.071664705,55.2897341301,59.193273611
181,119.131210912,55.296273118,59.1998125989
182,119.401274037,55.3062866969,59.2178119419
183,119.905503472,55.3062866969,59.3362915424
184,119.984157235,55.348707823,59.3843625308
185,120.036584784,55.3515568601,59.3872115679
186,120.154480376,55.3557775362,59.391432244
187,120.513283809,55.5437166822,59.5010152135
188,120.859894162,55.5437166822,59.5010152135
189,121.785952805,55.5437166822,59.5333647484
190,121.846049273,55.5550796362,59.5453641957
191,122.323646524,55.5731426456,59.5596317041
192,123.094589431,55.5792855577,59.5599354075
193,123.332265397,55.6447374789,59.6228504964
194,123.452878657,55.6499167256,59.6280297431
195,123.583136885,55.6499167256,59.6280297431
196,123.860527081,55.6782655859,59.6563786035
197,124.329589962,55.7186487607,59.70919169
198,124.408537684,55.7396167956,59.7224848168
199,124.599778954,55.7489773846,59.7318454058
