Time(Iteration),CAB_rejectCoTheta,CAB_originalCoTheta,LinUCBCoTheta,,,,,,
0,0.973670679903,0.976056300637,0.976148084172,,,,,,
1,0.959780467021,0.964053094314,0.956929117403,,,,,,
2,0.932218597943,0.951811175814,0.932782105698,,,,,,
3,0.901615193939,0.933422364271,0.90395538993,,,,,,
4,0.877883643879,0.921261506124,0.875356894893,,,,,,
5,0.867187191829,0.910246690072,0.860935131407,,,,,,
6,0.853904393411,0.888016374698,0.847341518446,,,,,,
7,0.828655794634,0.861309544079,0.826499797825,,,,,,
8,0.811550351488,0.831966748733,0.809548684491,,,,,,
9,0.797952812229,0.814495102624,0.792810008495,,,,,,
10,0.786306697064,0.797103790875,0.774274973293,,,,,,
11,0.771640305393,0.777866328739,0.759139980529,,,,,,
12,0.756285035382,0.766669575866,0.741794928127,,,,,,
13,0.739630618734,0.754669036641,0.726822713901,,,,,,
14,0.731479086865,0.737221496753,0.715274110058,,,,,,
15,0.719709624418,0.7217553666,0.699109716374,,,,,,
16,0.699188070018,0.695030183121,0.684143212705,,,,,,
17,0.683719452201,0.679393923375,0.672929965683,,,,,,
18,0.6710317629,0.671635430012,0.660412374369,,,,,,
19,0.662651193273,0.667192774213,0.653347334647,,,,,,
20,0.655224794242,0.656264904268,0.646867303263,,,,,,
21,0.645176428777,0.648812368631,0.641446996332,,,,,,
22,0.633336386333,0.641266797794,0.633951301602,,,,,,
23,0.62762926283,0.622527497903,0.628115559292,,,,,,
24,0.615732361292,0.610822769704,0.623822035705,,,,,,
25,0.607089458736,0.606812183373,0.616511661773,,,,,,
26,0.600473337958,0.600199366491,0.609090582034,,,,,,
27,0.591948545808,0.597930892446,0.601129174453,,,,,,
28,0.584717804002,0.590455619315,0.593004945006,,,,,,
29,0.575042015684,0.583902307678,0.587093441725,,,,,,
30,0.565586433406,0.576679936262,0.579463130131,,,,,,
31,0.561234411139,0.57559786714,0.574656650399,,,,,,
32,0.555694309638,0.572293329366,0.56881547887,,,,,,
33,0.545904763881,0.552679765236,0.561133803505,,,,,,
34,0.539862961041,0.544074972657,0.553586052209,,,,,,
35,0.53154579502,0.533546126147,0.543822608707,,,,,,
36,0.525305970266,0.521033131482,0.537263170225,,,,,,
37,0.520277497544,0.51999948288,0.533180569082,,,,,,
38,0.507423059062,0.515843599168,0.528637288771,,,,,,
39,0.49902947271,0.507527238202,0.515449254159,,,,,,
40,0.492526800749,0.4925368664,0.506200508229,,,,,,
41,0.486788847012,0.486400148315,0.49423998896,,,,,,
42,0.482709844256,0.478764505144,0.488935971404,,,,,,
43,0.479303986989,0.473148996897,0.483699972999,,,,,,
44,0.477762081247,0.467531291936,0.482434644389,,,,,,
45,0.473643851916,0.459222590078,0.475847629994,,,,,,
46,0.470541692703,0.454584161015,0.471003371786,,,,,,
47,0.468234854084,0.450694710798,0.468631619614,,,,,,
48,0.466829496326,0.449718566196,0.4659626306,,,,,,
49,0.465270769692,0.442393395273,0.463970135455,,,,,,
50,0.460875427755,0.438064260917,0.458863354056,,,,,,
51,0.456358082976,0.430770362058,0.453513197334,,,,,,
52,0.450143911402,0.42858531699,0.452019900233,,,,,,
53,0.445190589495,0.42549320273,0.445703309856,,,,,,
54,0.440696390978,0.419343907129,0.441414226518,,,,,,
55,0.438854848122,0.41519464034,0.43884382079,,,,,,
56,0.43700931177,0.414409258964,0.436964215097,,,,,,
57,0.434758518011,0.412184158983,0.435121948031,,,,,,
58,0.43230891371,0.408440477531,0.433627710711,,,,,,
59,0.429462688257,0.407129308786,0.432179737154,,,,,,
60,0.422916389892,0.399646525703,0.425955221976,,,,,,
61,0.417830116631,0.395045005219,0.423401195654,,,,,,
62,0.415490476279,0.392738355894,0.421695798897,,,,,,
63,0.406569046433,0.389397713118,0.420550040531,,,,,,
64,0.403844998717,0.387417015793,0.417659812648,,,,,,
65,0.403987913968,0.385466103754,0.416493850508,,,,,,
66,0.40054966309,0.380987997849,0.411285933823,,,,,,
67,0.396657340417,0.378491504297,0.409083499302,,,,,,
68,0.394425286084,0.374668855232,0.406016662261,,,,,,
69,0.386605163916,0.368269858329,0.401162332853,,,,,,
70,0.383213201168,0.366954909591,0.399192395936,,,,,,
71,0.382076304241,0.364253703008,0.397073650788,,,,,,
72,0.377887266917,0.36131253886,0.395185047914,,,,,,
73,0.376340246987,0.352757438112,0.38972847322,,,,,,
74,0.370731837626,0.348917582294,0.385917505577,,,,,,
75,0.369340892786,0.348083889543,0.385190779726,,,,,,
76,0.364143471433,0.346832820107,0.37854749114,,,,,,
77,0.362451317625,0.344691879621,0.376498819175,,,,,,
78,0.361071820245,0.342844587123,0.373871490522,,,,,,
79,0.359267556898,0.341434290936,0.372371264994,,,,,,
80,0.356606329235,0.339161577246,0.371747825634,,,,,,
81,0.353715257732,0.336601076495,0.370163847364,,,,,,
82,0.351670132303,0.335575755735,0.369810819801,,,,,,
83,0.349255258417,0.335243687674,0.368971177196,,,,,,
84,0.348113542439,0.333038805107,0.366418483223,,,,,,
85,0.344706738293,0.329750146896,0.363296671321,,,,,,
86,0.34385355968,0.327013969667,0.361114721731,,,,,,
87,0.33808425627,0.322205712948,0.357019655485,,,,,,
88,0.334927826418,0.320437890413,0.354700074239,,,,,,
89,0.334856753097,0.319919507242,0.354517644985,,,,,,
90,0.333282517435,0.318488900043,0.350523138274,,,,,,
91,0.330526961218,0.316706657908,0.349890886113,,,,,,
92,0.326464739339,0.315176142883,0.348808947468,,,,,,
93,0.324360175314,0.314525024052,0.347264492252,,,,,,
94,0.316951295508,0.308024695715,0.339286792375,,,,,,
95,0.315708899373,0.307452360457,0.337929158779,,,,,,
96,0.31495992711,0.305976250441,0.334608529862,,,,,,
97,0.313093963211,0.304523403166,0.332528365576,,,,,,
98,0.306664806187,0.302957798853,0.330845803773,,,,,,
99,0.305144956193,0.301774251454,0.329345469683,,,,,,
100,0.304146771592,0.300164462162,0.328275749122,,,,,,
101,0.301035106245,0.298051560154,0.325926790152,,,,,,
102,0.299355751123,0.294507975836,0.325007823185,,,,,,
103,0.298320948454,0.292732764003,0.322179723808,,,,,,
104,0.297183918154,0.292586381409,0.321327527733,,,,,,
105,0.296050365622,0.290943077043,0.318507791924,,,,,,
106,0.293697690924,0.288458881709,0.3130891471,,,,,,
107,0.292979002934,0.287317265339,0.311704978752,,,,,,
108,0.292217675503,0.282015627415,0.310274544149,,,,,,
109,0.291789754887,0.280881718026,0.309809342194,,,,,,
110,0.287988507832,0.278381478403,0.30750812709,,,,,,
111,0.287229188278,0.278609950953,0.307646383236,,,,,,
112,0.283448197405,0.27735069136,0.30636120376,,,,,,
113,0.282894610507,0.276463274315,0.305844766793,,,,,,
114,0.280789594368,0.275624117186,0.305304850712,,,,,,
115,0.279992312325,0.275706435832,0.304853394359,,,,,,
116,0.278707907544,0.274261203705,0.303765452317,,,,,,
117,0.278099657961,0.273585916821,0.302986771508,,,,,,
118,0.276345547228,0.272497492619,0.301606800997,,,,,,
119,0.275892264643,0.271698524939,0.301284613618,,,,,,
120,0.274566950117,0.270573327626,0.299668218753,,,,,,
