Time(Iteration),CAB_User,CAB,CAB_original,LinUCB
0,6.21462307258,6.21462307258,6.21462307258,6.31141137188
1,11.4209886338,11.4209886338,11.4209886338,11.5596809608
2,17.6713919736,17.6713919736,17.6713919736,17.8100843006
3,21.126196722,21.126196722,21.126196722,21.3338452741
4,24.8456964365,24.8456964365,24.8456964365,24.6895171338
5,27.61823615,27.61823615,27.61823615,27.5087652124
6,30.8330603699,30.8330603699,30.8330603699,30.5942751052
7,33.0279407251,33.0279407251,33.0279407251,32.8392489887
8,35.3333749598,35.3333749598,35.3333749598,35.2472339765
9,38.0061588028,38.0061588028,38.0061588028,37.9230613641
10,40.0372363113,40.0372363113,40.0372363113,39.9566050165
11,42.5080027942,42.5080027942,42.5080027942,42.3554742578
12,43.8594062589,43.8594062589,43.8594062589,43.6549690215
13,45.7394888409,45.7394888409,45.7394888409,45.6017328933
14,47.2774723899,47.2774723899,47.2774723899,46.9323556157
15,48.4932995428,48.4932995428,48.4932995428,48.0644074036
16,49.9523270277,49.9523270277,49.9523270277,49.5337296031
17,51.5303413044,51.5303413044,51.5303413044,50.5997368815
18,52.6955237314,52.717923657,52.6955237314,51.8123039512
19,53.7381881007,53.7501729366,53.7381881007,52.851636982
20,54.1033529143,54.1153377502,54.1033529143,53.287905723
21,54.5850415091,54.4973688014,54.5850415091,53.5264987442
22,55.3854490968,55.2977763891,55.3854490968,54.4927537141
23,56.0738785745,55.8253417878,56.0738785745,55.1387122717
24,56.7180700926,56.4609369798,56.7180700926,55.5884327141
25,57.2992925238,57.4555247923,57.2809934393,56.2972118067
26,57.619327324,57.8341906115,57.6010282395,56.8062982614
27,57.8567168501,58.2737983806,57.8446903911,57.2745161869
28,58.3269665013,59.0233058905,58.3149400423,57.6029051397
29,58.958343772,59.2358031739,58.946317313,58.2127143287
30,59.1166860833,60.0486370312,59.1046596243,58.4032771234
31,59.4602490103,60.5070225133,59.4482225513,58.6645738312
32,59.7030634859,60.8378651824,59.7193225056,58.8043516337
33,59.8588588089,61.650711581,59.8751178286,58.9955647284
34,60.0441444497,62.0564662811,60.0604034694,59.2748106442
35,60.2584490125,62.4903243319,60.2683926556,59.4827998305
36,60.2986608321,62.7565916657,60.3298452068,59.6154901172
37,60.377045012,63.0452689134,60.4082293867,59.7148385425
38,60.4621339004,63.1163207446,60.5086953243,59.9887450482
39,60.6454515345,63.6788379124,60.6920129584,60.1612234437
40,61.0676534378,64.3291789074,61.1468693152,60.8283362973
41,61.1035606532,64.5143348456,61.1827765307,60.8617517786
42,61.1120107176,64.6948974811,61.191226595,60.8644836874
43,61.2618731298,64.9809173307,61.2865689639,61.0143460996
44,61.3617758982,65.0728351665,61.3783111511,61.1549021962
45,61.4639195919,65.2801793105,61.5233003956,61.3118033827
46,61.5697400631,65.5114509059,61.6268115462,61.4176238539
47,61.6612581177,65.6763774279,61.7827834858,61.5619286435
48,61.6730817267,65.6882010369,61.7946070948,61.6423656093
49,61.7140266834,65.9073135697,61.8355520515,61.7591035492
50,61.9364013845,66.2234281886,62.0579267526,62.0478915599
51,62.3194120734,66.6115641107,62.3813787665,62.4277181536
52,62.4735461748,66.8509324593,62.535512868,62.6853755904
53,62.5838358778,67.3881783125,62.6547013393,62.9137337888
54,62.7864283906,67.8591281198,62.8663276327,63.1028328842
55,62.9456578059,68.1943866568,63.0762155361,63.2951427912
56,63.0359537548,68.3547336805,63.1406662484,63.3931330511
57,63.0756629533,68.5280565994,63.2345119828,63.6409835038
58,63.1213038179,68.6443425017,63.3001077251,63.8554519156
59,63.1519822879,68.8071543221,63.3001077251,63.9378248956
60,63.2512925752,69.0557377601,63.4081458226,64.0458629932
61,63.288969068,69.494449602,63.4458223153,64.0835394859
62,63.288969068,69.8884277823,63.4623157805,64.1000329511
63,63.3315109926,70.0007250342,63.5581249744,64.2235697265
64,63.3529065074,70.1963833575,63.5795204892,64.4193027451
65,63.4046487952,70.2508232029,63.6467373068,64.5136114063
66,63.492704878,70.3952345656,63.7347933896,64.6213891108
67,63.5327664524,70.4398968772,63.7590390134,64.6614506852
68,63.6763420653,70.7674241499,63.9026146263,64.8186183382
69,64.0504872421,71.2153703,64.2767598032,65.2274854913
70,64.3057452639,71.5569890832,64.5301920467,65.4827435131
71,64.3108201376,71.6465678662,64.550050227,65.4878183868
72,64.3312544593,71.7788511368,64.6040778839,65.5450088344
73,64.3474663265,71.9609993145,64.6202897511,65.5654306731
74,64.4120358653,72.3541407609,64.6293748844,65.6961072687
75,64.4824718753,72.4354023415,64.7145680248,65.7748352386
76,64.5310014984,72.5786692861,64.7271421526,65.7975037553
77,64.5760489598,72.676106533,64.7480326199,65.8661582404
78,64.5799965244,72.870014868,64.7549889516,65.8731145721
79,64.7190169106,73.034131034,64.8536472842,66.0161323418
80,64.766848802,73.4811558054,65.1238445927,66.2787209982
81,64.7947588875,73.643692842,65.2247484896,66.4367137442
82,64.7947588875,73.7177958345,65.3081703005,66.5330529473
83,64.7947588875,73.7521498284,65.312106228,66.5579368152
84,64.7947588875,73.8821210136,65.3204427577,66.5662733449
85,64.7993157475,74.0734486042,65.3249996177,66.5708302049
86,64.8249913043,74.2390685355,65.336671706,66.6086536118
87,64.8517218953,74.4173440585,65.3755607394,66.6353842028
88,64.8707443923,74.5218795302,65.3920146021,66.6802905267
89,64.9410600527,74.6459935778,65.4642889306,66.7738374333
90,65.1924490614,74.7680089567,65.7156779393,66.9464880591
91,65.1972432257,74.792825074,65.716597056,66.9572839994
92,65.2093543538,74.9152597947,65.7263686,66.9693951276
93,65.2449487971,75.1454107114,65.7619630433,67.0049895709
94,65.3090133282,75.4074397453,65.8409118623,67.1316193997
95,65.3293989883,75.5166545231,65.8684741753,67.1956703829
