Time(Iteration),CAB_original,LinUCB
0,1.47222661318,1.96745400671
1,3.52884534992,4.61603138301
2,4.73832034479,5.64385066506
3,5.71597101164,6.32091833125
4,7.04188013931,7.21861486854
5,7.74610836187,7.85304178203
6,8.46427113887,8.53251801107
7,9.30410126052,9.34517433789
8,10.0886544087,10.3161734096
9,10.7935095221,11.3674425782
10,11.3019115288,11.837465581
11,12.1456542618,12.7753298497
12,12.7398385466,13.791835238
13,13.5874148444,14.6508850035
14,14.3677539704,15.4822548058
15,14.7763692941,16.018900457
16,15.1833450257,16.7246793627
17,15.4182844319,17.0027194125
18,15.5992554843,17.5578759457
19,15.6825403972,18.0245448186
20,15.7130629737,18.2567274403
21,16.0468077616,18.8159920488
22,16.0843771916,19.0401572976
23,16.1545898503,19.4530741545
24,16.233003588,19.5300478032
25,16.2438957955,19.7380244253
26,16.4897428182,20.0597856894
27,16.7364411942,20.4840829415
28,16.8485389724,20.731480145
29,17.0076896926,20.731480145
30,17.2113672716,21.0401174792
31,17.3580458936,21.2130097849
32,17.6833526414,21.5514174423
33,17.8231568926,21.7165475863
34,17.9328952654,21.8815783071
35,18.0177533738,22.0016668094
36,18.1038816078,22.0862935595
37,18.216023113,22.2960456256
38,18.3469654663,22.4240786033
39,18.6518048147,22.571534456
40,18.7995310403,22.7810332041
41,19.0198012067,23.0010920338
42,19.023829394,23.2183437404
43,19.192698316,23.3872126625
44,19.2199863032,23.4034990931
45,19.310461573,23.4939743628
46,19.5134268979,23.6969396878
47,19.6793661426,23.8628789324
48,19.7309183309,23.9144311208
49,19.8804182749,24.0639310647
50,20.111472251,24.4052905593
51,20.176333404,24.4701517123
52,20.176333404,24.4701517123
53,20.2740137304,24.5966740969
54,20.3211278948,24.6437882613
55,20.348102103,24.6541468729
56,20.4407439968,24.6934689138
57,20.5761130396,24.8288379566
58,20.8028158688,24.8809102343
59,20.8084273337,24.9021657676
60,20.8148620082,24.9086004421
61,20.8799440342,24.962404688
62,20.8799440342,24.9631802191
63,20.8799440342,24.9631802191
64,21.0308254075,25.1140615924
65,21.1190717196,25.2870646082
66,21.1342290662,25.3087553377
67,21.1734220643,25.3220577391
68,21.3479285113,25.3391675568
69,21.4357100157,25.3446101475
70,21.4357100157,25.3446101475
71,21.5693848303,25.4177975732
72,21.6231969908,25.4514821178
73,21.6329532862,25.4612384133
74,21.6329532862,25.4612384133
75,21.652154101,25.4839335886
76,21.652154101,25.5512304341
77,21.7031446778,25.5962172907
78,21.7248059313,25.6753887249
79,21.8012175043,25.751800298
80,21.8281056108,25.751800298
81,21.8281056108,25.751800298
82,21.9113400258,25.8350347129
83,21.9173412476,25.8410359347
84,22.0068522954,25.9082601805
85,22.2160074544,25.9082601805
86,22.2160074544,25.9082601805
87,22.2160074544,25.9082601805
88,22.2160074544,25.9082601805
89,22.4215261475,26.0726246413
90,22.5099591194,26.0807538093
91,22.6286344207,26.1156967877
92,22.6321760089,26.119238376
93,22.6321760089,26.119238376
94,22.6680912425,26.119238376
95,22.7079431983,26.1590903318
96,22.7079431983,26.1590903318
97,22.7105785056,26.1590903318
98,22.9561135011,26.1590903318
99,23.0168259515,26.2198027822
100,23.0555981014,26.2198027822
101,23.0555981014,26.2198027822
102,23.119945056,26.2612005322
103,23.123638449,26.2648939251
104,23.123638449,26.2648939251
105,23.1251214057,26.2663768819
106,23.1251214057,26.2663768819
107,23.1420667757,26.2906181644
108,23.1420667757,26.2906181644
109,23.1420667757,26.2937883327
110,23.1579028899,26.2937883327
111,23.1579028899,26.2937883327
112,23.1579028899,26.3182160242
113,23.2302341375,26.3905472719
114,23.320650568,26.4809637024
115,23.320650568,26.4809637024
116,23.320650568,26.4809637024
117,23.3443441712,26.5046573056
118,23.3443441712,26.5046573056
119,23.3443441712,26.5046573056
120,23.3607632929,26.5210764272
121,23.3672406857,26.5296057165
122,23.3672406857,26.5296057165
123,23.3672406857,26.5296057165
124,23.4175946783,26.5799597091
125,23.4504019883,26.6152223103
126,23.4504019883,26.6160569779
127,23.4684106666,26.6340656562
128,23.480886205,26.6465411946
129,23.480886205,26.6465411946
130,23.480886205,26.6507101433
131,23.4975755364,26.6507101433
132,23.5331385366,26.6862731435
133,23.5331385366,26.6862731435
134,23.5331385366,26.6862731435
135,23.5331385366,26.6932894459
136,23.5431558006,26.70330671
137,23.5431558006,26.707334791
138,23.5431558006,26.707334791
139,23.5485856046,26.7127645951
140,23.5485856046,26.7127645951
141,23.5485856046,26.7127645951
142,23.5485856046,26.7127645951
143,23.5600400455,26.7174585423
144,23.5600400455,26.7174585423
145,23.5600400455,26.7174585423
146,23.5674415286,26.7248600254
147,23.5800372779,26.8137849233
148,23.5800372779,26.8137849233
149,23.5800372779,26.8137849233
150,23.5800372779,26.8137849233
151,23.5800372779,26.8137849233
152,23.5800372779,26.8137849233
153,23.6034960284,26.8372436738
154,23.6034960284,26.8372436738
155,23.6034960284,26.8372436738
156,23.6034960284,26.8372436738
157,23.6254855375,26.859233183
158,23.6254855375,26.859233183
159,23.6254855375,26.859233183
160,23.6254855375,26.859233183
161,23.6254855375,26.8671139855
162,23.6254855375,26.8671139855
163,23.6456399309,26.8887258322
164,23.6456399309,26.8887258322
165,23.6576134662,26.9006993675
166,23.6576134662,26.9077181158
167,23.6576134662,26.9077181158
168,23.6614686164,26.9077181158
169,23.6614686164,26.9077181158
170,23.6614686164,26.9077181158
171,23.76746441,27.0137139094
172,23.76746441,27.0137139094
173,23.76746441,27.0137139094
174,23.76746441,27.0137139094
175,23.76746441,27.0137139094
176,23.76746441,27.0137139094
177,23.7723283294,27.0137139094
178,23.7869715917,27.0137139094
179,23.7869715917,27.0137139094
180,23.8211012997,27.0478436175
181,23.8644520896,27.0911944073
182,23.9153528778,27.1420951956
183,23.9153528778,27.1493579478
184,23.9448725697,27.1773073389
185,23.9499609614,27.1788643952
186,23.9766387512,27.205542185
187,23.9766387512,27.205542185
188,23.9766387512,27.205542185
189,23.9766387512,27.205542185
190,23.9840096322,27.212913066
191,23.9840096322,27.212913066
192,23.9840096322,27.212913066
193,24.0033792727,27.212913066
194,24.0033792727,27.212913066
195,24.0033792727,27.212913066
196,24.0033792727,27.2184097815
197,24.0033792727,27.2184097815
198,24.0384838481,27.2184097815
199,24.0384838481,27.2184097815
200,24.0397542237,27.2196801571
201,24.0397542237,27.2196801571
202,24.0416303045,27.2196801571
203,24.0416303045,27.2196801571
204,24.0416303045,27.2196801571
205,24.0416303045,27.2196801571
206,24.0416303045,27.2196801571
207,24.0613075471,27.2278210457
208,24.0680682262,27.2278210457
209,24.0680682262,27.2278210457
210,24.0680682262,27.2278210457
211,24.0680682262,27.2278210457
212,24.0866803954,27.2444272823
213,24.0866803954,27.2444272823
214,24.1009316886,27.2586785755
215,24.101842696,27.2586785755
216,24.101842696,27.2586785755
217,24.1023915822,27.2586785755
218,24.1117872384,27.2680742317
219,24.1143356608,27.2680742317
220,24.1143356608,27.2680742317
221,24.1287382278,27.2818816104
222,24.1287382278,27.2818816104
223,24.1287382278,27.2818816104
224,24.1287382278,27.2818816104
225,24.1287382278,27.2818816104
226,24.1287382278,27.2818816104
227,24.1352920095,27.2884353921
228,24.1352920095,27.2884353921
229,24.1352920095,27.2884353921
230,24.1359888896,27.2891322722
231,24.1872191113,27.3403624939
232,24.1872191113,27.3403624939
233,24.1875154615,27.3406588441
234,24.2284918316,27.3406588441
235,24.2464109343,27.3406588441
236,24.2464109343,27.3406588441
237,24.2821505174,27.341863155
238,24.2821505174,27.341863155
239,24.2821505174,27.341863155
240,24.2821505174,27.341863155
241,24.2821505174,27.341863155
242,24.2821505174,27.341863155
243,24.3214318806,27.341863155
244,24.3214318806,27.341863155
245,24.3529831729,27.3734144473
246,24.3529831729,27.3734144473
247,24.3529831729,27.3734144473
248,24.3529831729,27.3734144473
249,24.3529831729,27.3734144473
250,24.3529831729,27.3734144473
251,24.3570677484,27.3774990228
252,24.3570677484,27.3774990228
253,24.3570677484,27.3774990228
254,24.3570677484,27.3774990228
255,24.3570677484,27.3774990228
256,24.3643668287,27.3847981031
257,24.3643668287,27.3847981031
258,24.3643668287,27.3847981031
259,24.3643668287,27.3847981031
260,24.3643668287,27.3847981031
261,24.3643668287,27.3847981031
262,24.3643668287,27.3847981031
263,24.3866053114,27.4070365857
264,24.3866053114,27.4070365857
265,24.3866053114,27.4075707633
266,24.3995654845,27.4594364394
267,24.3995654845,27.4594364394
268,24.421153489,27.4810244439
269,24.421153489,27.4810244439
270,24.421153489,27.4810244439
271,24.421153489,27.4810244439
272,24.421153489,27.4810244439
273,24.421153489,27.4810244439
274,24.4410983486,27.4810244439
275,24.4410983486,27.4810244439
276,24.4410983486,27.4810244439
277,24.4410983486,27.4810244439
278,24.4410983486,27.4810244439
279,24.4410983486,27.4810244439
280,24.4410983486,27.4810244439
281,24.4410983486,27.4810244439
282,24.4665693724,27.5123548141
283,24.4665693724,27.5123548141
284,24.4665693724,27.5123548141
285,24.4665693724,27.5123548141
286,24.4665693724,27.5123548141
287,24.4665693724,27.5123548141
