Time(Iteration),LinUCB
0,1.94262225894
1,4.04435368977
2,5.39175060538
3,7.1510098579
4,8.52505923046
5,10.1234022593
6,11.1751985125
7,12.0891369082
8,13.0628189501
9,13.9896811
10,14.8240516593
11,15.7113664684
12,16.4081973575
13,17.0870105205
14,17.818177835
15,18.2692860792
16,18.7420917555
17,19.2262641537
18,19.5427594692
19,19.8892148828
20,20.570935693
21,20.8303590344
22,21.0371509948
23,21.3069076117
24,21.6202222869
25,21.8298147568
26,22.0780383847
27,22.3520292163
28,22.7188862877
29,22.976541476
30,23.2709023358
31,23.6002078037
32,23.7363253292
33,23.9675971234
34,24.1095782491
35,24.2754493795
36,24.4593684392
37,24.5555798616
38,24.690861337
39,24.9123665179
40,25.0372453346
41,25.1664226558
42,25.3056438793
43,25.414586544
44,25.5906397337
45,25.7630364893
46,25.8987479813
47,26.009971023
48,26.0164707815
49,26.1872564099
50,26.2474474339
51,26.3099698645
52,26.3593949901
53,26.4191244867
54,26.4669134209
55,26.5967157862
56,26.7586497911
57,26.8571288467
58,26.9435519732
59,26.9870642578
60,27.1665914389
61,27.2910047382
62,27.3411951273
63,27.4438008026
64,27.4473317999
65,27.5087774931
66,27.5660933908
67,27.7659472429
68,27.8341706406
69,27.8992843919
70,27.9877915402
71,28.0089511422
72,28.0622101002
73,28.1274408911
74,28.2143787107
75,28.3580388908
76,28.4039990136
77,28.4389608709
78,28.4698416394
79,28.5001632948
80,28.5370176371
81,28.7483947719
82,28.8492586411
83,28.9059284604
84,29.1710417135
85,29.2624473767
86,29.2865493655
87,29.3206742521
88,29.3373677508
89,29.4486011119
90,29.4709290297
91,29.535055688
92,29.5679238205
93,29.5941016271
94,29.6505247331
95,29.71422755
96,29.7644967759
97,29.8178540711
98,29.8764716242
99,29.89999375
100,29.9001296008
101,29.9397456631
102,29.9825569809
103,30.0062114872
104,30.0635938291
105,30.0845391654
106,30.1032472712
107,30.1412645433
108,30.1797247506
109,30.2456326627
110,30.2739312185
111,30.3185950157
112,30.3694860549
113,30.4059405102
114,30.4336690818
115,30.4740132571
116,30.4990773583
117,30.5745975098
118,30.6067730663
119,30.6175255069
120,30.7103530283
121,30.7361228093
122,30.7657802809
123,30.7799591007
124,30.863414378
125,30.9279091417
126,31.0026763233
127,31.0410811702
128,31.1129922283
129,31.1369141994
130,31.2276351387
131,31.2624154993
132,31.2661711473
133,31.3417687896
134,31.3547416698
135,31.382229341
136,31.426607078
137,31.4885676545
138,31.5383103303
139,31.5581696216
140,31.5834773591
141,31.6126813811
142,31.6254026364
143,31.6893553175
144,31.7086869111
145,31.7447710885
146,31.7579797384
147,31.770909563
148,31.8390202212
149,31.8763549257
150,31.883900231
151,31.8876111059
152,31.889362763
153,31.897141081
154,31.897141081
155,31.9259715359
156,31.9444190898
157,32.0131756307
158,32.0485427923
159,32.0816475765
160,32.0978977713
161,32.118441836
162,32.1473342876
163,32.1929113312
164,32.2306786852
165,32.2537483292
166,32.2740116598
167,32.2870811139
168,32.3293092619
169,32.4004473864
170,32.4506124222
171,32.4942708422
172,32.5040504266
173,32.5298390088
174,32.5403447354
175,32.5555514746
176,32.5662788751
177,32.5940032138
178,32.6184552267
179,32.6568266285
180,32.6849322567
181,32.7297032556
182,32.7675634538
183,32.7926747588
184,32.8011804041
185,32.8212348978
186,32.8459767901
187,32.8630929824
188,32.8915183586
189,32.8984490406
190,32.9261384078
191,32.9543304654
192,32.9860940205
193,33.0039079208
194,33.0728413904
195,33.1577166291
196,33.2019976908
197,33.2263892723
198,33.2634246493
199,33.2862494602
200,33.3017150117
201,33.3060864733
202,33.3381439722
203,33.3648730132
204,33.3726057664
205,33.3940563185
206,33.4180167063
207,33.4495412309
208,33.4687565258
209,33.5006883206
210,33.5181281043
211,33.5417401598
212,33.5581608385
213,33.5785875019
214,33.6036641399
215,33.6153672542
216,33.6463938858
217,33.6463938858
218,33.6908475874
219,33.7269126018
220,33.735017682
221,33.7404154223
222,33.7527168049
223,33.7640848615
224,33.7899330788
225,33.8430379624
226,33.8723519001
227,33.8941722311
228,33.9343429725
229,33.9657993369
230,33.9813675524
231,34.0118990364
232,34.1096223103
233,34.1398488976
234,34.162134938
235,34.1999673668
236,34.2357076471
237,34.2505732229
238,34.2782382373
239,34.3162477308
240,34.3477175648
241,34.3708549096
242,34.3778905413
243,34.3976786702
244,34.4184475124
245,34.4225318529
246,34.4354627573
247,34.4610508374
248,34.4686708571
249,34.4725677791
250,34.5203908735
251,34.5237468032
252,34.5697085438
253,34.5697085438
254,34.5697085438
255,34.5733616792
256,34.6152401319
257,34.6245326374
258,34.6427795362
259,34.6771376902
260,34.7016654831
261,34.7121877788
262,34.7213479871
263,34.7345635961
264,34.7445161124
265,34.7639332725
266,34.7867912873
267,34.8169322494
268,34.8950609145
269,34.924376675
270,34.9941177533
271,35.0121175452
272,35.0121175452
273,35.0266820234
274,35.0527014978
275,35.0527014978
276,35.0569362278
277,35.0748121045
278,35.102245462
279,35.1058356238
280,35.112276286
281,35.1425063083
282,35.1593181578
283,35.2028980606
284,35.2121371801
285,35.229518684
286,35.2464376233
287,35.2805813043
288,35.3324075486
289,35.3350707751
290,35.3580006752
291,35.3607013463
292,35.3707226908
293,35.3990466488
294,35.4112406393
295,35.4112406393
296,35.4227820629
297,35.4327328471
298,35.4391773429
299,35.4524150909
300,35.4524150909
301,35.4587048883
302,35.4747695178
303,35.4796564891
304,35.5481647485
305,35.5574290177
306,35.5821982923
307,35.5994125709
308,35.6380869984
309,35.6567339869
310,35.6753231959
311,35.6865117961
312,35.7016562483
313,35.7084303995
314,35.7207575998
315,35.7422232037
316,35.7576805425
317,35.7692764329
318,35.7758587561
319,35.8050504347
320,35.8375143043
321,35.8547440381
322,35.8641399481
323,35.8813697468
324,35.9197194018
325,35.9659226286
326,35.9858175529
327,35.9894199538
328,35.9926136895
329,36.0172922573
330,36.0251639058
331,36.0263025899
332,36.044042717
333,36.0519937167
334,36.0598614394
335,36.065068675
336,36.0711764668
337,36.071757947
338,36.1140901555
339,36.1151852446
340,36.1151852446
341,36.11678558
342,36.1296807999
343,36.1413110388
344,36.1538373837
345,36.1576677589
346,36.187210099
347,36.2342805838
348,36.2454217925
349,36.2614541557
350,36.2707186952
351,36.2707186952
352,36.2707186952
353,36.2852072905
354,36.3032671316
355,36.3032671316
356,36.3257506136
357,36.3353456179
358,36.3526058762
359,36.3568763306
360,36.3975589987
361,36.4322744483
362,36.4401899888
363,36.4472469884
364,36.4884943694
365,36.4906911854
366,36.5119291629
367,36.5229151802
368,36.54600727
369,36.54600727
370,36.5581199756
371,36.5614149112
372,36.5650825973
373,36.5843513788
374,36.586987279
375,36.597926103
376,36.5985460477
377,36.6034114569
378,36.6245430587
379,36.633819491
380,36.641824499
381,36.647823846
382,36.6771969313
383,36.6872047398
384,36.6961969877
385,36.7461794482
386,36.759807963
387,36.7704890023
388,36.7704890023
389,36.7878901964
390,36.7886152986
391,36.8115406408
392,36.8130965293
393,36.8244080828
394,36.8364081158
395,36.8418074654
396,36.8480062343
397,36.8730576843
398,36.8867176893
399,36.8994920065
400,36.9084080782
401,36.9567155126
402,36.966739319
403,36.975927415
404,36.9792863907
405,36.9849232024
406,37.0094263132
407,37.0233182104
408,37.0440076238
409,37.0485269473
410,37.0623115601
411,37.0859577931
412,37.0999059804
413,37.1069873532
414,37.1094873517
415,37.1186496612
416,37.1186985988
417,37.1186985988
418,37.1264090504
419,37.1348567004
420,37.1524135178
421,37.1589809703
422,37.1727081218
423,37.1798421364
424,37.1860833138
425,37.1860833138
426,37.2000864195
427,37.2006169431
428,37.2220126012
429,37.2406941436
430,37.2406941436
431,37.259457565
432,37.2641970942
433,37.282987399
434,37.289363977
435,37.2919083037
436,37.2965018084
437,37.3299254141
438,37.3405584153
439,37.3538852801
440,37.357948573
441,37.3795592857
442,37.3795592857
443,37.3796609317
444,37.3870614823
445,37.3913262791
446,37.3915357665
447,37.4033337428
448,37.4152504341
449,37.4287545829
450,37.4333715852
451,37.4357834887
452,37.4523415719
453,37.4606210762
454,37.4606210762
455,37.4666825504
456,37.4782992916
457,37.4918827739
458,37.5017431244
459,37.5318889636
460,37.5471379943
461,37.5567028444
462,37.5714546873
463,37.5961047067
464,37.6111690997
465,37.6117568952
466,37.6117568952
467,37.6133421404
468,37.6311090355
469,37.6311090355
470,37.6343454206
471,37.6391218371
472,37.6510245912
473,37.6805966588
474,37.6827371416
475,37.6860238139
476,37.6947065912
477,37.6991349335
478,37.7019179445
479,37.7019179445
480,37.7139023498
481,37.7349402463
482,37.7433043332
483,37.7485128251
484,37.7534171419
485,37.7539242434
486,37.7579522681
487,37.7669535466
488,37.7690297488
489,37.7690297488
490,37.7722710916
491,37.784112558
492,37.800543511
493,37.8319269122
494,37.8405132321
495,37.8407368796
496,37.8407368796
497,37.8531009828
498,37.8661723471
499,37.8775863033
