Time(Iteration),CAB_2_3CoTheta,CAB_originalCoTheta,CAB_5_6CoTheta,CAB_optimalCoTheta,,,,,,
0,0.9733097643,0.962350759347,0.9733097643,0.9733097643,,,,,,
1,0.926137343677,0.93013154338,0.916112916968,0.91646809656,,,,,,
2,0.895969391545,0.904936545843,0.891092920701,0.887020716886,,,,,,
3,0.869246590369,0.880796139151,0.868510067604,0.863439886506,,,,,,
4,0.849637043899,0.85248284871,0.846630368454,0.839991725894,,,,,,
5,0.833110154382,0.837126712885,0.827818071174,0.821310593798,,,,,,
6,0.81895889513,0.823899713602,0.811059597588,0.803727506838,,,,,,
7,0.80071167539,0.80806581664,0.786441130623,0.778226331282,,,,,,
8,0.773610745144,0.792527320618,0.77449113156,0.765322963516,,,,,,
9,0.758276225134,0.778041532712,0.762806069327,0.748419811609,,,,,,
10,0.744080195805,0.766054585766,0.752015502418,0.734534221122,,,,,,
11,0.731510024349,0.752146737771,0.736403762732,0.720252655388,,,,,,
12,0.716952029929,0.736362656596,0.72426120325,0.708195681506,,,,,,
13,0.710794406937,0.729928137954,0.713929821989,0.700569205421,,,,,,
14,0.699082737806,0.720154393267,0.705413173294,0.692527780191,,,,,,
15,0.688606014007,0.711232260019,0.697254409586,0.677931759843,,,,,,
16,0.678132848243,0.696442895221,0.685251617333,0.671623245127,,,,,,
17,0.659526110453,0.679598815225,0.672085478206,0.660877005117,,,,,,
18,0.647189296246,0.668581478779,0.65537739449,0.654331464849,,,,,,
19,0.643797120899,0.659376423356,0.651869548205,0.64948247184,,,,,,
20,0.6349537677,0.644933887898,0.642929302761,0.638638379704,,,,,,
21,0.630556081934,0.639800167743,0.636778373404,0.62983183577,,,,,,
22,0.624878271286,0.631434869316,0.628511598083,0.626483961008,,,,,,
23,0.619344324359,0.623936271566,0.62564881993,0.620834572903,,,,,,
24,0.614002800878,0.619121895866,0.620669768069,0.617523533183,,,,,,
25,0.600478908968,0.611106588228,0.61387527955,0.612558081366,,,,,,
26,0.596413640912,0.604818733563,0.610117562593,0.601298045755,,,,,,
27,0.589257326805,0.60071487892,0.604649019354,0.594786839464,,,,,,
28,0.581697775542,0.595849875082,0.597095290972,0.590129141093,,,,,,
29,0.573825414637,0.588014805808,0.593136919494,0.587172565004,,,,,,
30,0.569260151687,0.580135317491,0.58963217914,0.579939671524,,,,,,
31,0.563114238116,0.575205174219,0.58662988919,0.572608490193,,,,,,
32,0.560051904292,0.570687102911,0.58434561819,0.56229938454,,,,,,
33,0.547907817059,0.568190178543,0.577708272803,0.560713442923,,,,,,
34,0.542293999124,0.564316546269,0.569506215058,0.555407174176,,,,,,
35,0.538990512301,0.558268152228,0.56314178435,0.549322126235,,,,,,
36,0.534839128446,0.554156982534,0.561280379475,0.54434756635,,,,,,
37,0.531552049669,0.549555413396,0.558692607914,0.541503452479,,,,,,
38,0.526790071915,0.545478745531,0.555167230398,0.537909980783,,,,,,
39,0.520375243175,0.54059113991,0.54414844248,0.528992463289,,,,,,
40,0.517498028648,0.53872020149,0.542817253027,0.527735078724,,,,,,
41,0.514407750849,0.536817428659,0.539578548452,0.524087192768,,,,,,
