Time(Iteration),CAB_2_3CoTheta,CAB_originalCoTheta,CAB_5_6CoTheta,CAB_optimalCoTheta,,,,,,
87,0.395659465542,0.418163756535,0.406251450174,0.398244112624,,,,,,
88,0.394941911396,0.41481791932,0.40419962872,0.397657584765,,,,,,
89,0.393418093383,0.413549887372,0.401338908898,0.395234300967,,,,,,
90,0.392987822942,0.410316488126,0.400001832805,0.38972206745,,,,,,
91,0.393175947885,0.408030758312,0.39923862551,0.388390018718,,,,,,
92,0.392677192186,0.406769956376,0.399367778977,0.388031359045,,,,,,
93,0.391327513679,0.405523937111,0.398080385755,0.38739729578,,,,,,
94,0.390723091776,0.403616156476,0.397588147639,0.386229294043,,,,,,
95,0.389792601624,0.402748958693,0.391236482507,0.385447153296,,,,,,
96,0.389084928491,0.400968843187,0.390594564812,0.384984419303,,,,,,
97,0.388871971809,0.397589921782,0.390111338513,0.38319009866,,,,,,
98,0.388148683578,0.397113630175,0.387758003624,0.382755561733,,,,,,
99,0.388568301039,0.393191986718,0.387565678934,0.382856970181,,,,,,
100,0.386374095175,0.390884580779,0.380788190659,0.381223240173,,,,,,
101,0.38183313402,0.385686048087,0.379246508867,0.381229423511,,,,,,
102,0.380759528569,0.385834648033,0.379202676953,0.381110631159,,,,,,
103,0.376902583241,0.38260258918,0.375586083624,0.379598876349,,,,,,
104,0.376737309124,0.381080287133,0.375271412133,0.379334133814,,,,,,
105,0.375692077278,0.379150348133,0.373216053462,0.37915976066,,,,,,
