Time(Iteration),CAB_true_increase,CAB_original,CAB_optimal,LinUCB
0,6.49436142254,7.0200550161,6.49436142254,6.08969496991
1,12.5686749828,13.5419042702,9.98187698456,12.3028000435
2,17.4365205854,17.908342883,12.4470363661,16.7207423659
3,20.8318643309,20.7721227592,14.7198492067,19.9471783605
4,24.7815794639,23.89653812,16.1748408056,23.4351267544
5,27.5903939504,27.680064969,17.5649847904,26.2269264218
6,30.1815980119,30.0394619309,19.1955629812,28.7322120091
7,32.5792164939,32.7841377825,20.7559343847,31.2145955225
8,34.3573192617,34.8561456388,21.8935508193,32.7797866552
9,35.5936552834,36.840575572,23.1060209791,33.7839759066
