Time(Iteration),CAB_5_6
0,6.93536743395
1,14.4792741444
2,22.1091021723
3,27.9314675665
4,33.5494824168
5,39.99732963
6,46.1554098776
7,51.6493143399
8,57.5823349021
9,62.7113942327
10,67.5634549881
11,72.0098899342
12,78.2387069489
13,83.2915639532
14,87.7296852161
15,92.9679979309
16,98.9848289943
17,104.152819521
18,107.897953338
19,113.328539259
20,118.764164326
21,124.40481733
22,129.554110222
23,133.622537147
24,139.146645196
25,143.938085155
26,147.762773575
27,152.503142838
28,158.585878979
29,164.20577223
30,169.309896271
31,173.619790098
32,178.433506026
33,184.551116122
34,189.835767503
35,193.805340751
36,198.691220269
37,203.233850732
38,208.812511844
39,213.308700423
40,217.653378138
41,222.21507971
42,227.515951175
43,231.275612071
44,236.229529007
45,241.684321239
46,245.89831265
47,250.970421273
48,255.552049754
49,259.263020911
50,263.708763753
51,267.566559263
52,270.877708687
53,275.546968277
54,280.922568549
55,283.600255481
56,288.986873784
57,293.210088711
58,298.426795631
59,303.958050243
60,309.959278276
61,315.30890531
62,320.618905147
63,325.347873605
64,329.884627258
65,335.462686013
66,341.055198039
67,345.967942239
68,349.537125573
69,354.593137646
70,359.451985471
71,364.477534375
72,368.670401414
73,373.425202758
74,378.016065659
75,382.205005043
76,386.564500114
77,390.912998479
78,395.993607184
79,399.650155698
80,403.602607384
81,408.139370104
82,411.892206683
83,416.833511145
84,421.327048021
85,426.196600299
86,431.666437806
87,436.787627826
88,441.536440103
89,446.039692267
90,450.878083628
91,454.99110222
92,459.247799087
93,463.568388996
94,468.300567406
95,473.368521715
96,477.759248085
97,481.662309534
98,486.02201251
99,490.90059084
100,495.761289891
101,501.121649568
102,505.999692811
103,512.696881159
104,517.598025583
105,522.129633718
106,526.58148122
107,531.354886215
108,536.327189214
109,541.437280857
110,546.156044771
111,550.06702804
112,554.616619403
113,558.371549054
114,562.522124991
115,566.433033753
116,571.053571343
117,575.800737864
118,579.840628532
119,584.552853431
120,589.184484896
121,593.635113816
122,598.94764639
123,603.802106288
124,608.609292077
125,613.396076426
126,617.237048846
127,620.285745926
128,624.686461504
129,630.485548422
130,635.807557438
131,641.216982306
132,646.058267943
133,650.320100288
134,655.990181641
135,660.318615041
136,664.834032514
137,670.406450376
138,675.71561462
139,678.781734731
140,682.341621516
141,687.5181965
142,693.210943882
143,698.411781997
144,702.054778374
145,707.141343046
146,711.74950715
147,715.5722407
148,719.648761007
149,723.773891425
150,728.416858524
151,733.25568492
152,737.317940526
153,741.223699755
154,744.596123028
155,749.459399391
156,753.87706803
157,757.814589542
158,762.365233118
159,766.701500008
160,771.362505677
161,775.547465679
162,780.464695558
163,785.336849095
164,789.318249042
165,792.805162564
166,796.816847774
167,800.939985227
168,805.405347152
169,809.959462293
170,813.262896845
171,819.335321828
172,824.66796631
173,828.939977174
174,832.928639311
175,836.500968856
176,840.837986796
177,846.008803101
178,849.409715205
179,854.167606869
180,858.352981799
181,861.80634677
182,866.624082675
183,871.362558231
184,875.473385839
185,880.702927178
186,886.002722191
187,890.956298611
188,895.214879416
189,899.61749413
190,903.326603253
191,906.178803304
192,910.984665925
193,914.673554011
194,919.134872549
195,923.521829933
196,928.530407295
197,933.374708646
198,937.515269039
199,941.505799584
