Time(Iteration),CAB,LinUCB
0,5.05475715329,5.59645439958
1,9.26342323243,9.68675031455
2,13.3675324326,14.4768323445
3,16.5476063157,18.6991375865
4,19.8117156156,21.4688173233
5,23.0337087439,25.0085202009
6,25.7205098533,27.5134459274
7,28.0835639834,28.8761956473
8,30.4725118664,31.4196239514
9,32.4742195193,33.0537624363
10,33.6226727683,34.4351353996
11,35.4500197157,35.6691959249
12,37.0374483812,36.4684936435
13,38.2513214963,37.0986161357
14,40.015658238,37.9751273779
15,40.9301745169,39.3006447575
16,41.9704816147,39.6036795623
17,42.8420655085,40.1697844431
18,43.710743553,40.7707212418
19,44.7657800961,41.1481333485
20,45.2756167655,41.3790265076
21,45.8097603755,41.3915895326
22,46.3553455035,41.5391394646
23,47.1166722548,42.1053319974
24,47.8758717306,42.5386004447
25,48.2091332086,42.5699564893
26,48.5386323024,42.9608987095
27,48.829530127,43.175376043
28,49.2763849226,43.5505414425
29,49.6625920413,43.7451152702
30,49.9070576058,44.0510299758
31,50.1856537905,44.4215162721
32,50.2729930369,44.6563836986
33,50.5402204481,44.924099823
34,50.7261881382,45.1512982712
35,50.8836439813,45.2647324195
36,50.9856279559,45.7104420893
37,51.1846603769,45.9206225366
38,51.4235824101,45.9957962785
39,51.5897757121,46.1402841421
40,51.7605368764,46.459654946
41,51.8242185188,46.5658786336
42,51.8436081946,46.7327543063
43,51.9144753369,46.949629536
44,52.1209937982,47.1479553043
45,52.2575318723,47.4558343229
46,52.2689766911,47.4558343229
47,52.3117007441,47.5098709341
48,52.3472250808,47.6417055377
49,52.4957585699,47.812512648
50,52.5229884689,47.8732567449
51,52.6073898263,47.9660500531
52,52.6075071649,48.0156590865
53,52.6748074772,48.063090665
54,52.9671280504,48.2967613321
55,53.0647037103,48.3943369921
56,53.0923506006,48.4219838824
57,53.2450352539,48.6140428926
58,53.384406441,48.7534140797
59,53.4810929718,48.8088300689
60,53.550983674,48.9054316505
61,53.5655332795,49.1195773723
62,53.6666501465,49.2610426491
63,53.6798067563,49.2640055522
64,53.6884749515,49.4379294002
65,53.7459762916,49.5938839035
66,53.7666834966,49.6377737075
67,53.8650940562,49.7036787989
68,53.890633288,49.7036787989
69,53.9592611377,49.7338143008
70,54.0414365263,49.7338143008
71,54.1785608581,49.8355276981
72,54.1914440178,49.8768860713
73,54.2676067793,50.0299839202
74,54.341184717,50.1172099596
75,54.4099656792,50.1859909218
76,54.4391582772,50.2624112665
77,54.4391582772,50.2624112665
78,54.4717776011,50.2904243232
79,54.4717776011,50.4644048801
80,54.516013855,50.5086411339
81,54.5434317662,50.5156754627
82,54.6005920612,50.6164667359
83,54.6005920612,50.7571328085
84,54.6492608931,50.7746969776
85,54.6764816369,50.8019177214
86,54.7207158263,50.8030754204
87,54.8440600856,50.856253352
88,54.8821174345,50.9293844233
89,54.9793908999,51.0780241957
90,55.0047319087,51.123179024
91,55.0050258273,51.1595372108
92,55.1289747602,51.2958524606
93,55.1537638543,51.3206415547
94,55.1738909633,51.3407686637
95,55.2193302316,51.5112285006
96,55.3383848963,51.6041728345
97,55.3481505667,51.6085412154
98,55.3481505667,51.6085412154
99,55.516070651,51.6202887439
100,55.5433738079,51.6475919008
101,55.5447796221,51.7891680377
102,55.699198276,52.0390714842
103,55.9303545703,52.1734317978
104,55.9897124939,52.2370580878
105,56.198141256,52.3304824554
106,56.2533240873,52.4002948571
107,56.2533240873,52.4002948571
108,56.2623477526,52.5029030812
109,56.3635283604,52.6461579684
110,56.4314140151,52.6490807648
111,56.4781053838,52.7428886255
112,56.5043377204,52.7623459299
113,56.5056451501,52.7636533596
114,56.53153669,52.7895448995
115,56.5874402242,52.7910051677
116,56.6201098297,52.8347629939
117,56.6278362316,52.8627679796
118,56.6768987372,52.8933511399
119,56.6822312523,52.8939057452
120,56.7273703238,52.9521990309
121,56.7434474154,53.0637423234
122,56.8188391704,53.128036104
123,56.872126558,53.322361199
124,56.9135875623,53.3638222034
125,57.0799409716,53.5418026481
126,57.1131665029,53.5585608412
127,57.1131665029,53.5585608412
128,57.1284394438,53.5585608412
129,57.2070577501,53.5763565305
130,57.3177529876,53.6870517681
131,57.3550697796,53.7819378703
132,57.4056703027,53.8439143037
133,57.4632693399,53.8519756488
134,57.4773058583,53.8707504738
135,57.5088191232,53.9022637388
136,57.6799608373,54.100029955
137,57.6799608373,54.100029955
138,57.7210101155,54.1410792332
139,57.7392294716,54.1697953401
140,57.874851689,54.1697953401
141,57.8796422284,54.1729429763
142,57.8796422284,54.1729429763
143,57.9036181648,54.2758257819
144,57.9866263341,54.2758257819
145,57.9981546709,54.2893517627
146,58.0612302828,54.3523596819
147,58.0612302828,54.3523596819
148,58.0706032907,54.3617326898
149,58.0768418487,54.3679712478
150,58.0768418487,54.3702884432
151,58.09643018,54.3898767745
152,58.1075229177,54.4009695122
153,58.1089145911,54.418400277
154,58.1107374704,54.4202231563
155,58.1107374704,54.480483951
156,58.1813129703,54.5510594509
157,58.2036996365,54.5734461171
158,58.2062843022,54.5760307828
159,58.2312808342,54.5830050642
160,58.2391111739,54.5908354039
161,58.2534260456,54.6051502756
162,58.3445167053,54.6051502756
163,58.3793342272,54.6399677975
164,58.3853876769,54.6473278013
165,58.4076313072,54.6473278013
166,58.4140335781,54.6499926534
167,58.4787688666,54.720081866
168,58.4999186903,54.720081866
169,58.6033126063,54.7548683397
170,58.6219724623,54.7735281958
171,58.6219724623,54.7735281958
172,58.6238835373,54.7754392707
173,58.6238835373,54.8695562734
174,58.6357275615,54.8750385109
175,58.6374988638,54.8869880425
176,58.6377460789,54.8872352576
177,58.7139664253,54.8991051162
178,58.7192316026,54.9043702935
179,58.7779778362,54.9227529613
180,58.7796879942,54.9244631194
181,58.8145655109,54.9625384593
182,58.8571055547,54.9858970876
183,58.8632916948,54.9920832277
184,58.8632916948,54.9920832277
185,59.0481397027,54.9920832277
186,59.1030430787,54.9920832277
187,59.1105109158,54.9995510648
188,59.1105109158,54.9995510648
189,59.119496363,55.0289208981
190,59.119496363,55.0354634508
191,59.119496363,55.0354634508
192,59.119496363,55.0354634508
193,59.1728908313,55.1421452995
194,59.2158657189,55.1911409173
195,59.2473755787,55.2720451962
196,59.2633025127,55.2909759323
197,59.3710062973,55.3219556398
198,59.3710062973,55.3219556398
199,59.3755767006,55.3265260431
200,59.488143506,55.4390928486
201,59.488143506,55.4390928486
202,59.5299330471,55.4457452221
203,59.5360986857,55.4519108606
204,59.5691862365,55.5105299327
205,59.6051934093,55.5471959506
206,59.6051934093,55.5471959506
207,59.6319844016,55.5522170818
208,59.6487690703,55.5522170818
209,59.6487690703,55.5522170818
210,59.6487690703,55.5522170818
211,59.681720185,55.5872063085
212,59.6883860815,55.5872063085
213,59.7151131301,55.7114859286
214,59.7162996904,55.7121089604
215,59.7188169724,55.7121089604
216,59.7272526623,55.7205446502
217,59.7587046339,55.7540352876
