Time(Iteration),CAB,CAB_original
0,2.16904986507,1.29876961209
1,4.88416069824,2.736551172
2,6.38642980184,4.26504650306
3,7.81264958889,5.58081404619
4,9.13480569397,6.50815577053
5,10.444269848,6.72165305552
6,11.1075174483,7.26978093108
7,12.7493293605,8.11625602702
8,13.3374949033,8.72631145218
9,13.7977008621,9.18989960097
10,14.310154369,9.85456960888
11,15.1331825362,10.6355874499
12,15.5094810708,10.7172644378
13,16.041232244,11.0994591825
14,16.3820099275,11.3968183339
15,16.6058320347,11.5717890474
16,16.7057871309,11.7453859776
17,17.0094003159,11.9595346231
18,17.0713668153,12.2812554416
19,17.4444901863,12.5490731259
20,17.5870176667,12.6979212525
21,17.6949562798,13.0166269088
22,17.7919537599,13.2542991292
23,17.8823768666,13.2627858372
24,18.0360942288,13.4547366883
25,18.0360942288,13.527960663
26,18.4631804174,13.7060454501
27,18.5173224455,13.7222080324
28,18.5967206954,13.9282060707
29,18.5998732112,13.9340177616
30,18.719985413,13.9848173798
31,18.9523251711,14.2744525142
32,18.9523251711,14.4299408735
33,19.1253889405,14.6694834731
34,19.1612373908,14.8187288739
35,19.2214156181,14.9819004266
36,19.3529070074,15.225503306
37,19.3716655154,15.2305571697
38,19.3737136317,15.2743788863
39,19.3737136317,15.2927286927
40,19.4979906726,15.4170057336
41,19.558590051,15.4974429662
42,19.600110066,15.6270218697
43,19.8216660192,15.9071697594
44,19.8998903729,16.0151355975
45,19.9112388449,16.2084210897
46,19.9492191911,16.2757541531
47,19.9638505063,16.2757541531
48,20.0829104202,16.4905132746
49,20.0829104202,16.6159653959
50,20.2357289766,16.736847818
51,20.2357289766,16.9152502211
52,20.2357289766,16.9152502211
53,20.2424025748,16.9318021867
54,20.2739128268,16.9633124387
55,20.4038406033,16.9633124387
56,20.4681035701,17.0275754055
57,20.5187741766,17.078246012
58,20.5187741766,17.2236607563
59,20.5641999365,17.2294751874
60,20.5641999365,17.2294751874
61,20.5641999365,17.2294751874
62,20.5863373645,17.2294751874
63,20.592358265,17.3431872783
64,20.592358265,17.3923104913
65,20.6338598544,17.3923104913
66,20.674756203,17.420109932
67,20.674756203,17.4390673515
68,20.6972263136,17.4615374621
69,20.7056298008,17.4699409493
70,20.7268187407,17.4911298891
71,20.7268187407,17.6020690544
72,20.7390558535,17.6211036364
73,20.7470135825,17.6665992548
74,20.8587848756,17.7783705479
75,20.8587848756,17.7783705479
76,20.8701439685,17.7783705479
77,20.8701439685,17.7783705479
78,20.8805115191,17.848108459
79,20.8805115191,17.848108459
80,20.9116438871,17.848108459
81,20.9116438871,17.848108459
82,20.9312854033,17.848108459
83,20.9312854033,17.848108459
84,21.0249090896,17.9533029408
85,21.0249090896,17.9533029408
86,21.0249090896,17.9533029408
87,21.0249090896,18.0296968296
88,21.0249090896,18.0296968296
89,21.0249090896,18.0296968296
90,21.1201488193,18.0413161373
91,21.1201488193,18.0533744322
92,21.1449124278,18.0533744322
93,21.146542327,18.0708810538
94,21.2659313936,18.0911413327
95,21.2659313936,18.1200080889
96,21.2659313936,18.1200080889
97,21.2659313936,18.1200080889
98,21.2659313936,18.1200080889
99,21.2661242252,18.1202009206
100,21.2661242252,18.1202009206
101,21.3027900878,18.1568667832
102,21.3405310217,18.1800877423
103,21.3405310217,18.1800877423
104,21.3405310217,18.1800877423
105,21.3405310217,18.1800877423
106,21.4016814028,18.1800877423
107,21.4016814028,18.1800877423
108,21.4017336178,18.1800877423
109,21.4221480128,18.248861278
110,21.4221480128,18.248861278
111,21.4221480128,18.248861278
112,21.4671367769,18.2950406289
113,21.4883571862,18.3079731155
114,21.5649033851,18.3845193144
115,21.5649033851,18.4658400048
116,21.5675546579,18.5347972266
117,21.5675546579,18.5347972266
118,21.6278076512,18.5347972266
119,21.6278076512,18.5387954255
120,21.6278076512,18.5438141482
121,21.6278076512,18.5438141482
122,21.6278076512,18.5438141482
123,21.6278076512,18.5438141482
124,21.6278076512,18.5438141482
125,21.6604332234,18.5786091244
126,21.6604332234,18.5786091244
127,21.6604332234,18.579031044
128,21.6621771563,18.585441865
129,21.6621771563,18.5924309473
130,21.6656614872,18.5959152781
131,21.6656614872,18.5959152781
132,21.6677236268,18.5979774177
133,21.6680182133,18.5979774177
134,21.6680182133,18.5979774177
135,21.6680182133,18.5979774177
136,21.6680182133,18.5979774177
137,21.6680182133,18.5979774177
138,21.6720868597,18.6020460641
