Time(Iteration),CAB_original,CAB_cbj+cbij,CAB_optimal,LinUCB
0,6.58260990981,6.93291362829,6.93291362829,7.19259668805
1,10.9937259412,9.56015505138,9.56015505138,12.179506981
2,15.5562127844,11.4065218914,11.4065218914,16.2282197548
3,19.0318218388,13.4474283021,13.4474283021,20.1169286086
4,22.0719409186,14.6704020844,14.6704020844,23.8793332347
5,25.2314958684,15.9048306713,15.9048306713,26.592221841
6,27.8869338836,16.6454474819,16.6454474819,29.5287255843
7,29.7832596244,17.7452504118,17.7452504118,31.0965546423
8,31.9945837755,18.5364252188,18.5364252188,32.9813791784
9,34.0661777488,19.2652484366,19.2652484366,34.7716376182
10,35.608906891,19.7588944906,19.7588944906,36.06918778
11,36.5595324511,20.4365596761,20.4365596761,37.7917332971
12,38.0518429556,21.7756817544,21.7756817544,39.7178192855
13,39.4909836677,22.5966352795,22.5966352795,40.8313530915
14,40.2083959998,23.2586170848,23.2586170848,42.0572050863
15,41.4986395371,23.661876484,23.661876484,42.904371639
16,42.1861351525,24.289087367,24.289087367,43.6377051894
17,43.0131627906,24.8622411664,24.8622411664,44.79728316
18,43.4109485281,25.1820825815,25.1820825815,45.2849833506
19,43.9276511562,25.4927866984,25.4927866984,45.7772006953
20,44.6858818798,25.7855013393,25.7855013393,46.7266541353
21,45.2647384374,26.425861385,26.425861385,47.5280781797
22,45.8125083341,26.5637998449,26.5637998449,47.9334631118
23,46.4757596145,26.9492003395,26.9492003395,48.4997703305
24,46.6821085763,27.0534205964,27.0534205964,48.8460027546
25,46.9813105138,27.2561087178,27.2561087178,49.1389222492
26,47.1991378676,27.2951362726,27.2951362726,49.2751777524
27,47.5877277879,27.4433331274,27.4433331274,49.5725737657
28,47.9334465201,27.6855793622,27.6855793622,50.1467569486
29,48.1361415078,27.9042688251,27.9042688251,50.4327858648
30,48.4449917804,27.9467901164,27.9467901164,50.6362320561
31,48.9484489712,28.4339567223,28.4339567223,51.269141448
32,49.3671642891,28.5250307609,28.5250307609,51.5470177127
33,49.5883820553,28.6531547482,28.6531547482,51.6879374845
34,49.7970715423,28.7033700221,28.7033700221,51.8417352213
35,50.0167713073,28.7856256791,28.7856256791,52.0981480896
36,50.3585251751,28.8877767462,28.8877767462,52.1916566648
37,50.651319322,29.2090353136,29.2090353136,52.5979775152
38,50.9760249638,29.3705912513,29.3705912513,52.9682373963
39,51.3158691998,29.6217159153,29.6217159153,53.2304796939
40,51.4612804633,29.6788457367,29.6788457367,53.48672472
41,51.6123892577,29.8847806217,29.8847806217,53.5777729062
42,51.8360563957,29.9484441482,29.9484441482,53.8710367146
43,51.933854556,30.0264061065,30.0264061065,54.1136099768
44,52.3175335231,30.3095681732,30.3095681732,54.4052287859
45,52.4558927399,30.3533551383,30.3533551383,54.4351962206
46,52.7451564085,30.6100567509,30.6100567509,54.6244889163
47,53.013464528,30.6945585928,30.6945585928,54.7849750261
48,53.2349062225,30.7057132888,30.7057132888,55.0693804639
49,53.3959113627,30.8097769694,30.8097769694,55.2895724443
50,53.6595201585,31.060742162,31.060742162,55.4648692711
51,53.952996436,31.2848506068,31.2848506068,55.6364321964
52,54.0856138729,31.392811742,31.392811742,55.8203685834
53,54.1265641056,31.4428300271,31.4428300271,56.039858307
54,54.2441082905,31.5122167374,31.5122167374,56.2841070658
55,54.3395690682,31.5769501506,31.5769501506,56.4109009746
56,54.5123590485,31.707628641,31.707628641,56.5196475419
57,54.6794127515,31.9849915801,31.9849915801,56.5938961494
58,54.9050046001,32.1152847722,32.1152847722,56.7722061595
59,55.0151870291,32.4054424679,32.4054424679,56.863429985
60,55.2053395463,32.4774099946,32.4774099946,57.0848270667
61,55.4390527272,32.7394491278,32.7394491278,57.1464395297
62,55.5447986792,32.8001242311,32.8001242311,57.2114130857
63,55.6899450564,32.960869025,32.960869025,57.2114130857
64,55.9952733653,33.1906240573,33.1906240573,57.3344945416
65,56.015221777,33.2105724691,33.2105724691,57.3839297068
66,56.494469667,33.539906455,33.539906455,57.7011829912
67,56.5077547254,33.5531915134,33.5531915134,57.7244932183
68,56.540299701,33.5954001656,33.5954001656,57.8360316333
69,56.587002797,33.6421032615,33.6421032615,57.9135079046
70,56.6444796548,33.7045284606,33.7045284606,57.9310694283
71,56.7836076131,33.7045284606,33.7045284606,57.9773238465
72,56.854705495,33.7312591703,33.7312591703,58.0156577317
73,56.942867599,33.7327155124,33.7327155124,58.0540747944
74,57.1123754578,33.8500027877,33.8500027877,58.0921370437
75,57.2800212249,34.0361243559,34.0361243559,58.2844200411
76,57.3824491275,34.1663732749,34.1663732749,58.3909969098
77,57.4956360785,34.1975144028,34.1975144028,58.506629036
78,57.5080829481,34.2811771578,34.2811771578,58.5566496096
79,57.583983497,34.293488656,34.293488656,58.5676759352
80,57.6300942259,34.3847533321,34.3847533321,58.6127154598
81,57.7165381146,34.4650218449,34.4650218449,58.6293856434
82,57.8322676488,34.5762507602,34.5762507602,58.678265037
83,57.8782233481,34.5854684392,34.5854684392,58.7205705562
84,58.0449678937,34.6405683083,34.6405683083,58.9503898285
85,58.0695642185,34.7394880905,34.7394880905,58.9558672511
86,58.3336792243,34.8565130418,34.8565130418,59.0700636484
87,58.3336792243,34.8565130418,34.8565130418,59.0719243438
88,58.3798078209,34.8607628514,34.8607628514,59.0858914864
89,58.3798078209,34.8607628514,34.8607628514,59.119033783
90,58.3913451766,34.8607628514,34.8607628514,59.119033783
91,58.4603999538,34.9283413163,34.9283413163,59.1966549231
92,58.4795773367,34.9283413163,34.9283413163,59.2158323061
93,58.5722489613,34.9831812736,34.9831812736,59.3210007988
94,58.710829088,35.0758593435,35.0758593435,59.4279949799
95,58.8591235987,35.1508188683,35.1508188683,59.5720526449
96,58.9398818925,35.2315771621,35.2315771621,59.6528109387
97,58.9776205774,35.297705228,35.297705228,59.6795521799
98,59.0032830539,35.3076851335,35.3076851335,59.7025001866
99,59.1071556486,35.4115577282,35.4115577282,59.7384237507
100,59.1669536613,35.4713557409,35.4713557409,59.8472229243
101,59.2457970175,35.5528998522,35.5528998522,59.85583273
102,59.3418419514,35.5863754466,35.5863754466,59.9183209855
103,59.3418419514,35.5863754466,35.5863754466,59.9361508012
104,59.3521671153,35.6074277721,35.6074277721,59.9572031267
105,59.3559218742,35.6074277721,35.6074277721,59.9572031267
106,59.3990890865,35.6207510615,35.6207510615,59.9851751508
107,59.4571204781,35.6764716491,35.6764716491,60.0966935499
108,59.6567986048,35.6959810087,35.6959810087,60.136924167
109,59.6725786051,35.711761009,35.711761009,60.211816667
110,59.7588302778,35.8581195665,35.8581195665,60.2568997606
111,59.8368044159,35.8623467249,35.8623467249,60.2568997606
112,59.8684526933,35.8814584046,35.8814584046,60.2694363582
113,59.8790857116,35.8819462611,35.8819462611,60.2720178451
114,60.0221288397,35.9214229194,35.9214229194,60.410484397
115,60.1306012208,35.959826087,35.959826087,60.4600429352
116,60.1701213248,36.0049950974,36.0049950974,60.5192374502
117,60.1701213248,36.0049950974,36.0049950974,60.5192374502
118,60.1963604221,36.0453372166,36.0453372166,60.6251807587
119,60.2403106987,36.0601695204,36.0601695204,60.6806052122
120,60.2453180371,36.066661428,36.066661428,60.7473146622
121,60.2504741705,36.0718175614,36.0718175614,60.7612940386
122,60.2504741705,36.0718175614,36.0718175614,60.764746068
123,60.2504741705,36.0718175614,36.0718175614,60.8120932176
124,60.258371904,36.0797152949,36.0797152949,60.8120932176
125,60.258371904,36.0912532481,36.0912532481,60.8188413395
126,60.2947914003,36.0912532481,36.0912532481,60.8223896076
127,60.3460027529,36.1424646007,36.1424646007,60.9705629678
128,60.363846139,36.1494255648,36.1494255648,60.9775239318
129,60.4639563231,36.227984559,36.227984559,61.0558592057
130,60.4984757701,36.227984559,36.227984559,61.0558592057
131,60.640902546,36.2457730256,36.2457730256,61.0919779435
132,60.6984015496,36.2900317242,36.2900317242,61.136236642
133,60.7052665127,36.2968966873,36.2968966873,61.1444481726
134,60.7359767036,36.3135436952,36.3135436952,61.1769804491
135,60.79339855,36.3242700533,36.3242700533,61.1877068072
136,60.8375742812,36.3242700533,36.3242700533,61.1877068072
137,60.8487754536,36.3242700533,36.3242700533,61.1908387152
138,61.0426902683,36.348090517,36.348090517,61.2684340515
139,61.059398618,36.3555609325,36.3555609325,61.2847331752
140,61.059398618,36.3555609325,36.3555609325,61.2847331752
141,61.0888241556,36.3555609325,36.3555609325,61.2901080724
142,61.0913843041,36.3581210811,36.3581210811,61.2960316261
143,61.1578048222,36.4245415992,36.4245415992,61.2978448694
144,61.1618699905,36.4286067674,36.4286067674,61.3019100377
145,61.174971822,36.4465767422,36.4465767422,61.3169420714
146,61.4259897508,36.4607534884,36.4607534884,61.3387923992
147,61.4259897508,36.4607534884,36.4607534884,61.3387923992
148,61.4259897508,36.4607534884,36.4607534884,61.3387923992
149,61.4473348034,36.4772589724,36.4772589724,61.364192146
150,61.4651510932,36.4950752622,36.4950752622,61.3803538659
