Time(Iteration),CAB_full,CAB_cbj,CAB_original,CAB_cbij,LinUCB
86,59.5518620937,53.0402696025,55.7708060385,57.0304696705,52.8604974208
87,59.690932984,53.0887442065,55.7851015913,57.1453229122,52.8882896011
88,59.9625323758,53.1999395484,55.9452215966,57.3189359931,53.0378508515
89,60.0166475225,53.2427116847,55.9821403402,57.3617081294,53.0838905462
90,60.0646438292,53.270387253,55.9840097197,57.4172482936,53.1012580513
91,60.1642598677,53.3829818564,55.9927472986,57.4984945732,53.1939700913
92,60.2700627713,53.3829818564,56.1328459355,57.5805176223,53.2321352337
93,60.2888056238,53.401724709,56.250840315,57.6665584285,53.3181760399
94,60.3431440261,53.4584093429,56.3120311334,57.6931379906,53.3516080181
95,60.5281220638,53.5523573273,56.3994678488,57.9143297945,53.4442011057
96,60.6197664705,53.6293910079,56.4652062847,57.9800682304,53.511066187
97,60.6862491667,53.7686110142,56.4801473618,58.0524716707,53.5266928729
98,60.7409806407,53.8412853152,56.5095265798,58.0700818544,53.5395729915
99,60.925812601,53.9151254677,56.5401415853,58.0866064205,53.6475070983
100,61.0509012192,54.0952340312,56.6295735227,58.2116950387,53.8125801882
101,61.2204295444,54.2388951146,56.6824211477,58.3016873204,54.0235749858
102,61.2294459119,54.2479114821,56.6914375152,58.3107036878,54.0325913532
103,61.330259794,54.3487253642,56.7452294353,58.3924818837,54.0627961608
104,61.4250214752,54.4434870453,56.8755728527,58.5116937257,54.1527570158
105,61.5366505959,54.4445716513,56.8766574587,58.6398159831,54.1527570158
106,61.5429986517,54.4734883819,56.8830055145,58.6398159831,54.1847302028
107,61.5758070564,54.477535374,56.8870525066,58.6726243878,54.1981629693
108,61.6232409532,54.5249692708,56.9111596214,58.753866066,54.2552975327
109,61.7204384586,54.623093602,56.9989029757,58.9570837457,54.3494624987
110,61.8142283947,54.732050477,57.0282664226,59.0450813877,54.3648130818
111,61.8408417474,54.7586638297,57.0282664226,59.0532407901,54.4222282106
112,61.8960234307,54.8127099122,57.0812873872,59.1777985803,54.5201826046
113,61.9593184426,54.829269685,57.1012404136,59.2353950696,54.561364897
114,62.0579929132,55.00726045,57.2031977927,59.3482334048,54.6556517026
115,62.2095282132,55.0636376181,57.3043942956,59.52369318,54.7508701596
116,62.3015574345,55.0913189272,57.3258026851,59.7431098786,54.9500346324
117,62.4441890484,55.1538993379,57.3883830957,59.9127449935,55.1580318088
118,62.4692122022,55.1754458288,57.440346053,59.9173045762,55.1580318088
119,62.5788599059,55.3190227169,57.5365356141,59.9743460557,55.2016151456
120,62.5799731133,55.3365036824,57.5687963476,60.0109094887,55.2070310526
121,62.6121776853,55.3967571669,57.5972603684,60.0819238235,55.2398409305
122,62.6121776853,55.410624488,57.6742982111,60.3715400567,55.3435715166
123,62.6175291357,55.4159759384,57.8717892765,60.5186027988,55.4635966913
124,62.9800788483,55.4340919201,57.9070666215,60.740201208,55.7908690588
125,63.2510922614,55.549313966,57.9098687858,60.8295797974,56.0119574001
126,63.3999118171,55.6365992349,57.9971540548,60.9166078644,56.0851839549
127,63.3999118171,55.6365992349,57.9975052726,60.9166078644,56.0951469939
128,63.6459821844,55.8837876718,58.1063474149,61.1688366814,56.3484938806
129,63.6897761009,55.9248843877,58.1452930808,61.2325360285,56.3765462245
130,63.7223253535,55.9375937843,58.145682923,61.2548254858,56.3892556211
131,63.7619875325,55.9946165339,58.1481723742,61.2597208325,56.4289178
132,63.8124278159,56.0361354688,58.1547695288,61.3529248421,56.4520924584
133,63.8456050076,56.0693126605,58.2302207761,61.4888428552,56.5238657007
134,63.8634638643,56.0693126605,58.2480796327,61.4888428552,56.5238657007
135,63.8634638643,56.122834181,58.2480796327,61.4920339441,56.5238657007
136,63.8815251218,56.1357796805,58.2654027391,61.5957774531,56.5431243029
137,63.978388311,56.1357796805,58.2806652136,61.6475227595,56.5629763462
138,64.0243445635,56.1357796805,58.3099902664,61.691805097,56.5629763462
139,64.0837727143,56.1495835931,58.3177737382,61.7130161968,56.6308857377
140,64.1817485315,56.1495835931,58.3495947055,61.7763867423,56.7606825223
141,64.2264338997,56.1495835931,58.3701547815,61.811144677,56.795440457
142,64.457937301,56.4307468629,58.4658677451,62.0251705558,56.8427021789
143,64.5086418962,56.4618405882,58.5591094532,62.1179596412,56.8737959042
144,64.5389662953,56.4618405882,58.5591094532,62.1428272869,56.8912773461
145,64.5792651042,56.4637366521,58.5591094532,62.1831260958,56.931576155
146,64.5997372627,56.4842088105,58.5638344117,62.1939031185,56.956773272
147,64.6500738662,56.4944487569,58.6064481604,62.217099147,56.961758264
148,64.7177152023,56.5458122355,58.6204303378,62.3077982637,56.9807671269
149,64.777141163,56.5482762468,58.6228943491,62.3672242244,57.0401930876
