Time(Iteration),CAB_decrease,CAB_original,CAB_increase,CAB_optimal,LinUCB
86,35.5561194492,68.3748887533,59.5216096207,35.2175548543,61.1936044226
87,35.5852532155,68.3968338458,59.5507433871,35.2456315564,61.2354302841
88,35.6408742053,68.4524548355,59.5517569644,35.3012525462,61.2910512739
89,35.6738147101,68.4986245342,59.5758752449,35.3287480987,61.3291295141
90,35.6826853817,68.5074952058,59.5827473491,35.330746666,61.3614301043
91,35.7300547038,68.6236846886,59.6340444627,35.3781159882,61.4420961447
92,35.7320081199,68.6411855959,59.6359978787,35.4374189707,61.4598752818
93,35.7409163083,68.6703792721,59.6449060672,35.4463271591,61.4969907243
94,35.7730467603,68.7124834595,59.6479782215,35.4784576111,61.5022704561
95,35.8512212733,68.7460395676,59.7384017651,35.5415481605,61.5802836971
96,35.9401132573,68.8152848382,59.9319556029,35.619329721,61.69093629
97,35.9956613908,68.945846567,59.9583054302,35.6748778545,61.7592071566
98,36.0085184154,68.9512489319,60.0737475333,35.6877348791,61.8746492597
99,36.0217779512,68.9683276124,60.0870070692,35.7155588624,61.9331782229
100,36.0258581121,68.9762756979,60.0870070692,35.7275871087,61.9452064693
101,36.0474876924,68.9979052782,60.0972266961,35.749216689,61.9887579644
102,36.1034491626,69.0777022321,60.1628266213,35.8051781593,62.0543578897
103,36.1261626817,69.097855742,60.1855401404,35.8278916784,62.0691160434
104,36.1418151613,69.1055451921,60.1952206184,35.8355811285,62.126604394
105,36.2371863223,69.1232735542,60.2706645103,35.9205732756,62.2349970512
106,36.3074677034,69.202747992,60.2996383151,35.9908546567,62.2643160378
107,36.3074677034,69.2684405706,60.2996383151,35.9908546567,62.2647858201
108,36.3112673541,69.2722402213,60.3034379658,35.9946543074,62.2791674832
109,36.3155135432,69.2906262998,60.3556584474,35.9989004965,62.3099196763
110,36.3155135432,69.2906262998,60.3556584474,35.9989004965,62.3403629774
111,36.3158880517,69.310799516,60.3674916866,35.999275005,62.3521962166
112,36.3187452518,69.3286252333,60.385317404,36.0021322051,62.3671647338
113,36.357773081,69.3670715828,60.4254398439,36.0411600343,62.4357322797
114,36.370684943,69.3938385787,60.449307266,36.0540718963,62.4595997018
115,36.3921462797,69.4143185218,60.4707686027,36.075533233,62.4821381267
116,36.4179051746,69.42426136,60.4838918396,36.1012921279,62.505617962
117,36.4179051746,69.4452501241,60.5090328988,36.1058694338,62.5220294201
118,36.4307318019,69.4586604344,60.5218595261,36.1103356641,62.5418229913
119,36.4441523737,69.4920677532,60.5318910627,36.1237562359,62.5757696205
120,36.4441523737,69.4920677532,60.5318910627,36.1237562359,62.6026262242
121,36.5541935954,69.6199165801,60.6419322843,36.2337974576,62.7126674458
122,36.5541935954,69.6199165801,60.6419322843,36.2337974576,62.7126674458
123,36.5541935954,69.6199165801,60.6548066938,36.2337974576,62.7252102346
124,36.5576066944,69.6233296792,60.6582197929,36.2372105566,62.7252102346
125,36.5745930641,69.6624834552,60.6752061625,36.2541969263,62.7439870514
126,36.5768530875,69.6647434786,60.6774661859,36.2564569497,62.7462470748
127,36.5811104859,69.6737786944,60.6774661859,36.2607143481,62.7462470748
128,36.5950108113,69.6876790198,60.6774661859,36.2746146735,62.7465827752
129,36.6437504193,69.7532837691,60.7262057939,36.3233542815,62.7756947229
130,36.6582104059,69.7532837691,60.7406657805,36.3378142681,62.7908164565
131,36.661564763,69.793048133,60.7406657805,36.3503465402,62.8133522016
132,36.7324071014,69.9017613831,60.7932177536,36.4211888786,62.9220654518
133,36.7324071014,69.9017613831,60.7932177536,36.4211888786,62.9441532411
134,36.7709632846,69.9403175664,60.8317739368,36.4597450618,62.9441532411
135,36.8527369565,70.012572541,60.8317739368,36.5415187337,62.94537018
136,36.8784347799,70.0367954733,60.8698938562,36.5672165571,62.9710680034
137,36.8848781774,70.0536610376,60.8763372536,36.5736599546,62.9870345584
138,36.9092187256,70.0750872135,60.8893744862,36.5837828148,63.000071791
139,36.9266489331,70.090774692,60.8955023065,36.6012130223,63.0230544862
140,36.961312028,70.0924338507,60.9102938914,36.6358761171,63.0667752376
141,36.9837733295,70.1002523926,60.9149104882,36.6583374186,63.0766725773
142,37.0149143653,70.1128226372,60.9149104882,36.6894784544,63.0790525336
143,37.0149143653,70.1396825028,60.9149104882,36.6894784544,63.1088102858
144,37.0872988288,70.2605428592,60.9902335545,36.7618629179,63.1841333521
145,37.1168250945,70.2678881814,60.9924475959,36.7913891836,63.2026038322
146,37.1566937461,70.3077568329,61.0323162475,36.8312578352,63.2424724838
147,37.1988599365,70.3312926385,61.0477781718,36.8734240256,63.2836720702
148,37.2763650358,70.3992842248,61.1252832711,36.9509291249,63.2836720702
149,37.2790557223,70.4019749112,61.1279739576,36.9536198114,63.300491776
150,37.280615791,70.4206544321,61.1295340263,36.9551798802,63.3166320348
151,37.2856427609,70.4256814019,61.1295340263,36.9551798802,63.3403560364
152,37.3079705415,70.4329013038,61.1367539283,36.9623997821,63.3591471011
153,37.3772781377,70.4507576745,61.1367539283,36.9623997821,63.3800535713
154,37.4020488022,70.4545928659,61.1497822791,36.9834123351,63.4048242357
155,37.4771859812,70.4561857744,61.1513751877,36.9850052437,63.4679664971
156,37.5112817172,70.4598189619,61.1520822669,37.0089293408,63.4715996845
157,37.5134044658,70.4619417105,61.1586712457,37.010618268,63.4935847218
158,37.5186290491,70.4884927646,61.163895829,37.0282175418,63.5272606751
159,37.5461873086,70.5082869583,61.1741722083,37.0480117355,63.5404312876
160,37.5980380568,70.5601377064,61.2286047865,37.1024443137,63.5922820358
161,37.5980380568,70.5601377064,61.2286047865,37.1024443137,63.5922820358
162,37.6124007025,70.5766729731,61.2428833045,37.1167228317,63.6066446815
163,37.6124007025,70.6006882214,61.2428833045,37.1517477252,63.6066446815
164,37.6205708772,70.6025787854,61.264910473,37.1536382892,63.6349514607
165,37.6214818782,70.6032036455,61.2655353331,37.1542631492,63.638409556
166,37.6324283489,70.6358067899,61.2802035716,37.1646671277,63.6493560267
167,37.6414485098,70.656189223,61.2892237325,37.1646671277,63.6758869712
168,37.6692958906,70.6781886344,61.3112231439,37.1866665391,63.6830754964
169,37.7550146422,70.6828387149,61.3112231439,37.1922684176,63.6830754964
170,37.790202912,70.7011109551,61.3294953841,37.1922684176,63.7084165245
171,37.8125698204,70.7324887378,61.355258087,37.2180311204,63.730783433
172,37.8275264975,70.7464347989,61.3644450281,37.2272180616,63.7596861711
173,37.8391733749,70.7492619679,61.3672721972,37.2352098086,63.7661684706
174,37.8468106686,70.7665045401,61.3936706359,37.2443656752,63.8090424336
175,37.8531324761,70.7805537296,61.3936706359,37.2443656752,63.8153642411
176,37.8891295818,70.8251040446,61.4296677417,37.2803627809,63.8566013322
177,37.8900446204,70.8260190832,61.4305827803,37.2812778195,63.8566013322
178,37.8922409198,70.8303120059,61.4462721239,37.29487054,63.8587976316
179,37.910039782,70.8391252811,61.4483834681,37.2969818841,63.8677832186
180,37.913486632,70.85258858,61.4485512327,37.2971496487,63.8682864799
181,37.913486632,70.8536611081,61.4485512327,37.2971496487,63.8682864799
182,37.9147842511,70.8549587272,61.450803101,37.299401517,63.869584099
183,37.9369956434,70.8771701195,61.4730144934,37.3216129094,63.8917954913
184,37.9465756072,70.8997581381,61.4784357186,37.3270341346,63.9126055933
185,37.9465756072,70.9066312065,61.4784357186,37.3270341346,63.9126055933
186,37.9787046963,70.9112944783,61.4936228997,37.3422213157,63.9324560463
187,37.9846787315,70.9140642201,61.4963926414,37.3449910575,63.9387693509
188,37.998041379,70.918166993,61.5072715455,37.356721646,63.9437238084
189,38.0657558275,70.9457285264,61.5202283122,37.3696784127,63.9986535698
190,38.0981679164,70.9600490188,61.5329613498,37.3784491461,64.03620244
191,38.0990512355,70.9600490188,61.5329613498,37.3784491461,64.0370857592
192,38.1240535414,70.9632072478,61.5421098286,37.3875976249,64.046234238
193,38.1240535414,70.97412704,61.5435872693,37.3890750657,64.046234238
194,38.1495442673,70.995847604,61.5668585086,37.412346305,64.0695054773
195,38.1667193162,71.0233298572,61.5863761442,37.4318639405,64.0774700949
196,38.1823665469,71.0233298572,61.5863761442,37.4442023618,64.0807789043
197,38.1951963322,71.0233298572,61.5863761442,37.4442023618,64.0984158614
198,38.212165348,71.0357086267,61.6085971067,37.4565811314,64.1430670397
199,38.2608697772,71.0773632399,61.6324142972,37.4803983218,64.1833039129
