Time(Iteration),CAB,CAB_original,LinUCB
0,7.53897602844,7.53897602844,7.61355571107
1,15.0852164284,15.0852164284,14.8048142954
2,21.2075143756,21.8790140857,21.3622486598
3,25.9159638534,27.2745714719,26.0682054635
4,28.9927683081,30.6425981385,29.2667527877
5,33.2814083002,34.6543313051,32.5369179753
6,36.9846090224,37.8424827878,34.7260949552
7,40.8518132939,40.2668162384,36.9134640611
8,44.196102178,42.6017540196,39.027354055
9,46.3874455969,45.6910882835,41.1628181784
10,49.5655662623,47.804927982,42.9248237063
11,51.8288952448,50.4882301829,45.1171565577
12,54.8738524931,52.8771131535,46.8439340021
13,57.1504365473,54.847744784,48.3640362112
14,59.0815254966,56.4576564832,49.920076521
15,61.6844263723,58.2003919596,51.2270215327
16,63.4381827982,60.1977283279,52.8161745879
17,66.195679073,62.26166441,53.9212831598
18,67.927071925,64.3525704022,55.0871290757
19,69.6622154746,65.8511560943,55.9919713966
20,71.3185604981,67.4208821159,56.5607224595
21,72.9979738945,69.1584672198,57.208857983
22,75.2733028531,70.1167683929,57.5843952389
23,76.965886058,71.1501712569,58.0191788869
24,78.7921556898,72.2421605425,58.3061812907
25,80.9702197101,73.5915120876,59.3736437756
26,82.8357616463,74.8397485978,59.4693536906
27,84.5128123027,75.8637395949,59.9724939917
28,86.2263308167,76.690578076,60.2551634975
29,87.1416208702,77.2714085802,60.7134154814
30,88.2352894805,77.8503511185,61.2502603395
31,89.2281040576,79.0740666437,61.9878392072
32,90.4483355516,79.7567401004,62.320239965
33,91.570307472,80.6283687877,62.7924738507
34,92.9194808946,81.145764499,63.064543837
35,93.6949485556,81.6206986425,63.2316480733
36,94.1109716921,82.3455395791,63.6383793652
37,95.8531604392,83.2879656147,63.7940593587
38,96.3249021503,84.0146587454,63.8689822758
39,96.5965178315,84.3141212294,64.0594715873
40,97.5273408323,84.8862085066,64.1546703912
41,98.3581257668,85.2624775474,64.2462774959
42,99.2476828933,85.8617617686,64.4640536971
43,100.622864981,86.2812664694,64.5365218486
44,101.594642848,86.6182109034,64.5729033854
45,102.540266469,87.027777618,64.7074303307
46,103.259791127,87.3993742942,64.849425792
47,103.876831085,88.2623419359,65.2394135843
48,104.573143623,88.538671169,65.3548931991
49,106.004894045,89.0416018063,65.451616023
50,106.718522561,89.4440107555,65.7783216965
51,107.769125478,89.661203999,65.810905457
52,108.206764174,89.9292191106,65.9477099687
53,108.771164638,90.306677433,66.1036520597
54,109.513725275,90.9065556921,66.1320484304
55,110.344025693,91.386955936,66.4310966465
56,110.982943655,91.6400702479,66.4944009239
57,111.81643668,92.0691630427,66.5030620267
58,112.254404323,92.5285265267,66.6721480176
59,113.037804579,92.8525409642,66.6846499091
60,113.615472505,93.1507886611,66.7390354852
61,113.74712769,93.2435361463,66.8013729267
62,114.591978824,93.3704945466,66.8103521049
63,114.889581705,93.8332437616,66.8816764202
64,115.482270338,93.9657578813,66.9351523685
65,116.176851501,94.072811424,66.9655218364
66,116.998054965,94.0932765199,66.9682549903
67,117.714185972,94.1901586882,67.0359575098
68,117.912488265,94.3580056533,67.1460126481
69,118.450789605,94.504927579,67.1752648398
70,119.721400159,94.6211343642,67.189676851
71,120.07487844,94.6980978117,67.2905080145
72,120.460604721,94.9063507078,67.3057103753
73,120.725381815,94.9594319229,67.3935615936
74,121.407612911,95.0718677599,67.4483979504
75,122.224632345,95.3044264582,67.5240771648
76,122.563785715,95.7700378006,67.5304073694
77,122.981458197,95.8729346611,67.7631651856
78,124.081930248,96.1513749417,67.7680815269
79,124.369955027,96.1848896063,67.7841401972
80,125.015336171,96.3015666284,67.9711729219
81,126.176655981,96.7075974635,68.1040941954
82,127.1238058,96.7625312452,68.1665972002
83,127.594589345,96.7861954609,68.1665972002
84,128.671605355,96.8303586417,68.1665972002
85,129.555174007,97.0032127305,68.4471995497
86,130.087424401,97.2273387518,68.46894711
87,130.462925022,97.3889115721,68.5614147121
88,130.682750304,97.4646160099,68.5826261374
89,131.019618775,97.6492971931,68.6122552812
90,131.097274572,97.713875035,68.6122552812
91,131.567620012,97.781101689,68.6678850494
92,132.477158826,97.8938637061,68.8732556667
93,132.943951226,98.0468273568,68.8755030274
94,133.838732771,98.1183358305,69.0072134114
95,134.022211811,98.1565145263,69.0072134114
96,134.031193324,98.1920047574,69.0791386037
97,134.14554426,98.2622441001,69.1292588311
98,134.838380302,98.3087002321,69.199565692
99,135.094788369,98.310783984,69.199565692
100,135.37674672,98.452654321,69.2155566792
101,135.552450459,98.6336498768,69.3334062811
102,136.003267647,98.7177027449,69.3334062811
103,137.194487649,98.7514755913,69.3594711738
104,137.378811552,98.793866956,69.3607217556
105,137.542054604,98.8361728421,69.3986171553
106,137.804580526,99.2474095982,69.4498061413
107,138.584414543,99.2884296113,69.638680509
108,138.853790931,99.3672695128,69.6554988406
109,139.177867929,99.4006276759,69.6888570037
110,139.513469986,99.5365816801,69.6939737357
111,139.6582314,99.5484367788,69.6977101058
112,140.072823849,99.6051120016,69.6977101058
113,140.45529739,99.6285883702,69.7211864744
114,141.001515911,99.6735323793,69.7535260859
115,141.222243724,99.8243353157,69.787453177
116,141.536638086,99.8818313363,69.810349196
117,141.802128541,99.983459731,69.8240086169
118,142.178628128,100.179619495,69.8408085138
119,142.674360816,100.234186838,69.8487696848
120,143.022835654,100.339634519,69.8678740132
121,143.249899429,100.421947459,69.9704315233
122,143.92174046,100.432151206,69.986837293
123,144.422223027,100.500686061,69.9890571106
124,144.526565366,100.531684892,70.0200559409
125,144.65126197,100.57128607,70.0357882561
126,145.294735318,100.588397953,70.0357882561
127,145.791475359,100.591355246,70.0487160046
128,145.948381406,100.648304908,70.0689582072
129,145.979357458,100.67928096,70.0695160919
130,146.282268587,100.711477318,70.101685875
131,146.571400129,100.723066428,70.1153061265
132,146.882965242,100.795720564,70.1310224034
133,147.063744397,100.881462418,70.1488669471
134,147.398962097,100.904217902,70.1544271651
135,148.123110434,100.966972764,70.1544271651
136,148.513363678,101.02415535,70.1544271651
137,148.972150759,101.025203151,70.1782454772
138,149.070654066,101.048491443,70.1782454772
139,149.538858053,101.193904603,70.1998815906
140,149.652651736,101.251916034,70.2743425737
141,149.846863657,101.278368832,70.3007953725
142,149.953047198,101.303091201,70.3070706766
143,150.295599727,101.464023469,70.3120986675
144,150.829742155,101.63199251,70.3562367238
145,151.383127822,101.637451469,70.3563265564
146,151.546348339,101.803877776,70.4653543467
147,152.132352905,101.816134368,70.4729432123
148,152.182149551,101.882822821,70.4729432123
149,152.496120508,101.914097722,70.4749174378
150,152.950017647,102.004788553,70.4774405965
151,153.265331507,102.031372663,70.4774405965
152,153.441875199,102.062114715,70.4774405965
153,153.82749639,102.195705113,70.4824338497
154,154.231051432,102.431949839,70.4846141477
155,154.496890523,102.453407125,70.4846141477
156,154.77508896,102.481697689,70.5055257827
157,155.102148812,102.706183794,70.5089710413
158,155.687479312,102.823683536,70.5160411254
159,155.869598902,102.848558751,70.5377880587
160,156.131961944,102.941765308,70.6812745185
161,156.64062916,102.962442042,70.6823245581
162,156.805413263,103.104266213,70.6965378306
163,157.018546159,103.206482335,70.6965378306
164,157.26695378,103.210350086,70.7013647861
165,157.304489977,103.247356033,70.7023077549
166,157.502677395,103.348500178,70.7023077549
167,157.673381041,103.41925567,70.7888474307
168,158.327810568,103.435599726,70.8029400445
169,158.558593868,103.679315672,70.8812438017
170,158.940144696,103.714962023,70.8836804061
171,159.036276744,103.796345656,71.0407550878
172,159.380795793,103.846717808,71.0540580153
173,159.45007417,103.929640257,71.0540580153
174,159.598799781,104.004767515,71.0540580153
175,160.063585147,104.004767515,71.0540580153
176,160.409920063,104.112233307,71.0825362034
177,160.985754575,104.150605246,71.0979758313
178,161.096306664,104.237658801,71.0979758313
179,161.649207821,104.256609043,71.0986916105
180,162.174233483,104.335599706,71.0986916105
181,162.414369547,104.466200472,71.1146907157
182,162.491419217,104.496361596,71.1146907157
183,162.805422244,104.558950398,71.1254551932
184,163.07579364,104.559300124,71.1262574218
185,163.192385464,104.639927149,71.1688284534
186,163.704274678,104.710381455,71.1765812884
187,163.960975433,104.733724521,71.1789747689
188,164.170933977,104.789780719,71.1789747689
189,164.275707982,104.816841066,71.1789747689
190,164.815822239,104.875529053,71.1941948472
191,164.915572067,104.908640411,71.1941948472
192,165.003017972,104.922748706,71.2336425622
193,165.230210553,104.960606775,71.2390781628
194,165.479094813,105.002083348,71.2569871461
195,165.80796534,105.024522519,71.2569871461
196,165.945675523,105.024605372,71.2569871461
197,166.38998155,105.146707897,71.2569871461
198,166.953773635,105.19435075,71.2569871461
199,167.399968274,105.25010371,71.3605445
