Time(Iteration),CAB,CAB_original,LinUCB
0,7.97359230893,7.97359230893,8.01016538041
1,14.182228739,14.182228739,14.2407038467
2,18.4442196731,18.4442196731,18.2775207278
3,23.4165543564,23.4165543564,23.3144399122
4,27.6134521297,27.6134521297,27.5220591629
5,32.1725908385,31.8797292396,32.0228155234
6,35.9220451724,35.503244558,35.9980280685
7,39.5029944316,38.4059253099,39.0885643941
8,42.4964180371,41.6625316339,42.1054224043
9,46.2862156792,45.0486712605,45.1894495762
10,48.6835409437,46.7701798534,46.9710780125
11,51.7401175708,48.49745316,49.2773548287
12,54.5564178862,50.4136070989,51.4250732409
13,57.7756934591,52.0968424067,53.1291714348
14,62.004150011,54.4101052102,55.6521778536
15,65.1873233979,55.710847243,57.4687438651
16,67.4978558671,56.7468719267,58.8043073667
17,70.573009188,58.1534533114,60.1944025918
18,73.0465726064,58.8631489684,61.1983215166
19,75.4723357702,59.7810200125,62.5718518126
20,78.553929934,61.2112222731,63.8875635783
21,80.6329548783,62.0902078484,64.6436271577
22,82.3495384298,62.6593338943,65.34238023
23,83.9070421574,63.4340236103,65.9752713448
24,86.3421971053,64.4923138838,67.2175408671
25,87.7008235146,65.370197895,68.0456802955
26,89.9681009405,66.0128035045,68.5812701788
27,92.0646056929,66.5380752498,69.3075235326
28,93.5882157314,66.873812865,69.4241664485
29,95.3010345794,67.1496790421,69.8868323749
30,96.881645295,67.2803736218,70.6367254022
31,99.0670233299,67.3810333263,70.7001014911
32,100.909471836,67.7988103888,71.3856584509
33,102.552944085,68.0862906879,71.7822582193
34,104.684736084,68.4719123394,72.2916513146
35,106.737068834,68.7451515785,72.4747749923
36,108.712667057,68.9697274081,73.0016938074
37,111.033574799,69.2992978303,73.3803091031
38,112.773414256,69.6421360465,73.6872923698
39,114.396178802,69.7689592314,73.8809898637
40,115.888637287,70.1337587398,74.057287815
41,116.907450178,70.3235054767,74.6192129915
42,117.763070257,70.7108873846,74.9262652016
43,119.474418466,71.0713701059,75.2619643284
44,121.40099703,71.5530748723,75.4889579894
45,122.478602577,71.6414947052,75.6566489689
46,123.312361623,71.956293246,76.0225495306
47,125.104729243,71.9685240601,76.0884672753
48,126.602439301,72.2166205286,76.1981558068
49,127.824221072,72.3760868555,76.4004349241
50,129.660807524,72.4348517795,76.5391000134
51,130.823651037,72.80188233,76.8424546255
52,132.497935778,72.9892332682,77.044464754
53,133.803460706,73.2228417942,77.1782121731
54,134.584912743,73.5786765817,77.3078911832
55,135.67318502,73.9361874707,77.5599467242
56,136.769576456,74.1328123762,77.7291949905
57,138.813414224,74.4394887695,77.9563302993
58,139.928100355,74.7472311938,78.0783526665
59,141.176140509,74.8776671015,78.1450310755
60,142.417344855,75.0388241472,78.215289937
61,143.532477403,75.1105452641,78.2742171788
62,145.499689196,75.1898180852,78.3557908505
63,146.55742129,75.2942421566,78.5333211953
64,147.697647726,75.4237833501,78.6628623887
65,148.938670379,75.7070207067,78.9460997454
66,150.257453993,75.7635236332,79.0026026718
67,151.766377584,75.7926671244,79.0048224894
68,152.403672664,75.8135241353,79.1457531169
69,153.558995616,76.0997860114,79.439003759
70,154.383265595,76.4016400959,79.7328775465
71,155.541883072,76.5034248455,79.8212848007
72,156.42813014,76.5691590316,79.8849817097
73,157.331955791,76.6881890941,80.0040117722
74,157.914411525,76.9027443024,80.3994638353
75,159.058974236,76.9324821019,80.4436816527
76,159.857447014,77.0440551025,80.5144090044
77,160.776408248,77.157173556,80.6078864578
78,161.968796387,77.2307889935,80.6707735825
79,163.06555824,77.2537587551,80.6880616563
80,163.956125287,77.2719564078,80.7294275039
81,165.065512391,77.3651151481,80.9211397487
82,165.905725418,77.3809183515,80.9526272227
83,166.839372985,77.6143450422,81.1919457904
84,167.839580431,77.6752000378,81.2366308939
85,168.881736281,77.7007728934,81.2672590247
86,170.049817206,77.8689888246,81.5345700519
87,171.061502502,77.9022471756,81.6050013072
88,171.976606356,78.0049350374,81.7423249149
89,172.840294411,78.0903860421,81.8438012049
90,173.138941664,78.119503168,81.8965001472
91,173.73448149,78.1781355519,81.970580434
92,174.455643312,78.1818738765,81.9843465049
93,175.355529677,78.286622226,82.1297975351
94,176.720724826,78.3596357163,82.1814405065
95,177.811608024,78.3889726731,82.3239170197
96,178.543837777,78.3987969118,82.3239170197
97,179.799534609,78.4697563845,82.3759016432
98,180.633846178,78.530779891,82.4269708334
99,181.630108738,78.7339593024,82.650754034
100,182.442332842,78.8841385481,82.7793053743
101,182.800385088,78.8841385481,82.7932595385
102,183.672827592,78.9651654216,82.8775129502
103,184.744391741,79.2211659003,83.0795735632
104,185.972246351,79.2249011236,83.0795735632
105,187.089748633,79.2301436211,83.185339565
106,187.865140453,79.2792435192,83.2226681428
107,188.623577523,79.3357415087,83.2613899346
108,189.626777643,79.4127008818,83.3383493076
109,190.73383378,79.500975396,83.4266238219
110,191.316861753,79.500975396,83.436366501
111,191.939273803,79.5039369891,83.4393280941
112,192.593542292,79.5815880741,83.4880970824
113,193.266251723,79.594591873,83.4913244256
114,193.833625427,79.6046341897,83.5449844688
115,194.51371942,79.6356374994,83.5733616698
116,195.517599797,79.7517183792,83.6894425496
117,196.879894498,79.917733728,83.8393997796
118,197.463519443,79.9709489618,83.8934186483
119,198.908285792,80.0080142219,83.915548422
120,199.77242106,80.0092618605,83.9253268819
121,200.190843723,80.075312898,83.9920053654
122,201.292821555,80.1865781475,84.0772598446
123,202.040444664,80.2341893826,84.1155185559
124,203.096521434,80.2341893826,84.1462281679
125,203.484558243,80.2810755341,84.2261095943
126,204.17026348,80.2911395882,84.2361736485
127,204.752403474,80.344203171,84.2711796349
128,205.62409604,80.3611149222,84.2880913861
129,206.194952807,80.5375887637,84.3402587056
130,206.704524834,80.5581181636,84.3696314766
131,207.81991112,80.6228715899,84.3996789351
132,208.521783663,80.6333469964,84.4101543417
133,208.85963232,80.6616701577,84.4655620559
134,209.916396857,80.6616701577,84.5231925727
135,210.362716428,80.689682585,84.5474671826
136,211.189189576,80.7172803988,84.5750649963
137,212.109954648,80.7274214398,84.6230522601
138,212.858979769,80.7460674179,84.6449315632
139,213.959194763,80.841210661,84.7812235702
140,214.342133099,81.0078034829,84.8419200271
141,214.503063171,81.0474274929,84.8488552254
142,215.649435776,81.0826434859,84.949097186
143,216.20566851,81.0826434859,84.949097186
144,216.589066431,81.0826434859,84.949097186
145,216.911310513,81.1035634338,84.9700171339
146,217.795432184,81.1108577609,84.977311461
147,218.179774886,81.1652551132,85.0302731548
148,218.855278245,81.2022868614,85.0431292765
149,219.052527683,81.2289237483,85.082133521
150,219.654748347,81.2364732299,85.0932059788
151,220.237770196,81.2364732299,85.0932059788
152,220.633979573,81.2364732299,85.0932059788
153,221.381660146,81.2432109827,85.0999437316
154,221.958158542,81.2432109827,85.1049210686
155,222.393172247,81.248316744,85.1191541371
156,223.240152727,81.3282339917,85.2334050202
157,223.973344789,81.4440910998,85.3080364391
158,224.403005268,81.4642982627,85.3316313632
159,225.434925493,81.4642982627,85.3542858523
160,225.943155717,81.5045368368,85.3945244264
161,226.365323593,81.5238913772,85.4254871646
162,227.053848747,81.5376556461,85.4392514335
163,227.654591241,81.5376556461,85.4392514335
164,227.985615045,81.5416515348,85.4432473222
165,228.679417929,81.640987592,85.5425833793
166,229.335430271,81.6685594958,85.5629093721
167,229.592293512,81.6713126149,85.5656624911
168,230.701618454,81.6976780141,85.599985499
169,231.459598883,81.7500050176,85.657565884
170,232.300020038,81.7651038645,85.6755297479
171,233.15801827,81.7657174686,85.7607841633
172,233.66852714,81.7741403194,85.7692070141
173,234.313591075,81.7981144439,85.7738278258
174,234.839080824,81.8196059804,85.7953193623
175,234.907251189,81.8596353093,85.8313615843
176,235.58304365,81.8596353093,85.8547033729
177,236.021805998,81.9011961629,85.8547033729
178,236.29802495,81.9014168797,85.866765367
179,237.710194108,81.9399735826,85.9006195187
180,238.291058113,81.9415397097,85.9021856458
181,238.697729159,81.9592520565,85.9574094098
182,239.465727375,82.034259409,86.0047893805
183,239.654428299,82.0430912874,86.0180025369
184,240.239962145,82.0551425226,86.0747005967
185,240.6466683,82.0551425226,86.0802766374
186,241.308950435,82.0670992085,86.1081769352
187,241.926284906,82.0831798254,86.1081769352
188,242.453569327,82.1029102756,86.167195347
189,242.630210128,82.1587924352,86.1698907961
190,243.446707698,82.1765736183,86.1800762723
191,244.50912577,82.1780689295,86.1863902048
192,245.217340306,82.2602694333,86.1882329328
193,245.903080053,82.2852985626,86.1916999865
194,246.245038772,82.2876876403,86.1940890641
195,247.020541451,82.2944029133,86.2054160032
196,247.698115096,82.3920519978,86.2125946732
197,248.230394714,82.4013154549,86.2572100592
198,249.306656819,82.5563086727,86.4122032769
199,249.883171233,82.5563086727,86.4158540641
