Time(Iteration),CAB_true_decrease
0,7.72663633457
1,13.4601199465
2,17.8489833032
3,21.6287332571
4,24.2148088956
5,26.214976385
6,29.3615241421
7,32.6118373962
8,34.4563774135
9,36.3515673013
10,39.6659008429
11,42.0104506463
12,45.3187748679
13,47.2250525904
14,49.2582997358
15,51.0870041517
16,54.9360454025
17,57.3644098057
18,60.2731027128
19,63.3053646276
20,65.3900352563
21,67.7836812313
22,69.9552826853
23,72.5296326394
24,73.6773284655
25,75.2079309371
26,77.0145532334
27,78.8468704166
28,80.4939695915
29,82.570710622
30,84.9211029074
31,89.0575833278
32,91.90186939
33,94.5656746213
34,97.4297029741
35,99.4216254489
36,102.328518723
37,105.203972398
38,106.365642524
39,108.658076378
40,111.08188077
