Time(Iteration),CAB_true_decrease
0,8.91478251627
1,11.8647755302
2,14.6144184107
3,17.8802652106
4,19.8565568766
5,21.9252995341
6,24.6411431877
7,26.8836641687
8,28.0691372503
9,30.1885930457
10,31.722349495
11,33.6857633985
12,35.2502511037
13,37.1576719989
14,39.20593638
15,40.6819818405
16,42.5209097602
17,44.1189277395
18,45.5587256132
19,46.9152745778
20,48.5940572942
21,50.2598628574
22,51.5934579753
23,53.7566196689
24,55.2996073675
25,57.1615186688
26,58.8560572464
27,60.7450545918
28,61.8957551242
29,64.010505472
30,65.4063666347
31,66.6941917308
32,68.1351152951
33,69.3164949895
34,70.8026022906
35,72.2974788149
36,74.4962552694
37,76.5776459191
38,78.0700599869
