Time(Iteration),CAB,CAB_original
0,1.83484382365,1.83484382365
1,3.85319744951,3.85319744951
2,5.61555419413,5.61555419413
3,7.07714480996,7.07714480996
4,8.49764526925,8.49764526925
5,9.64258153847,9.64258153847
6,10.7684321361,10.7684321361
7,11.9341432606,11.9341432606
8,12.7641347086,12.7641347086
9,13.7218967712,13.7218967712
10,14.5217262231,14.5217262231
11,15.3944596981,15.3944596981
12,16.3992767387,16.3992767387
13,17.0233689171,17.0233689171
14,17.626562178,17.626562178
15,18.104912841,18.104912841
16,18.5677660629,18.5677660629
17,19.2378230763,19.2378230763
18,19.7717346204,19.7717346204
19,20.3796158346,20.3796158346
20,20.8861593327,20.8861593327
21,21.2598363143,21.2598363143
22,21.6383295029,21.6383295029
23,22.0082259857,22.0082259857
24,22.2993641756,22.2993641756
25,22.5696719007,22.5696719007
26,23.0717349701,23.0717349701
27,23.2985474546,23.2962287978
28,23.625354673,23.6257504314
29,24.1867638102,24.1871595686
30,24.7071594359,24.7075551944
31,24.9770004954,24.9787086741
32,25.3867407954,25.3555345759
33,25.6996320621,25.678270433
34,26.1269355162,26.1055738871
35,26.3577782459,26.3505423992
36,26.7532328374,26.7424323191
37,27.0131951199,27.0040015121
38,27.184104385,27.1749107771
39,27.4829955901,27.4857998096
40,27.7878099222,27.7695587187
41,28.1188613849,28.1006101814
42,28.4428102051,28.3964562511
43,28.6369925877,28.6014539297
44,28.7847295132,28.7121206142
45,29.0225580478,28.9541925153
46,29.3342364535,29.2658709211
47,29.5415588391,29.4810658334
48,29.8112914448,29.7381480253
49,30.0359319332,29.9627885137
50,30.3196763014,30.2574438764
51,30.6906148677,30.6339091411
52,31.0174905404,30.9607848137
53,31.2359434095,31.177156092
54,31.412842803,31.3417245168
55,31.5109444694,31.4398261832
56,31.6835348953,31.612416609
57,31.9311490837,31.8650965199
58,32.1584068056,32.1086422997
59,32.4289224659,32.3612780937
60,32.5688776542,32.501233282
61,32.731226373,32.6682813503
62,32.9692944013,32.9063493786
63,33.2194348725,33.1564898498
64,33.3686817986,33.2931393521
65,33.6131661587,33.5280309118
66,33.8296172917,33.7444820449
67,34.0272600225,33.9421247757
68,34.199766031,34.0987264032
69,34.3391026694,34.19763874
70,34.4861089725,34.3422214384
71,34.7686751768,34.6306817519
72,34.9540074775,34.813821175
73,35.1731388316,35.0015494619
74,35.391893658,35.2176947313
75,35.6762039622,35.5103804326
76,35.7823793899,35.6833420697
77,35.9889558066,35.9064971409
78,36.1496715919,36.073967839
79,36.3303204855,36.2515154804
80,36.5444800094,36.464637187
81,36.7050675545,36.648336058
82,36.8315807911,36.7915369642
83,36.9262736978,36.8951367431
84,37.1414552798,37.1128161947
85,37.3224654371,37.293826352
86,37.4933194894,37.4544330802
87,37.6265803272,37.598540732
88,37.7317902594,37.7353542652
89,37.8460249405,37.8457975757
90,37.9072211841,37.9014389208
91,38.0399017133,38.0610415037
92,38.2526414699,38.340311264
93,38.4823833311,38.5829635262
94,38.720175905,38.8186071431
95,38.9137165259,39.0572229164
96,39.0503196837,39.2005886181
97,39.2829004746,39.4657328249
98,39.4421598765,39.6808476767
99,39.5430675809,39.7945779782
100,39.7443691113,39.9829958631
101,39.8967189917,40.1353457435
102,40.1494009128,40.3975684516
103,40.3569732944,40.6224398828
104,40.5401350098,40.7900337726
105,40.6821340029,40.9847323389
106,40.8843801681,41.1760102864
