Time(Iteration),CAB_true_decreaseCoTheta,,,,,,
0,0.961230655296,,,,,,
1,0.927220692444,,,,,,
2,0.900010357892,,,,,,
3,0.883744582154,,,,,,
4,0.860055901577,,,,,,
5,0.83804590052,,,,,,
6,0.808775950952,,,,,,
7,0.794357334147,,,,,,
8,0.770450361091,,,,,,
9,0.749932358866,,,,,,
10,0.726572336642,,,,,,
11,0.715007530767,,,,,,
12,0.69567376783,,,,,,
13,0.678431900311,,,,,,
14,0.658502135324,,,,,,
15,0.649846247844,,,,,,
16,0.635584090373,,,,,,
17,0.623187766431,,,,,,
18,0.606379852725,,,,,,
19,0.595423914866,,,,,,
20,0.589229887895,,,,,,
21,0.580592486132,,,,,,
22,0.573503524785,,,,,,
23,0.566743971306,,,,,,
24,0.561170633649,,,,,,
25,0.554009332189,,,,,,
26,0.544550633707,,,,,,
27,0.537451111858,,,,,,
28,0.533004995279,,,,,,
29,0.530501622381,,,,,,
30,0.525735166265,,,,,,
31,0.521754342543,,,,,,
32,0.517870774303,,,,,,
33,0.511903568757,,,,,,
