Time(Iteration),CAB_cbjCoTheta,CAB_originalCoTheta,CAB_optimalCoTheta,LinUCBCoTheta,,,,,,
0,0.973937817336,0.980448978547,0.973937817336,0.974137296072,,,,,,
1,0.950117249173,0.94943717895,0.928451615713,0.949420438602,,,,,,
2,0.92291844609,0.928401353918,0.913505278161,0.926649711706,,,,,,
3,0.899775923236,0.906633852859,0.89674273044,0.913465653749,,,,,,
4,0.867208110361,0.877417098739,0.874381447207,0.898472742007,,,,,,
5,0.841249618098,0.854692911089,0.86239910194,0.878374627089,,,,,,
6,0.805325051515,0.832296041561,0.841444457116,0.851851017366,,,,,,
7,0.792098538376,0.813709234487,0.825163204793,0.839287667063,,,,,,
8,0.772483933179,0.802973066299,0.807144108731,0.830098635324,,,,,,
9,0.75082184927,0.788454914756,0.796605453138,0.818294455167,,,,,,
10,0.723714769546,0.780607380779,0.786292049393,0.801972137718,,,,,,
11,0.710597379051,0.764420824051,0.775782750155,0.789212191639,,,,,,
12,0.693964672469,0.749066451583,0.76094408341,0.775424598434,,,,,,
13,0.683050340299,0.736637773731,0.749963427521,0.766995484289,,,,,,
14,0.670944829433,0.72667291153,0.741700911215,0.749557111836,,,,,,
15,0.66184686106,0.720452583166,0.733660640671,0.740244892676,,,,,,
16,0.652870045252,0.710155175532,0.724153148594,0.727220671278,,,,,,
17,0.641642334911,0.69874130194,0.716662104779,0.716824067135,,,,,,
18,0.635854175494,0.694167695412,0.711530081762,0.712916093109,,,,,,
19,0.62710452703,0.681751175773,0.702230284932,0.705007200239,,,,,,
20,0.621631467624,0.674807458896,0.687773528816,0.696910091001,,,,,,
21,0.612069979929,0.668910072364,0.682415167087,0.689085359966,,,,,,
22,0.601164765743,0.651188558079,0.671364171442,0.67297653709,,,,,,
23,0.594324564104,0.64182624197,0.66484643169,0.662882515061,,,,,,
24,0.585690313639,0.629553688165,0.656282259815,0.654676942036,,,,,,
25,0.572610198191,0.621857206317,0.652478516182,0.652038727418,,,,,,
26,0.555830198963,0.616921562776,0.647453481185,0.643196314461,,,,,,
27,0.547250662341,0.61009458863,0.643966213683,0.638353260734,,,,,,
28,0.541138694027,0.599714008544,0.64026512845,0.633946757998,,,,,,
29,0.531945141782,0.592578814456,0.627029064266,0.619784680961,,,,,,
