Time(Iteration),CAB_true_decreaseCoTheta,,,,,,
0,0.975959856676,,,,,,
1,0.942786046965,,,,,,
2,0.913334512824,,,,,,
3,0.87756007869,,,,,,
4,0.846117777823,,,,,,
5,0.822431162504,,,,,,
6,0.807524987048,,,,,,
7,0.769540330529,,,,,,
8,0.749111470514,,,,,,
9,0.723368243992,,,,,,
10,0.707094252006,,,,,,
11,0.696843377912,,,,,,
12,0.681790600375,,,,,,
13,0.669491699001,,,,,,
14,0.653174139701,,,,,,
15,0.641477531942,,,,,,
16,0.633226996981,,,,,,
17,0.627365326006,,,,,,
18,0.617916926245,,,,,,
19,0.609319518781,,,,,,
20,0.604532204338,,,,,,
21,0.59652391548,,,,,,
22,0.589070299596,,,,,,
23,0.577010261289,,,,,,
24,0.567885399129,,,,,,
25,0.560450797793,,,,,,
26,0.556907494877,,,,,,
27,0.551472453654,,,,,,
28,0.54427076477,,,,,,
29,0.540066721171,,,,,,
30,0.53240736508,,,,,,
31,0.523139472776,,,,,,
32,0.515184625194,,,,,,
33,0.505731708024,,,,,,
34,0.492456405405,,,,,,
35,0.488489130352,,,,,,
36,0.486846888893,,,,,,
37,0.484205469027,,,,,,
38,0.474461387355,,,,,,
39,0.466457706978,,,,,,
40,0.462410430089,,,,,,
