Time(Iteration),CAB_idealNew,CAB_original,CAB_optimal,LinUCB
0,7.03040794325,7.72989180799,7.03040794325,6.8709550616
1,13.1448913772,13.9212791462,10.459541702,13.0067930242
2,18.1896455235,18.8316838742,13.1022485826,18.0515471704
3,21.3640230569,21.8343388825,14.5739703946,21.3782642351
4,24.0856451923,24.2881922443,16.7194495449,23.7068977416
5,26.2210834124,26.7873546586,17.6660428326,25.8784969792
6,27.2716119691,29.2969448205,18.7599480464,27.2163586992
7,28.693844089,31.4738462697,19.8806936609,28.3347904401
8,30.1776937485,33.2355061699,21.2485888574,29.950722516
9,31.0060034166,35.0235122572,21.69519849,31.0988910644
10,32.4619382766,36.3654973523,22.4261398678,32.4252632941
11,33.5128453137,37.7733760746,23.052202706,33.655115356
12,35.3690727802,39.0873721241,24.0503230988,35.5642128609
13,36.4586723923,40.1712495703,24.2741858975,36.6391370787
14,36.9643038081,40.7414344383,24.6870082493,37.368123713
15,37.6328419598,41.9216943245,25.0992152948,38.0610799677
16,37.9201864213,42.5290869003,25.433106785,38.7185962055
17,38.2288461978,42.8082174974,25.6473766079,39.008880437
18,38.8627382075,43.2781427981,25.774839997,39.5325231777
19,39.6180869349,43.6486770248,26.3071724094,40.3991811236
20,40.0616350397,44.5001336866,26.35158204,40.7235059642
21,40.7153904891,45.3594661807,26.600580685,41.3722553881
22,41.1936873854,45.6128107056,26.9025408624,41.8058481672
23,41.5642566928,46.0533567181,27.035489058,42.2086859872
24,41.9871535552,46.6691096378,27.3111400416,42.513981558
25,42.7365848165,47.1657199058,27.5385279804,43.1451608733
26,43.5113459329,47.6765105027,28.0982215622,44.1007019601
27,44.2831275064,48.0016191108,28.2589186822,44.8557920897
28,44.4841183618,48.4448656042,28.4125729168,45.2154519053
29,44.9889538216,48.8217215107,28.6599473337,45.5902695711
30,45.1412444107,48.9363236452,28.738523875,45.9162077437
31,45.9367832506,49.3260184029,29.1535401797,46.5573964557
32,46.2684608303,49.5985780998,29.4882566308,46.8134011921
33,46.5636890977,49.8713877685,29.6268769451,47.1786177241
34,47.0889738873,50.3064819775,29.8169393275,47.5492896642
35,47.2156658119,50.4224250001,29.848529245,47.6759815887
36,47.4317162718,50.6777280834,30.0117973178,47.9336135901
37,47.6439340525,51.0951195782,30.1453076089,48.1822255509
38,47.9782188565,51.1526143851,30.4407435818,48.5165103548
39,48.2341200208,51.411265959,30.731447707,48.7328048807
40,48.4594169114,51.5696908591,30.8977678228,48.9422725578
41,48.7365993897,51.8183859226,31.1790188568,49.3942853856
42,49.0422650377,52.2563679436,31.2971996266,49.8628147626
43,49.4324841585,52.8104424454,31.5014839951,50.4965441332
44,49.4524306444,53.0536153452,31.5375950242,50.5441121606
45,49.7426487292,53.430516009,31.8472541965,50.8343302454
46,50.2601457344,53.7842900276,32.1978919017,51.3015864522
47,50.3214707985,54.0554568969,32.2576513653,51.6012956661
48,50.479400714,54.1632540608,32.284497778,51.7556788608
49,51.0384256631,54.4760510482,32.4596845171,52.3003959845
50,51.3270055397,54.672502954,32.578136141,52.5889758611
51,51.3823865463,54.7852820036,32.7094337869,52.7374624254
52,51.5996416841,55.0546566893,32.913752328,52.9333172718
53,51.6687611789,55.2376117952,33.0809045914,53.1000501958
54,51.7530549809,55.2544608928,33.2583371543,53.1168992934
55,51.8619358596,55.3956702178,33.3971565248,53.2557186639
56,51.8619358596,55.3956702178,33.4022023099,53.3085550277
57,52.0018319558,55.5645909546,33.4270980471,53.4404794255
58,52.2411158212,55.7946773853,33.4870280598,53.5957340366
59,52.3482318184,56.0444517195,33.5090241952,53.7851850064
60,52.5037095806,56.0935715179,33.6026375176,54.0986188229
61,52.8295988078,56.1424014353,33.7168557185,54.4558995505
62,52.9802035754,56.253585574,33.8055250403,54.552517482
63,53.0245355049,56.2883586966,33.9855106151,54.7325030568
64,53.0650010445,56.3732541137,34.0575055145,54.7430718699
65,53.1767774638,56.5792786347,34.1848559748,54.9112587811
66,53.2237411351,56.6312674313,34.2638909549,54.9626689503
67,53.3238692014,56.7364101115,34.2892672917,55.0839033643
68,53.3763413925,56.9411417913,34.3309354091,55.1458052388
69,53.5028666517,57.1966508618,34.5864444796,55.4308355076
70,53.7138650108,57.6854591297,34.7129934509,55.6439471264
71,53.7667021229,57.7837839932,34.7150179824,55.7090201848
72,53.7776909861,57.864244934,34.7954789231,55.8064003362
73,53.8194516405,57.9595445982,34.8372395776,55.9464725815
74,53.9461469434,58.0892346314,34.8779839171,55.987216921
75,53.9593107582,58.1127813759,34.9247061312,56.1447867709
76,53.9593107582,58.1127813759,34.9247061312,56.1525301444
77,53.9890398468,58.1425104645,34.9544352198,56.1854831855
78,54.0824890131,58.2881294301,35.0414201954,56.4062978907
