Time(Iteration),CAB,LinUCB
0,5.18045019932,7.00490632558
1,9.00793861594,12.098740936
2,12.4063737659,16.0641469352
3,15.309493175,20.2262784321
4,17.6816063057,23.0157104117
5,20.4422907498,25.3413377117
6,23.7409719412,28.0001063174
7,25.5956783624,30.3996701879
8,26.9218009679,32.3889989812
9,28.2577042355,33.836941792
10,29.9024990722,35.5404065325
11,30.8772505657,36.4004507502
12,32.1776678046,37.8495183666
13,33.1272562034,38.9405430924
14,33.8455841424,40.2165029392
15,34.674798001,41.6834171834
16,35.9428332521,42.9823541584
17,36.7624604774,44.0461561822
18,37.6485838766,44.9444152109
19,38.4093364926,45.6534697425
20,39.2069982692,46.2874062279
21,40.0385116322,47.0790677081
22,40.5690639018,47.7697623846
23,41.4661007364,48.8599655103
24,41.8237047193,49.2928693154
25,42.4006640839,49.9209305676
26,42.811357441,50.2903008224
27,43.5479371127,50.9994732182
28,44.476601687,51.5910932237
29,44.9812016009,52.2925322107
30,45.5388652854,52.7478818168
31,45.716579686,53.3723633356
32,45.9895388436,53.6388720587
33,46.3927522193,53.9769896388
34,46.7385394746,54.1068117252
35,47.4512210387,54.5118186821
36,47.6897034294,54.6581850937
37,48.0463985157,54.9797614921
38,48.3908501554,55.1234342819
39,48.5743283952,55.3288972924
40,48.8656751775,55.6833937601
41,49.120352101,56.068981465
42,49.5883489085,56.5000409399
43,49.6394358883,56.6395686336
44,49.9233457879,56.9234785331
45,50.1746309333,57.170340298
46,50.3047532178,57.3207685134
47,50.6233351617,57.4780734599
48,50.7381001679,57.6023658758
49,50.9552254918,57.8544570534
50,51.0237714893,57.8936747172
51,51.1627917683,57.9990205716
52,51.2346147932,58.0479246223
53,51.422088375,58.1363816836
54,51.7699787924,58.357452519
55,52.0086764459,58.4120249719
56,52.2296985292,58.6330470552
57,52.5226811951,58.7166948484
58,52.8065325347,58.9984786283
59,53.1548672542,59.0812270258
60,53.3787184861,59.2907355041
61,53.8120582612,59.6174897383
62,53.9795102048,59.7483962029
63,54.1076543577,59.7597862092
64,54.2972615157,59.9228984465
65,54.4736994078,60.0132532507
66,54.5937727524,60.0267211426
67,54.8587652912,60.1401554345
68,55.2314815912,60.3661236445
69,55.2487696587,60.376367161
70,55.6020458415,60.7327513107
71,55.6110252674,60.7405080492
72,55.770298532,60.9018463599
73,55.7966203473,60.9499352052
74,56.1033523426,61.2065946217
75,56.1847384061,61.3112560537
76,56.5102317737,61.5353346699
77,56.5117563356,61.5952356818
78,56.7648096749,61.801934147
79,56.851172217,61.9076303912
80,57.2022540918,62.2587122659
81,57.2357868409,62.2958467888
82,57.2986116009,62.2958467888
83,57.6610269016,62.6409735684
84,57.9024353235,62.8416224693
85,58.0567190769,63.0490082912
86,58.1090474691,63.0886851983
87,58.1150653396,63.103297316
88,58.239540672,63.2396786385
89,58.3336149387,63.3215994295
90,58.5870884172,63.4886590118
91,58.6537644122,63.5546722397
92,58.6893293626,63.5937531523
93,58.7380794578,63.6719157785
94,58.826291758,63.7601280787
95,58.9157414608,63.9001226715
96,59.1454781628,64.1298593736
97,59.172275842,64.1740438121
98,59.1923670339,64.1941350041
99,59.2484704887,64.2502384589
