Time(Iteration),CAB_2_3
0,6.09474930251
1,9.48330263647
2,12.6728341286
3,15.4501467984
4,18.9139891111
5,22.0859909416
6,24.5527970258
7,27.524477782
8,30.1604604324
9,33.6437453869
10,37.4715008497
11,40.7201122571
12,43.6463947205
13,46.7977009519
14,49.3898191744
15,51.4503890389
16,53.0481570587
17,55.9043257041
18,58.0943175189
19,60.5705845075
20,62.9390992303
21,65.1582523812
22,67.6630808966
23,70.3055631597
24,72.9641470891
25,74.897423588
26,77.127304003
27,78.9601990669
28,81.5909205363
29,84.1632765518
30,86.2808337541
31,88.2695178851
32,90.8155635462
33,93.2089622442
34,95.5390879067
35,97.16540169
36,99.7420662389
37,101.927087062
38,103.412881743
39,105.925545906
40,107.830076488
41,111.166955189
42,112.72154136
43,114.64187446
44,117.510094497
45,119.808061786
46,122.454918412
47,125.714403219
48,128.686699827
49,132.118141735
50,134.262371966
51,135.843037845
52,137.841344557
53,139.819186485
54,141.887057104
55,143.603923479
56,146.228044711
57,148.958670392
58,152.127920613
59,154.919369939
60,156.989555179
61,159.39332814
62,161.908674121
63,164.049065353
64,166.70100691
65,169.488213884
66,172.377678176
67,175.213361654
68,176.588921325
69,179.076137095
70,181.369874336
71,182.827294892
72,184.236188399
73,186.586596025
74,188.585128077
75,191.038025177
76,192.655042603
77,194.282467717
78,196.251051286
79,198.362010129
80,200.012203303
81,202.989456629
82,205.769707832
83,208.510529118
84,210.542658917
85,213.08547094
86,215.739887614
87,218.602274782
88,220.563650955
89,223.199763855
90,225.950200169
91,227.615989795
92,230.068389329
93,233.094229919
94,234.824361535
