Time(Iteration),CAB_2_3CoTheta,,,,,,
0,0.980396530427,,,,,,
1,0.951699827493,,,,,,
2,0.931475997355,,,,,,
3,0.906004493414,,,,,,
4,0.878570902958,,,,,,
5,0.860359491145,,,,,,
6,0.840946402082,,,,,,
7,0.817903312,,,,,,
8,0.805638670422,,,,,,
9,0.787245208643,,,,,,
10,0.762947876995,,,,,,
11,0.748426961969,,,,,,
12,0.724768340218,,,,,,
13,0.703222921271,,,,,,
14,0.686927654268,,,,,,
15,0.674669659938,,,,,,
16,0.653910235332,,,,,,
17,0.640645683173,,,,,,
18,0.62875682132,,,,,,
19,0.614485676554,,,,,,
20,0.60245889541,,,,,,
21,0.593926710051,,,,,,
22,0.581975374077,,,,,,
23,0.573571136081,,,,,,
24,0.562419795838,,,,,,
25,0.549641590054,,,,,,
26,0.539387114338,,,,,,
27,0.530692656565,,,,,,
28,0.519148398235,,,,,,
29,0.516816086377,,,,,,
30,0.507292005854,,,,,,
31,0.497753471929,,,,,,
32,0.489070421254,,,,,,
33,0.481967771846,,,,,,
34,0.47711574759,,,,,,
35,0.468489044938,,,,,,
36,0.463230141586,,,,,,
37,0.456271146292,,,,,,
38,0.451437754785,,,,,,
39,0.437600097319,,,,,,
40,0.433261404822,,,,,,
41,0.426591832341,,,,,,
42,0.418741788545,,,,,,
43,0.409231450165,,,,,,
44,0.405368427504,,,,,,
45,0.399669407453,,,,,,
46,0.396039398034,,,,,,
47,0.390805194899,,,,,,
48,0.387145360462,,,,,,
49,0.384613266768,,,,,,
50,0.38226021095,,,,,,
51,0.374085299323,,,,,,
52,0.371284870365,,,,,,
53,0.360718690954,,,,,,
54,0.356963343449,,,,,,
55,0.356445358146,,,,,,
56,0.352056597981,,,,,,
57,0.350060585531,,,,,,
58,0.345877126285,,,,,,
59,0.340833229087,,,,,,
60,0.338984596253,,,,,,
61,0.330007094808,,,,,,
62,0.327540018347,,,,,,
63,0.322621298764,,,,,,
64,0.320135841769,,,,,,
65,0.317102439589,,,,,,
66,0.314857965063,,,,,,
67,0.313604370865,,,,,,
68,0.310874169697,,,,,,
69,0.306783097861,,,,,,
70,0.304937340195,,,,,,
71,0.302007649424,,,,,,
72,0.298401936578,,,,,,
73,0.295035135592,,,,,,
74,0.292372357587,,,,,,
75,0.290985972362,,,,,,
76,0.288015841733,,,,,,
77,0.286331873868,,,,,,
78,0.283861418899,,,,,,
79,0.280925408956,,,,,,
80,0.278716425446,,,,,,
81,0.274932683811,,,,,,
82,0.272703224642,,,,,,
83,0.270029179742,,,,,,
84,0.266653557021,,,,,,
85,0.265039229169,,,,,,
86,0.262161390499,,,,,,
87,0.260879408956,,,,,,
88,0.258855258497,,,,,,
89,0.257514160624,,,,,,
90,0.256473887334,,,,,,
91,0.254577476944,,,,,,
92,0.252333483702,,,,,,
93,0.251920131203,,,,,,
94,0.247577785666,,,,,,
