Time(Iteration),CAB_original,CAB_cbj+cbij,CAB_optimal,LinUCB
0,4.63012150385,6.11290576597,6.11290576597,5.9313977261
1,9.8778659487,10.5388381361,8.72847549745,10.2825843806
2,13.2680346524,14.7480233185,10.2882015871,12.8057630929
3,16.5818049753,18.2480766846,12.6871470887,16.5511221342
4,19.8883879056,20.9346075791,14.2226195162,19.5152764724
5,23.041441766,25.124846412,16.1470843324,22.2882154805
6,26.5424602822,28.2299932841,17.8286230325,24.7683612817
7,29.444694761,30.8621823744,18.5527517989,26.957583505
8,31.8670755673,33.5681015445,19.6210195798,29.3918055371
9,33.9065728314,35.3735269007,20.2872899032,30.8380859169
10,36.3463001845,37.3156816824,21.342463888,32.8999952437
11,37.878926276,39.3798464635,22.5536220111,35.0826078285
12,40.2233241968,41.2690785203,23.1857338091,36.8773122153
13,42.2329609256,43.4401707644,23.9303366268,38.451968102
14,43.8635436024,45.0886392177,24.9027885296,40.9442833749
15,44.989952315,45.8503199671,25.0931430567,41.4565784503
16,46.6032254689,47.1693855293,25.5609787041,42.5898638431
17,47.3491092392,48.6618258054,26.2441538092,43.2433237307
18,48.8379483461,49.2674287093,26.8510512515,44.5095326361
19,50.2997320667,50.7130002097,27.7744332122,45.1417459462
20,51.5818772974,51.5405114198,28.091804728,45.7076421929
21,53.0277241686,52.6683115915,28.6074619751,47.0604617344
22,54.3363880249,53.8511746544,28.9435528117,48.2164085845
23,55.2039931433,54.7076966573,29.5551641868,49.1437372386
24,56.4414555117,55.475471337,30.043327899,50.1067504292
25,57.750135201,56.6605909224,30.7396578814,51.0937318106
26,58.5745784487,57.3596925729,30.9159066203,52.0246912606
27,59.330510052,58.2727819463,31.431069139,52.6234646127
28,60.4532063659,59.0737298314,31.9567668596,53.6815574353
29,62.1215007497,59.6151176324,32.5516103042,54.8112259809
30,62.914162425,60.1107725532,32.8012110924,55.4328468625
31,64.1512676841,60.7417564866,32.9262592218,56.22290425
32,64.764178805,61.6359177981,33.3273461044,56.639552586
33,65.9443871266,62.0738345162,33.5201671237,57.3173866252
34,66.5396892896,62.5029842775,33.7138026252,58.2179685397
35,67.1838511544,63.1286258984,33.9460042875,58.6935303724
36,67.9160995453,63.4700332703,34.3650830819,59.0603758287
37,68.4744807976,64.5177373586,34.5792009375,59.7249161408
38,69.3336297758,64.8210551995,35.0600846037,60.3797087724
39,70.3902006361,65.0852327342,35.3026874296,60.690004692
40,71.1229958288,65.5003966259,35.5448968699,61.1035254617
41,72.2773393786,65.7079090002,35.6396362457,61.8106333297
42,73.0536940202,66.0038529547,35.7423669301,62.2515771164
43,73.3025207269,66.3142054363,35.8313961849,62.5108957316
44,74.2155161288,66.5872764891,35.8887715024,62.7416695975
45,74.9021400405,66.7311911529,35.9900730614,63.0613448985
46,75.495181928,67.0070938675,36.2569837262,63.4053299885
47,76.2421035637,67.1410049028,36.3297903639,63.5810602732
48,76.7517430135,67.4388797795,36.6142797483,63.9281319238
49,77.7255209865,67.7485954766,37.0389563834,64.7348495633
50,78.3643173769,68.087004171,37.1690912767,64.9911029697
51,79.3400613844,68.5239270293,37.284266324,65.4305188068
52,80.1618693939,69.0887358572,37.3643730613,65.7190877473
53,80.9150509195,69.2300105359,37.4103168869,65.9559057462
54,81.4919746007,69.4834297577,37.5317530043,66.1839224525
55,82.2898793218,69.8621672311,37.6530212399,66.3639383332
56,83.2634527806,70.2187948339,37.9360465509,66.7923686824
57,83.614834172,70.3963543093,37.9915716947,67.1845664408
58,84.0511659057,70.5660174406,38.0162772847,67.6223668723
59,84.7438152518,70.7399733254,38.0808446872,67.8588840827
60,84.9549610093,71.0416939765,38.1737698454,67.9254801761
