Time(Iteration),CAB_original
0,5.22674189536
1,10.3023460004
2,15.4374778092
3,20.3432890242
4,24.7504070897
5,28.171495347
6,32.0813910735
7,35.6823153058
8,39.1306067717
9,42.6786494684
10,45.3828289993
11,49.4199569361
12,51.3142394909
13,54.1434198822
14,56.5559562047
15,59.3585130588
16,62.0983157937
17,64.5808396623
18,67.0417588865
19,69.3470998278
20,71.9718625303
21,74.4389864327
22,76.3415212386
23,79.0573962952
24,80.9549346683
25,83.0280458147
26,85.2731347529
27,87.3904680005
28,89.6976886907
29,91.954850076
30,93.7833225439
31,95.2220986145
32,96.9506778696
33,98.967237051
34,100.833499596
35,102.571422304
36,104.017568384
37,106.00733498
38,107.936236207
39,110.100887797
40,112.138493727
41,114.006269337
42,115.033396842
43,116.784197997
44,118.373705943
45,120.013638722
46,121.51914648
47,122.608418307
48,124.56179413
49,126.071268042
50,127.272394912
51,128.402042133
52,129.086688895
53,129.75184601
54,130.916384518
55,132.03490852
56,133.171687034
57,134.466983551
58,135.775938721
59,137.039081081
60,138.05933657
61,139.146666747
62,140.324913625
63,141.39579334
64,142.216048118
65,143.239427984
66,144.261374285
67,145.109850641
68,146.116250648
69,147.13992254
70,148.037476882
71,148.868316547
72,149.411099946
73,150.361217154
74,151.23584152
75,152.120563079
76,152.677527145
77,153.133094455
78,153.980335593
79,154.982745237
80,155.63974027
81,156.513342645
82,157.817947732
83,158.371258043
84,159.078868262
85,159.964413642
86,160.780303304
87,161.716046358
88,162.367399918
89,163.363941517
90,164.582572411
91,165.510670538
92,166.498756438
93,167.327185372
94,167.870952477
95,169.000564922
96,169.787470139
97,170.339096634
98,171.168153478
99,172.115543261
100,172.951396779
101,173.984000318
102,174.861274692
103,175.760655985
104,176.312518697
105,176.917647759
106,177.838108789
107,178.862788523
108,179.619514642
109,180.368408084
110,181.61708636
111,182.213332357
112,183.105725681
113,183.659854251
114,184.628703447
115,185.152223498
116,185.737922868
117,186.44692731
118,187.082605713
119,187.970203051
120,188.543546259
121,189.023340182
122,189.414646871
123,190.056116313
124,190.711592678
125,191.536024069
126,192.520735736
127,193.409357652
128,193.742427648
129,194.161163575
130,194.852461235
131,195.13235985
132,195.966515209
133,196.673491979
134,197.342185082
135,198.187525417
136,199.268532409
137,200.038372378
138,200.624486421
139,201.310022626
140,202.401631764
141,203.147529819
142,204.191565065
143,204.769832264
144,205.406911166
145,206.060036882
146,206.498817687
147,207.486650428
148,208.562165312
149,209.701481717
150,210.299817099
151,211.266673993
152,212.000335974
153,212.492621449
154,213.541263794
155,214.124058469
156,214.51979353
157,215.165656725
158,215.747403094
159,216.756149451
160,217.851723277
161,218.39671465
162,219.448095288
163,220.258239633
164,221.05303151
165,221.921914772
166,222.555224781
167,223.243225497
168,223.62646802
169,224.2747412
170,225.039271806
171,225.648772964
172,225.947542829
173,226.54803432
174,227.23251169
175,227.635467711
176,228.260692197
177,229.07483992
178,229.908006645
179,230.794075457
180,231.459343125
181,231.959726651
182,232.767721256
183,233.110949895
184,233.701098044
185,234.335502367
186,235.037832741
187,235.504811599
188,236.005067662
189,236.778559352
190,237.684743191
191,238.387281371
192,239.028057006
193,240.177116285
194,241.021980075
195,241.594423774
196,241.984469762
197,242.34221393
198,242.990368339
199,243.645669476
200,244.534492214
201,244.693686402
202,245.34409997
203,246.212710063
204,246.960903525
205,247.825244089
206,248.225655331
207,249.299258708
208,250.382557642
209,251.237877139
210,252.233979457
211,252.684926441
212,253.546304534
213,254.053208484
214,254.384319577
215,255.059298655
216,255.821306365
217,256.438965962
218,256.963382648
219,257.447878135
220,257.968567022
221,258.444953093
222,259.130297165
223,259.672588462
224,260.562295067
225,261.133468366
226,261.631378649
227,262.134136441
228,262.920210391
229,263.60958879
230,264.089269919
231,264.991177556
232,265.634773593
233,266.320692818
234,267.409613443
235,267.690797662
236,268.34853797
237,268.713727113
238,269.619936021
239,270.593837288
240,271.335067809
241,272.134366422
242,272.447299352
243,273.001543597
244,273.390559565
245,274.330311154
246,275.091332512
247,275.737076075
248,276.332636105
249,276.995781067
250,277.690577414
251,278.429039515
252,279.146583664
253,279.532615102
254,280.04192369
255,280.722695243
256,281.265377774
257,282.244998298
258,282.803573405
259,283.461106915
260,284.091361617
261,284.845731582
262,285.395558198
263,285.975740656
264,286.896889162
265,287.607649152
266,288.577423318
267,289.318431484
268,290.081540738
269,290.562180597
270,290.93588366
271,291.69196737
272,292.015731716
273,293.006855679
274,293.808521346
275,294.617924818
276,295.229642123
277,295.516694553
278,296.086061281
279,296.632870337
280,297.195028568
281,297.759681591
282,298.678142699
283,299.228324456
284,299.765446599
285,300.362609468
286,300.830342161
287,301.676893198
288,302.128327617
289,302.452372916
290,302.985824808
291,303.60115846
292,303.898170796
293,304.575348028
294,305.160259866
295,305.579338273
296,306.444093106
297,307.059705422
298,307.584922858
299,308.137920549
