Time(Iteration),LinUCBCoTheta,CAB_fullCoTheta,CAB_cbjCoTheta,CAB_originalCoTheta,CAB_cbijCoTheta,,,,,,
0,0.978963660609,0.978963660609,0.978963660609,0.977937806196,0.978963660609,,,,,,
1,0.962055122185,0.935462500416,0.950159951915,0.941475390984,0.950159951915,,,,,,
2,0.926525279932,0.901537066389,0.928457812652,0.895611141681,0.930461599415,,,,,,
3,0.904910078146,0.873631676953,0.909632183033,0.868504066698,0.912297143598,,,,,,
4,0.883448966945,0.855092564372,0.883094139668,0.85596652654,0.884842427985,,,,,,
5,0.870190042039,0.837505869445,0.861898222438,0.833260051241,0.863510884128,,,,,,
6,0.845805654672,0.813558819721,0.818849989831,0.812792444782,0.81823267933,,,,,,
7,0.821735859033,0.777939397116,0.796132156345,0.790489846872,0.796219636048,,,,,,
8,0.796793411556,0.757637073819,0.78090132337,0.775105124155,0.775602227575,,,,,,
9,0.773643400579,0.730815578282,0.760219974446,0.758063327228,0.760868365417,,,,,,
10,0.750620271849,0.71698491435,0.741194248878,0.734302629613,0.733736089321,,,,,,
11,0.734703418922,0.695657033066,0.719469212799,0.722438505864,0.720903118506,,,,,,
12,0.717580402558,0.677435427956,0.692270761581,0.703306235842,0.706389417422,,,,,,
13,0.699956025498,0.666333715056,0.667927723471,0.686776711952,0.688753623137,,,,,,
14,0.68318655734,0.643142537651,0.654335241484,0.677188183611,0.672150844003,,,,,,
15,0.673852593868,0.630448543986,0.643617760435,0.667997650101,0.658447002637,,,,,,
16,0.658517094804,0.611950214147,0.623023080313,0.653625081117,0.632025653128,,,,,,
17,0.648142837651,0.600748618267,0.609423506211,0.640758777372,0.618872131286,,,,,,
18,0.639983851825,0.588263934325,0.597191333357,0.63269164111,0.609170476963,,,,,,
19,0.629418436136,0.578323492406,0.588086846693,0.61871090506,0.592686920643,,,,,,
20,0.620502672815,0.563627836333,0.576188831603,0.601449996626,0.575462809683,,,,,,
21,0.6096171146,0.55145381771,0.566214915307,0.59562990195,0.569322719492,,,,,,
22,0.596789468475,0.544748164871,0.555690189499,0.586832900526,0.557189359374,,,,,,
23,0.58835354092,0.533228249317,0.546115367395,0.576945688836,0.547633271947,,,,,,
24,0.579669860989,0.527706523656,0.538501571845,0.570659441233,0.539292553717,,,,,,
25,0.57426301037,0.518660853217,0.532130294257,0.567195061258,0.529026519212,,,,,,
26,0.568064485008,0.51125106358,0.528133099669,0.560543415311,0.521297372997,,,,,,
27,0.561366296622,0.506037436391,0.522208342162,0.553505332652,0.515698446472,,,,,,
28,0.557147592002,0.499451165582,0.517692266627,0.545474485445,0.512594504636,,,,,,
29,0.551436704522,0.491416217842,0.510741082572,0.538926375937,0.505734451753,,,,,,
30,0.538237491497,0.487689599068,0.499467120449,0.533371406973,0.499951860885,,,,,,
31,0.535221024016,0.483843464044,0.495037313634,0.53034687636,0.4966778903,,,,,,
32,0.532428053703,0.480944549877,0.491973617204,0.524946122959,0.492171636483,,,,,,
33,0.528907995507,0.476327545387,0.487050354281,0.517255012628,0.488552619389,,,,,,
34,0.526702762936,0.471236445816,0.481494413999,0.511271604544,0.485659073766,,,,,,
35,0.520132136583,0.466549735866,0.474806969829,0.503209619798,0.480091147302,,,,,,
36,0.515205824369,0.460246176682,0.472835391919,0.500288124458,0.477795998272,,,,,,
37,0.511065154349,0.455403329389,0.462615990337,0.489878204019,0.470649703833,,,,,,
