Time(Iteration),CAB,LinUCB
0,0.615755028794,2.57308023902
1,1.29441653628,4.06631137949
2,2.17763955369,5.70145791187
3,2.92535038313,7.10236828639
4,3.69490294926,8.10499647006
5,4.37798151594,9.07120227199
6,4.67836974087,9.72660722174
7,5.07968092266,10.6051742306
8,5.613292931,11.3131207436
9,5.98872971806,12.0813924646
10,6.34396009411,12.4215731812
11,6.91285814949,13.3112113598
12,7.25664964086,13.6958646836
13,7.4011664918,14.1381251011
14,7.58638434445,14.4106448779
15,7.88327868204,14.9035939421
16,8.17439492983,15.2624241768
17,8.44451205925,15.3807937208
18,8.81029961398,15.5340727123
19,9.03565858465,15.7014072507
20,9.39640131751,16.0040488356
21,9.78529256644,16.3197816109
22,10.0971291459,16.5275977063
23,10.4592915041,16.7305231047
24,10.6405233841,16.7812443354
25,10.8868383748,17.045003444
26,11.2042802062,17.2937229283
27,11.5279681749,17.5057764595
28,11.613948999,17.5746409833
29,11.8275348667,17.710410246
30,11.9845899535,17.8236968379
31,12.0107464617,17.8881549719
32,12.3440494638,17.9492359244
33,12.489194022,18.1247076782
34,12.5911570349,18.2245419211
35,12.875098684,18.3379092868
36,12.9575129347,18.3842791362
37,12.9874956951,18.4099566147
38,13.0815494778,18.5201031388
39,13.1856647419,18.5968775242
40,13.2055036468,18.7103226483
41,13.311672169,18.896496428
42,13.4345989168,18.9619108208
43,13.5999255046,19.1054602037
44,13.6498626894,19.1433485341
45,13.7515732058,19.2141901665
46,13.7908513633,19.2403712556
47,13.8174291146,19.2726602308
48,13.8969456183,19.2927603165
49,14.0270274994,19.4180058301
50,14.1647291124,19.4576585402
51,14.2115728199,19.5090200177
52,14.289270084,19.5534178986
53,14.3076949812,19.5625273483
54,14.4624803203,19.6683293274
55,14.509990042,19.6930217702
56,14.5831464935,19.7280175703
57,14.7783239431,19.8423878951
58,14.9356065492,19.9009551751
59,15.1829763301,19.9701308546
60,15.2688353821,20.0298465613
61,15.3247573229,20.1244140056
62,15.3944208936,20.1895274263
63,15.4137163109,20.2143890906
64,15.4769995667,20.2434264835
65,15.5405523399,20.2653068366
66,15.5768829651,20.2674120003
67,15.619576333,20.2772729784
68,15.6561082763,20.3347639285
69,15.6975687448,20.4234410613
70,15.7380393463,20.4765364469
71,15.7825118813,20.5579395698
72,15.8347292963,20.572253917
73,15.9402289916,20.6054560782
74,15.9613863205,20.625691858
75,16.0350106502,20.6768035188
76,16.0369762223,20.7652159701
77,16.0724881365,20.857630019
78,16.1070811199,20.8864440911
79,16.1587316719,20.9033454136
80,16.2202099619,21.0131879383
81,16.27211761,21.0264026892
82,16.2761387193,21.0304237985
83,16.3243502338,21.0587871551
84,16.415717909,21.0943140591
85,16.4332428518,21.094719284
86,16.460229107,21.1098732173
87,16.5420781986,21.1852396853
88,16.583801413,21.1852396853
89,16.6332634722,21.2239840879
90,16.6395694903,21.2307048141
91,16.6622484659,21.239689241
92,16.6828042381,21.2672059023
93,16.7136497112,21.2832289716
94,16.7136497112,21.2832289716
95,16.7866819242,21.295975269
96,16.8089193632,21.3004132603
97,16.8349105448,21.3099532746
98,16.855004724,21.3124117719
99,16.8863498309,21.312551412
100,16.9261615907,21.3264153067
101,16.9530394515,21.3325821586
102,16.9782112902,21.3488152145
103,17.0148613511,21.3627600469
104,17.0319479298,21.388937291
105,17.0584835521,21.4127483262
106,17.0790103014,21.4164285216
107,17.0809483487,21.4366600608
108,17.0843719724,21.4450696843
109,17.107676014,21.4581213678
110,17.118080856,21.4706796718
111,17.1476528649,21.5050240381
112,17.1966725539,21.5576351928
113,17.2343850411,21.582395531
114,17.2418215357,21.582395531
115,17.2869348339,21.6149388104
116,17.3563970739,21.6739710151
117,17.3638020915,21.6881278178
118,17.3914509675,21.7167539266
119,17.4003894387,21.7425861846
120,17.4142709908,21.7425861846
121,17.4191694126,21.7513038967
122,17.4377047087,21.7632770553
123,17.4746696318,21.773816577
124,17.5020398653,21.7919205605
125,17.534665667,21.7967566033
126,17.5429205754,21.8062740453
127,17.5747310366,21.8367087279
128,17.5862524243,21.8710162471
129,17.6044860158,21.8795255671
130,17.6168527236,21.8938815134
131,17.6202882037,21.8986361314
132,17.6276528735,21.9061385061
133,17.6352329978,21.9083860691
134,17.6352329978,21.9204282661
135,17.6463070892,21.9204282661
136,17.6542351249,21.9230947166
137,17.6590744695,21.9230947166
138,17.6928593204,21.9568795675
139,17.7050432301,21.973318355
140,17.7381963861,21.9761251982
141,17.7392389148,21.9792203775
142,17.7406745052,21.9792203775
143,17.7524004284,21.9792203775
144,17.7615776642,21.9865236851
145,17.78117753,21.9890538606
146,17.8085687181,22.0085976755
147,17.8191720789,22.0085976755
148,17.8380343051,22.0135437594
149,17.8431722026,22.0137101547
150,17.8664645227,22.014144216
151,17.8766847605,22.0259065775
152,17.9024373779,22.038593371
153,17.9043977925,22.0405537856
154,17.9287481898,22.041559017
155,17.93192429,22.0447351171
156,17.9877187201,22.0575285175
157,17.9877187201,22.0676726447
158,18.0143680458,22.0872623344
159,18.0483342222,22.1005193404
160,18.0590965761,22.1198367191
161,18.0595980978,22.1507916371
162,18.0660908131,22.1572843524
163,18.0660908131,22.1572843524
164,18.0663275081,22.1661705635
165,18.0763914558,22.1776732929
166,18.0873532612,22.2068190693
167,18.1018928305,22.2158986706
168,18.1137211295,22.222095495
169,18.1182843652,22.2261124068
170,18.1281668117,22.2562892417
171,18.1348399493,22.2608119795
172,18.1621094218,22.288081452
173,18.1769526894,22.3044285277
174,18.1774768555,22.3044285277
175,18.2077889484,22.3158650166
176,18.2126030106,22.3275257565
177,18.2205206606,22.3368131741
178,18.2214005906,22.3462212418
179,18.2322910769,22.3605582865
180,18.2408796776,22.3701894296
181,18.2408796776,22.3701894296
182,18.2445574583,22.3740838192
183,18.2578500369,22.3842127863
184,18.258027696,22.428279877
185,18.2587048211,22.4289298147
186,18.2611741264,22.4390927347
187,18.2611741264,22.4400002796
188,18.2740423686,22.4441652279
189,18.2740423686,22.4441652279
190,18.2740504342,22.4471254141
191,18.2754028024,22.4495259176
192,18.2754028024,22.4495259176
193,18.2779274259,22.4626009523
194,18.280258605,22.4649321314
195,18.2886046331,22.4746002824
196,18.2893892403,22.4847747867
197,18.2937040781,22.486373364
198,18.3057732262,22.486373364
199,18.3250560965,22.5197953356
200,18.3371312336,22.5245946804
201,18.348893237,22.528622929
202,18.3600468276,22.5397765196
203,18.3764054283,22.556060508
204,18.3968189248,22.581649286
205,18.4018926178,22.6101617323
206,18.4059879866,22.6219206996
207,18.4155476674,22.6314803804
208,18.4184372984,22.6343700114
209,18.4198182064,22.6434919925
210,18.4198182064,22.6616161521
211,18.4233939232,22.6616161521
212,18.4457489547,22.6799790004
213,18.4563650249,22.6850359044
214,18.464862188,22.6855316173
215,18.4854131366,22.688070277
216,18.5460726934,22.688070277
217,18.5704900901,22.6930786431
218,18.5777217374,22.6941082691
219,18.5817269838,22.6956096106
220,18.5954924339,22.7003711322
221,18.6071184554,22.7119971537
222,18.6147669198,22.7163277542
223,18.6177085617,22.7225298858
224,18.6280353084,22.7225298858
225,18.6280353084,22.7237592685
226,18.6322258736,22.7279498337
227,18.6359608773,22.730642804
228,18.6664452455,22.7372010142
229,18.6664452455,22.7372010142
230,18.667503887,22.7390400359
231,18.667503887,22.7400679472
232,18.670334471,22.7442196207
233,18.673438701,22.7582184497
234,18.6876328999,22.7659520897
235,18.6876328999,22.7757593958
236,18.6876328999,22.7757593958
237,18.7054601922,22.7827427313
238,18.7089569028,22.7947586603
239,18.7111524565,22.796954214
240,18.7152481155,22.796954214
241,18.7230162034,22.8115208362
242,18.7291397891,22.8142158172
243,18.7365616981,22.8242220898
244,18.7437811211,22.8286938937
245,18.7446343798,22.8295471525
246,18.7587282419,22.8436410146
247,18.783429352,22.8513361114
248,18.7979510506,22.862320071
249,18.7979510506,22.8632877848
250,18.7981710008,22.8632877848
251,18.7991539699,22.8678984215
252,18.8022011349,22.8678984215
253,18.8062805057,22.8737183705
254,18.8321940391,22.880181031
255,18.8464540593,22.893207654
256,18.8511984046,22.8933669602
257,18.8619167189,22.8933669602
258,18.8624174105,22.8938676518
259,18.871623522,22.9087915841
260,18.8735163731,22.9163389306
261,18.875692048,22.9185146055
262,18.8796662023,22.9206793455
263,18.8828134636,22.9238266068
264,18.88741994,22.9317602698
265,18.8917842953,22.9326722348
266,18.8917842953,22.9326722348
267,18.8953657322,22.9326722348
268,18.9005463194,22.9386381971
269,18.9005463194,22.9446852488
270,18.9103869721,22.9574897191
271,18.9103869721,22.9574897191
272,18.9103869721,22.9574897191
273,18.9103869721,22.9574897191
274,18.9158021306,22.9652708508
275,18.9279867567,22.9845972258
276,18.9311800095,22.9880747822
277,18.9321361162,22.9890308889
278,18.9397881476,22.9890308889
279,18.9411758297,22.990418571
280,18.9442725617,22.999383556
281,18.9458265778,22.999383556
282,18.9539965535,23.0075535316
283,18.9539965535,23.0113221506
284,18.9580833629,23.0201827473
285,18.9580833629,23.0201827473
286,18.9613023921,23.025850133
287,18.9761780029,23.025850133
288,18.9761780029,23.0324621304
289,18.9785568247,23.0387936037
290,18.9998369092,23.0607517364
291,18.9998369092,23.0607517364
292,18.9998369092,23.0731688594
293,18.9998369092,23.0829496127
294,19.0044396747,23.0835708868
295,19.0176210898,23.090222799
296,19.0273027872,23.090222799
297,19.0335624506,23.0902803733
298,19.0335624506,23.0944753723
299,19.0541252936,23.1150382153
300,19.0541252936,23.1150382153
301,19.0541252936,23.1197254272
302,19.0559553347,23.1215554684
303,19.0691724507,23.1347725843
304,19.0737031028,23.1347725843
305,19.0737031028,23.138497598
306,19.0737031028,23.142031114
307,19.0749526317,23.142031114
308,19.084599496,23.1426760067
309,19.0963367164,23.1441817549
310,19.1014297848,23.1457305768
311,19.1014297848,23.1472281056
312,19.1029070476,23.1506054795
313,19.1098172977,23.1510844466
314,19.1098921763,23.1545686161
315,19.1178009593,23.1667900704
316,19.1180548586,23.1670439696
317,19.1180548586,23.1670439696
318,19.1207241456,23.1677456053
319,19.1348643011,23.173452871
320,19.1398859984,23.1807504413
321,19.1398859984,23.1807504413
322,19.1398859984,23.1807504413
323,19.1466882506,23.182746334
324,19.1505019689,23.1860700412
325,19.1522138088,23.187781881
326,19.1602057592,23.1957738314
327,19.1666105544,23.2021742159
328,19.1820014213,23.2156865254
329,19.1884923151,23.2163197679
330,19.1901128375,23.2306585432
331,19.1956272458,23.2361729515
332,19.1956272458,23.2361729515
333,19.196792737,23.2361729515
334,19.2113211966,23.2361729515
335,19.2196588211,23.2361729515
336,19.2196588211,23.2361729515
337,19.2196588211,23.2361729515
338,19.2414405417,23.2412272024
339,19.2602720277,23.2822670841
340,19.2616280621,23.2862217276
341,19.2616280621,23.2862217276
342,19.2616280621,23.28909642
343,19.2616280621,23.3015602092
344,19.267466885,23.3058183086
345,19.267466885,23.3095745544
346,19.2792405147,23.3205878575
347,19.2853599955,23.3220491868
348,19.2912508304,23.3307062292
349,19.2995506256,23.3390060244
350,19.2996366242,23.3404290238
351,19.2996366242,23.3404290238
352,19.3007340455,23.3436724214
353,19.3052091687,23.3504498074
354,19.309861997,23.3504498074
355,19.3187392564,23.3573956746
356,19.3312607897,23.3630805467
357,19.3347152427,23.3678471427
358,19.3357254732,23.3720217577
359,19.3380220526,23.3763198896
360,19.3380220526,23.3763198896
361,19.3390172813,23.3773151184
362,19.3486183998,23.3804347976
363,19.3486183998,23.3804347976
364,19.3565382554,23.382486552
365,19.3565382554,23.382486552
