Time(Iteration),CAB_originalCoTheta,CAB_cbj+cbijCoTheta,CAB_optimalCoTheta,LinUCBCoTheta,,,,,,
0,0.953811299883,0.953811299883,0.953811299883,0.957401962929,,,,,,
1,0.919673122409,0.919879415357,0.888577960694,0.925118739336,,,,,,
2,0.895723061083,0.896212346827,0.858042972994,0.91186411832,,,,,,
3,0.857025373431,0.859253772595,0.818982011129,0.878819698165,,,,,,
4,0.833717322801,0.830952861402,0.802123817511,0.85994059364,,,,,,
5,0.810933865422,0.798109768803,0.786960751254,0.83190026705,,,,,,
6,0.790474538656,0.782827795191,0.760798769117,0.807303140974,,,,,,
7,0.764286201317,0.762278655478,0.737068176796,0.781461861902,,,,,,
8,0.746968594368,0.746432388673,0.725692736073,0.760270614883,,,,,,
9,0.726708379361,0.725331205817,0.719398093999,0.742048646513,,,,,,
10,0.712754274019,0.711640855366,0.707753098761,0.731255727549,,,,,,
11,0.702795551811,0.693369045219,0.700654881902,0.722851682616,,,,,,
12,0.692080483106,0.677586545631,0.68377825122,0.708441400857,,,,,,
13,0.679870705559,0.661940785855,0.667268060417,0.690733608144,,,,,,
14,0.669229361286,0.651434330545,0.656502226487,0.678387074782,,,,,,
15,0.660067059041,0.636251148421,0.645760191189,0.666422611256,,,,,,
16,0.650693906424,0.620736678301,0.634600732844,0.65640815336,,,,,,
17,0.640094007522,0.615279067446,0.62520158821,0.64922433941,,,,,,
18,0.636684925814,0.609527981397,0.620305597318,0.646113033968,,,,,,
19,0.629001486762,0.600670615611,0.615440455256,0.635640809044,,,,,,
20,0.623600173092,0.593944509076,0.611570807983,0.626954091641,,,,,,
21,0.614282851707,0.575799555621,0.599789871417,0.619592689829,,,,,,
22,0.607572681454,0.567728469667,0.589977294771,0.613806506576,,,,,,
23,0.601881329857,0.559414693773,0.58000204242,0.608390277306,,,,,,
24,0.592030512526,0.553924605266,0.572947817619,0.598946677006,,,,,,
25,0.585230139451,0.546573086465,0.566608386628,0.596108501901,,,,,,
26,0.577744717665,0.541255118769,0.560364823023,0.592188127592,,,,,,
27,0.569833300362,0.534526280825,0.554821256154,0.58734205701,,,,,,
28,0.556070064364,0.531307875898,0.552984377237,0.580652400709,,,,,,
29,0.551246106156,0.526917487161,0.546886072421,0.57778650155,,,,,,
30,0.543938899112,0.520197686705,0.542590174245,0.568422850346,,,,,,
31,0.535965812823,0.513718741482,0.537355103516,0.556243544873,,,,,,
32,0.525173861816,0.507824910496,0.534043914518,0.550161258313,,,,,,
33,0.520075217318,0.503124816191,0.532303554996,0.540599751055,,,,,,
34,0.514234601523,0.496675327245,0.523964213803,0.536080160935,,,,,,
35,0.502124092489,0.493363496723,0.521839526462,0.529613164394,,,,,,
36,0.487944832254,0.487710829654,0.51597085396,0.51951193773,,,,,,
37,0.483985711955,0.476466772627,0.508406372129,0.512014363688,,,,,,
