Time(Iteration),CAB_User
0,8.27767495127
1,14.9873035891
2,19.7502061165
3,24.1017489472
4,27.9196523524
5,30.090685342
6,32.2713164395
7,34.2633097409
8,36.2637049143
9,37.0213307318
10,38.8226852672
11,39.9358401441
12,41.1251896068
13,42.4595047048
14,43.6728357593
15,45.2477415348
16,46.649195576
17,47.740315931
18,48.5842870987
19,49.1574640429
20,50.2033236512
21,50.4565464715
22,51.5953173723
23,52.0022144726
24,52.4494526675
25,52.8804520237
26,53.4187058006
27,53.8331653739
28,54.1826939824
29,54.2845784551
30,54.3999735872
31,54.5040797822
32,54.5678334816
33,54.683753694
34,54.9867158731
35,55.2745870689
36,55.3249883069
37,55.5201467955
38,55.5675717698
39,55.6607621227
40,55.7109560955
41,55.7583172315
42,55.895906001
43,55.9766538443
44,56.0208805528
45,56.2492713872
46,56.2652988385
47,56.4213993566
48,56.5446728956
49,56.6064171493
50,56.7305572912
51,56.7782772673
52,56.9647201454
53,57.0361516646
54,57.1971913492
55,57.2818287301
56,57.3117547557
57,57.3182748185
58,57.394467857
59,57.4580356556
60,57.6692837356
61,57.7451468924
62,57.7724806956
63,57.9658614744
64,57.9864746927
65,58.00419668
66,58.0144017391
67,58.1336282803
68,58.3082070935
69,58.3232272099
70,58.3803059127
71,58.4017739836
72,58.4684040477
73,58.4926629093
74,58.5269858415
75,58.5644355317
76,58.6497328777
77,58.7157797318
78,58.7821237358
79,58.799113591
80,58.8063191276
81,58.8715972162
82,58.8875520243
83,58.8875520243
84,58.8875520243
85,58.8899101207
86,58.9377245036
87,58.9377245036
88,58.9377245036
89,58.9377245036
90,58.9827606575
91,59.0585521523
92,59.13462368
93,59.1377012139
94,59.1377012139
95,59.1385734432
96,59.1922184487
97,59.2769932204
98,59.3198876777
99,59.3198876777
100,59.3362884323
101,59.3416218034
102,59.3416218034
103,59.4210179227
104,59.533106192
105,59.5687811086
106,59.61272775
107,59.61272775
108,59.6129828334
109,59.6171459274
110,59.6302230075
111,59.6429602344
112,59.6693819603
113,59.741804742
114,59.7605236947
115,59.7605236947
116,59.7623909262
117,59.776841277
118,59.7960231891
119,59.8441532721
120,59.8698669876
121,59.8971124864
122,59.9222729602
123,59.9222729602
124,59.9709342481
125,59.9727512439
126,60.0053060907
127,60.0167622139
128,60.038033688
129,60.0619815286
130,60.0782482403
131,60.1754210815
132,60.1999454298
133,60.2057236533
134,60.2091305586
135,60.225477654
136,60.2670717447
137,60.2670717447
138,60.269623433
139,60.269623433
140,60.269623433
141,60.296903279
142,60.3149035961
143,60.3149035961
144,60.3152331976
145,60.3687659452
146,60.3726334306
147,60.3771002982
148,60.489467429
149,60.5043702432
150,60.5043702432
151,60.5054376467
152,60.5054376467
153,60.5062212355
154,60.5678360599
155,60.5679693024
156,60.5679693024
157,60.6450297058
158,60.6451551838
159,60.6746292309
160,60.6746292309
161,60.6994676914
162,60.7018932547
163,60.7453852173
164,60.8050591076
165,60.8119369891
166,60.8126045529
167,60.8127686846
168,60.8167495765
169,60.8193906554
170,60.8217620767
171,60.836165841
172,60.8449925012
173,60.8459458994
174,60.8569586098
175,60.8579242553
176,60.8594303465
177,60.8594303465
178,60.8594303465
179,60.8594303465
180,60.8594303465
181,60.864246473
182,60.864246473
183,60.8643701696
184,60.8743716075
185,60.8743716075
186,60.8743716075
187,60.8779196957
188,60.8824984669
189,60.8824984669
190,60.8824984669
191,60.8824984669
192,60.9556760461
193,60.9556760461
194,60.9731236252
195,60.9731236252
196,60.9731236252
197,60.9731236252
198,60.9790320503
199,60.993778935
200,60.993778935
201,60.993778935
202,60.993778935
203,61.0035839509
204,61.0035839509
205,61.0339005598
206,61.1012983241
207,61.103235844
208,61.1471825841
209,61.1471825841
210,61.1471825841
211,61.1593254271
212,61.1595446214
213,61.1595446214
214,61.1595446214
215,61.1680312079
216,61.1825805299
217,61.1825805299
218,61.1881449848
219,61.1881449848
220,61.1881449848
221,61.1904634506
222,61.1963617949
223,61.2000512384
224,61.2000512384
225,61.2000512384
226,61.2275792692
227,61.2275792692
228,61.2333225844
229,61.2388941083
230,61.2388941083
231,61.2527199594
232,61.2802803382
233,61.3036707023
234,61.3042309782
235,61.3042309782
236,61.3069689189
237,61.3069689189
238,61.3074881627
239,61.3259586907
240,61.3362954248
241,61.3362954248
242,61.3362954248
243,61.3362954248
244,61.3373373352
245,61.3779520501
246,61.3787973128
247,61.4120449696
248,61.4141153574
249,61.4141153574
250,61.422708768
251,61.4265310048
252,61.4621738146
253,61.4977282919
254,61.4977282919
255,61.5102793314
256,61.5102793314
257,61.5352633694
258,61.5352633694
259,61.5493929026
260,61.5537875324
261,61.5537875324
262,61.5537875324
263,61.5537875324
264,61.5559371199
265,61.5559371199
266,61.5559371199
267,61.5559371199
268,61.5690849482
269,61.5698570839
270,61.5698570839
271,61.5698570839
272,61.5730859309
273,61.5860149737
274,61.5860149737
275,61.5860149737
276,61.5860149737
277,61.6062628003
278,61.6068545989
279,61.6068545989
280,61.6080586644
281,61.6163534186
282,61.6224542869
283,61.6224542869
284,61.6682255912
285,61.6789739719
286,61.6789739719
287,61.6789739719
288,61.6789739719
289,61.6789739719
290,61.683674361
291,61.683674361
292,61.683674361
293,61.6859121891
294,61.6888436815
295,61.6888436815
296,61.6923718151
297,61.6923718151
298,61.7003534245
299,61.7003534245
300,61.7003534245
301,61.7003534245
302,61.7003534245
303,61.7003534245
304,61.7003534245
