Time(Iteration),LinUCB_newCoTheta,LinUCBCoTheta,,,,,,
0,0.95825299478,0.957758016875,,,,,,
1,0.931730285952,0.932856318849,,,,,,
2,0.909652659943,0.907145277697,,,,,,
3,0.8816684166,0.882404549517,,,,,,
4,0.858046158136,0.857263355364,,,,,,
5,0.833383200573,0.828927264341,,,,,,
6,0.811095077271,0.803133727816,,,,,,
7,0.792589009302,0.791828956064,,,,,,
8,0.754982687556,0.758365596306,,,,,,
9,0.733116346847,0.741221749796,,,,,,
10,0.720761553879,0.726550720369,,,,,,
11,0.698765816587,0.708266664635,,,,,,
12,0.688181260482,0.695706954486,,,,,,
13,0.66753151739,0.677254683368,,,,,,
14,0.652452398176,0.662307044666,,,,,,
15,0.634455281719,0.650245333512,,,,,,
16,0.620855050533,0.642791744877,,,,,,
17,0.606319908202,0.632082553072,,,,,,
18,0.599296751134,0.627042535648,,,,,,
19,0.586896640164,0.617433487385,,,,,,
20,0.57336652399,0.603872280775,,,,,,
21,0.564442106587,0.595002427403,,,,,,
22,0.555830710241,0.589434025204,,,,,,
23,0.546035254194,0.57732810995,,,,,,
24,0.540148646792,0.566210657322,,,,,,
25,0.533232513824,0.554961458373,,,,,,
26,0.528452118665,0.54576263947,,,,,,
27,0.522036176963,0.540012457712,,,,,,
28,0.517115438617,0.531197522008,,,,,,
29,0.510145378488,0.528178266608,,,,,,
30,0.500938964866,0.514295134196,,,,,,
31,0.493828799312,0.508316544566,,,,,,
32,0.487284288418,0.501527281681,,,,,,
33,0.481029588968,0.4925340819,,,,,,
34,0.475781135342,0.488282270798,,,,,,
35,0.470388774971,0.483078371905,,,,,,
36,0.462113572637,0.475928921079,,,,,,
37,0.453543617724,0.471622623394,,,,,,
38,0.446304308848,0.465264257417,,,,,,
39,0.440971892383,0.46155666547,,,,,,
40,0.437024019219,0.458611812305,,,,,,
41,0.432003804021,0.451047996115,,,,,,
42,0.427875521815,0.444893933994,,,,,,
43,0.421368251206,0.437185649352,,,,,,
44,0.419375255296,0.434024805895,,,,,,
45,0.417423178716,0.428998358614,,,,,,
46,0.416502460111,0.426130146612,,,,,,
47,0.413938446334,0.423181744673,,,,,,
48,0.4123382038,0.42090592079,,,,,,
49,0.408871025908,0.41814963392,,,,,,
50,0.404089751545,0.414872218207,,,,,,
51,0.403126811766,0.413964177332,,,,,,
52,0.400587080117,0.410021939747,,,,,,
53,0.394874259003,0.405717897288,,,,,,
54,0.393337065088,0.404019831455,,,,,,
55,0.392507355193,0.401993287228,,,,,,
56,0.389226678657,0.399629816911,,,,,,
57,0.387005968977,0.396878264701,,,,,,
58,0.382437539045,0.391455499652,,,,,,
59,0.380721957342,0.389675266753,,,,,,
60,0.379085349528,0.388992834558,,,,,,
61,0.376913604899,0.38769919719,,,,,,
62,0.374934839413,0.387285833941,,,,,,
63,0.373627905929,0.38658121328,,,,,,
64,0.369117599703,0.384880153059,,,,,,
65,0.363593478713,0.379326937927,,,,,,
66,0.362444951294,0.378030979081,,,,,,
67,0.360580861767,0.375254541123,,,,,,
68,0.358871649275,0.373895420459,,,,,,
69,0.357304551298,0.372676362265,,,,,,
70,0.355526705421,0.37160830546,,,,,,
71,0.354155924795,0.365864791148,,,,,,
72,0.352045767433,0.36238244557,,,,,,
73,0.350744485911,0.360870368389,,,,,,
74,0.348745115543,0.358931458689,,,,,,
75,0.346568307225,0.356964467985,,,,,,
76,0.345330885083,0.352913527506,,,,,,
77,0.339514572599,0.347361678797,,,,,,
78,0.335627097976,0.343586790549,,,,,,
79,0.333392356056,0.342691110126,,,,,,
80,0.333280334286,0.342525839016,,,,,,
81,0.331912135112,0.342026525044,,,,,,
82,0.329438343471,0.339717884583,,,,,,
83,0.325805132569,0.338110578955,,,,,,
84,0.325221720525,0.336621053941,,,,,,
85,0.323894511696,0.335307537808,,,,,,
86,0.321065580461,0.334092103338,,,,,,
87,0.320467264406,0.33337542017,,,,,,
88,0.320228587101,0.333277345722,,,,,,
89,0.316517584694,0.330035051681,,,,,,
90,0.314612857251,0.3271886627,,,,,,
91,0.313456149497,0.32662261794,,,,,,
92,0.313305869354,0.325684066534,,,,,,
93,0.312645668082,0.32497120866,,,,,,
94,0.311814565016,0.324540644702,,,,,,
95,0.311321203004,0.321332093871,,,,,,
96,0.310265836414,0.320121583182,,,,,,
97,0.309164169488,0.318910390578,,,,,,
