Time(Iteration),CAB_true_decrease
0,6.58463507258
1,10.7756051474
2,17.0139570122
3,22.3794422036
4,25.7857987139
5,29.9810438832
6,33.6379913158
7,37.4369390855
8,40.6260802309
9,44.6304040302
10,48.4975679055
11,52.6758445517
12,55.0527220651
13,59.0128225774
14,62.7237592794
15,66.2333751702
16,69.0354549821
17,72.8801368866
18,76.3966370052
19,79.414334175
20,81.991601013
21,84.6435959875
22,88.2043930922
23,92.724212168
24,95.9437598027
25,99.6120180916
26,101.712773118
27,104.490235045
28,106.565783786
29,109.328216799
30,112.796417024
31,115.323527543
32,118.462372731
33,120.152558
34,123.13186853
35,126.075907602
36,128.053604018
37,131.166539555
38,134.416157475
39,136.499868863
40,139.462177565
41,142.621482669
42,144.789300264
