Time(Iteration),CAB_originalCoTheta,CAB_cbj+cbijCoTheta,CAB_optimalCoTheta,LinUCBCoTheta,CAB_cbjCoTheta,CAB_cbijCoTheta,,,,,,
0,0.943086668833,0.943086668833,0.943086668833,0.943086668833,0.943086668833,0.943086668833,,,,,,
1,0.914056376437,0.903095799623,0.891471586108,0.919592111106,0.912591213848,0.912836489222,,,,,,
2,0.896341347165,0.866845134602,0.863709463999,0.899431037247,0.875323062027,0.880715424109,,,,,,
3,0.878116138734,0.848359144978,0.841207047939,0.883136418202,0.849254347,0.838243953443,,,,,,
4,0.850434672128,0.826552192542,0.816765915173,0.857406972855,0.824845463466,0.806315402779,,,,,,
5,0.833529947312,0.794235279735,0.799002957539,0.837747484683,0.799487012841,0.79067321365,,,,,,
6,0.793669585805,0.766072276358,0.777906113016,0.805577274252,0.77566097616,0.775251054274,,,,,,
7,0.780090338063,0.744071302192,0.751752557047,0.790683984642,0.754599239236,0.749811204696,,,,,,
8,0.762712186381,0.725485348158,0.731585682787,0.766982746052,0.717871851825,0.72480262428,,,,,,
9,0.741485853166,0.701962490218,0.710965595244,0.744683674696,0.682289212118,0.707539084167,,,,,,
10,0.724800299048,0.681188385773,0.692305695959,0.726332439416,0.657762314491,0.686126249061,,,,,,
11,0.705888877926,0.667985564979,0.687295490081,0.700573974035,0.642922173541,0.67639806204,,,,,,
12,0.688035894067,0.649851771258,0.675358276772,0.694478716468,0.628092095239,0.658353893264,,,,,,
13,0.672778401847,0.635217193714,0.658884571826,0.674421026167,0.607247079922,0.640797962143,,,,,,
14,0.659766214289,0.6149234482,0.636388995074,0.660231398769,0.597285180492,0.618427153332,,,,,,
15,0.637384374464,0.601219013214,0.623853268853,0.645681859689,0.577888847105,0.602978290474,,,,,,
16,0.624788329753,0.589363892996,0.614611338107,0.639695273715,0.570011797206,0.594017102522,,,,,,
17,0.611245145352,0.57661543917,0.607173926865,0.62853916004,0.564442036126,0.584517435402,,,,,,
18,0.59222431534,0.564966059584,0.594892956277,0.619194093422,0.554016168818,0.573094603132,,,,,,
19,0.578872603393,0.558676580762,0.587215652418,0.606894579169,0.547723996494,0.564781382675,,,,,,
20,0.575343399193,0.552228420819,0.579418821709,0.598781346484,0.538913068637,0.555891446542,,,,,,
21,0.567806405125,0.53276414989,0.56949779108,0.590874786743,0.525598902356,0.545316874245,,,,,,
22,0.559040776759,0.524202424098,0.554261611426,0.57750266265,0.519587293158,0.530383804351,,,,,,
23,0.555937625397,0.514630373585,0.542951847641,0.565747744761,0.513203627027,0.521071457919,,,,,,
24,0.54795032098,0.509793181237,0.534690464503,0.555481460383,0.509303650523,0.516896696768,,,,,,
25,0.543553614717,0.507189826712,0.527871406461,0.551906264325,0.504770371989,0.513107542467,,,,,,
26,0.538278594593,0.500705507553,0.522116812419,0.544775518103,0.498245925155,0.505510567932,,,,,,
27,0.531115690037,0.494446955463,0.519794472182,0.541342967036,0.496184380986,0.499203796394,,,,,,
28,0.523606259412,0.486991690608,0.509663799437,0.536092215579,0.488997127333,0.483621680806,,,,,,
29,0.521189995804,0.482647938149,0.506254330736,0.531920507052,0.484796931945,0.478896192413,,,,,,
30,0.515632802768,0.477494885031,0.502109016238,0.527286242158,0.480038905556,0.475410871509,,,,,,
31,0.508790666761,0.469525745865,0.493777021941,0.51774119621,0.475711268597,0.466634069931,,,,,,
32,0.506168405657,0.46453887623,0.491234399493,0.516662920257,0.467651055088,0.462083745958,,,,,,
33,0.501979143313,0.458682327613,0.488060262284,0.513779619998,0.464286855092,0.458953521567,,,,,,
34,0.497607248201,0.456651125449,0.484990380607,0.508817455416,0.462603555704,0.457024788962,,,,,,
35,0.494890345892,0.451267606229,0.481543716142,0.499941623283,0.458128021196,0.452354869845,,,,,,
36,0.487774165822,0.445739831772,0.478799726413,0.493237038853,0.449640612809,0.443876534471,,,,,,
37,0.484524990372,0.442819998811,0.476378490685,0.491066680249,0.447092717685,0.441136420065,,,,,,
38,0.474784877342,0.437880624121,0.472478908654,0.481229209986,0.440948605926,0.435214759618,,,,,,
39,0.471765029891,0.435772888586,0.468810834151,0.47734755013,0.438777602364,0.433259062317,,,,,,
40,0.469811367541,0.432737656025,0.464072915342,0.473622750027,0.435184253379,0.42955186773,,,,,,
41,0.466638618136,0.427367869855,0.462326276821,0.468097403985,0.433254768412,0.426321482002,,,,,,
42,0.462831722292,0.422899212547,0.457727976302,0.464088943681,0.427856340824,0.420851229542,,,,,,
43,0.462734547829,0.42162578161,0.456807494056,0.463436266627,0.425680144043,0.419239641262,,,,,,
44,0.458107763609,0.412592288162,0.451144552743,0.45950810141,0.41888473277,0.412032378648,,,,,,
45,0.45592244872,0.409219362738,0.448990255434,0.45691438907,0.412372371084,0.404516327909,,,,,,
46,0.449521108145,0.408418228965,0.448137231101,0.453869618279,0.412255448088,0.403278714855,,,,,,
47,0.444420948442,0.402123310996,0.443654284727,0.447189973081,0.409813913167,0.399900527485,,,,,,
48,0.440346359497,0.400980695459,0.436960961913,0.44359779705,0.405957239894,0.393836917349,,,,,,
49,0.43466130475,0.399565536,0.435895829698,0.438210432616,0.406001761663,0.393553426917,,,,,,
50,0.433194517624,0.397842590048,0.43474669483,0.436900199301,0.405434143458,0.392174227255,,,,,,
51,0.428547565561,0.39358434572,0.433835651971,0.433949867905,0.40321193398,0.384923771586,,,,,,
52,0.421571941629,0.38906852226,0.428846555026,0.426332324011,0.39969096512,0.3769544529,,,,,,
53,0.418841788462,0.387461174156,0.427728699783,0.42229232405,0.396538653201,0.376092857656,,,,,,
54,0.413593909756,0.38001543391,0.42344295772,0.412288438451,0.393729146262,0.371203768519,,,,,,
55,0.4096896177,0.377941349138,0.422434218866,0.409923968345,0.391020494747,0.367680742123,,,,,,
56,0.406042216061,0.37584811403,0.420759483945,0.409357454114,0.388719665523,0.366062692128,,,,,,
57,0.404577182671,0.37315933087,0.418558478402,0.406953266815,0.386900057113,0.362496918797,,,,,,
58,0.40442841219,0.367992982139,0.417811851569,0.40478545172,0.383360908218,0.360879683711,,,,,,
59,0.400695698957,0.362669008054,0.411956033731,0.401863949328,0.379704898278,0.357746815625,,,,,,
60,0.398411270822,0.361417799637,0.410891882592,0.40037683263,0.378208721355,0.356786720693,,,,,,
61,0.397664428191,0.359752914063,0.409742766241,0.398871713392,0.37564244967,0.355314804976,,,,,,
62,0.395595168988,0.356559993367,0.402497426464,0.39615101859,0.367512491486,0.352132687041,,,,,,
63,0.39475981286,0.354237460621,0.402038109027,0.395840034128,0.36546529313,0.351479165873,,,,,,
64,0.386642951369,0.347475147927,0.396926855664,0.388755547969,0.360341537043,0.344896618989,,,,,,
65,0.383665404922,0.343382433956,0.394269330872,0.38578926558,0.357426288575,0.342708453607,,,,,,
66,0.382867771483,0.343283264072,0.393324478976,0.384247285377,0.357349769853,0.342766306089,,,,,,
67,0.378919314307,0.341535880576,0.392002684283,0.38226482586,0.354851649123,0.340250705712,,,,,,
