Time(Iteration),CAB_reject,CAB_original,LinUCB
0,7.57193890822,7.28248638233,7.3647808478
1,12.1459048155,13.6586531275,10.6609682674
2,16.7013383726,17.8834946611,14.5005055096
3,21.0514187923,23.2850997289,17.8625329124
4,23.9011033241,26.1031281107,20.564160279
5,27.1673556496,28.2046817154,23.068177376
6,30.8606916134,31.0620163962,25.4521379345
7,33.8104643288,32.8542631266,27.8231709756
8,36.7267521339,34.5155111652,29.5543971477
9,40.3600649236,36.2984362573,32.0074232011
10,43.0230922294,37.9757455752,34.6688728195
11,45.3289986371,38.9902685629,35.7772831528
12,49.1593689188,40.375883832,37.0648647514
13,52.2679138879,41.439706321,37.7222413197
14,55.1673302793,42.6692602251,38.7966703379
15,58.431494044,43.7170829648,40.1798232818
16,60.7310059163,44.6914496731,41.3634273411
17,62.9155756416,45.5245555731,42.6580004472
18,64.4359363096,46.6092673036,43.583876769
