Time(Iteration),CAB_originalCoTheta,LinUCBCoTheta,,,,,,
0,0.982592349084,0.985302925352,,,,,,
1,0.958547150564,0.961312563007,,,,,,
2,0.93702409891,0.936652900292,,,,,,
3,0.915758001053,0.911223450227,,,,,,
4,0.894124476126,0.888967602684,,,,,,
5,0.870950576492,0.864179303961,,,,,,
6,0.848504838316,0.845382750178,,,,,,
7,0.826175968032,0.824809391045,,,,,,
8,0.803952875751,0.808851843149,,,,,,
9,0.789557605337,0.797331617195,,,,,,
10,0.759859501335,0.775886534116,,,,,,
11,0.741300516685,0.754716643859,,,,,,
12,0.72898266237,0.734417262123,,,,,,
13,0.708768566201,0.71317657421,,,,,,
14,0.693964486157,0.69858132844,,,,,,
15,0.684807354447,0.689870024542,,,,,,
16,0.668174365416,0.682146030746,,,,,,
17,0.646058573051,0.668234572949,,,,,,
18,0.631293486675,0.652498021998,,,,,,
19,0.618236237477,0.640074468204,,,,,,
20,0.608947683134,0.634711385652,,,,,,
21,0.597105406055,0.628391484264,,,,,,
22,0.587222911377,0.618009487913,,,,,,
23,0.577749679473,0.613114342692,,,,,,
24,0.566578557564,0.603258398545,,,,,,
25,0.551962862477,0.596228796556,,,,,,
26,0.546619024941,0.589063497789,,,,,,
27,0.541256120968,0.578876457968,,,,,,
28,0.529497456035,0.57411899192,,,,,,
29,0.516063613222,0.563711037154,,,,,,
30,0.507105129664,0.554674690671,,,,,,
31,0.502265431166,0.551703415399,,,,,,
32,0.49177797212,0.547873522202,,,,,,
33,0.484797769824,0.543005058231,,,,,,
34,0.477137235118,0.535737214783,,,,,,
35,0.465040392531,0.530173721217,,,,,,
36,0.459748962703,0.526293584899,,,,,,
37,0.456259737333,0.522670407625,,,,,,
38,0.44875732764,0.516990342938,,,,,,
39,0.442452562943,0.512357781818,,,,,,
40,0.434160356109,0.502620296867,,,,,,
41,0.427779914423,0.493258936186,,,,,,
42,0.424568230857,0.490348285087,,,,,,
43,0.419021527711,0.487578901144,,,,,,
44,0.417222267479,0.482167621717,,,,,,
45,0.407784045076,0.474969518432,,,,,,
46,0.402976235619,0.471435804785,,,,,,
47,0.398790329565,0.468194578402,,,,,,
48,0.395708707442,0.46542956138,,,,,,
49,0.394202090197,0.464589374971,,,,,,
