Time(Iteration),CAB_idealNew,CAB_original,CAB_optimal,LinUCB
0,7.94410214847,5.70518861174,7.94410214847,7.48360674867
1,12.0550255816,11.0742995104,11.2230406177,11.4355389781
2,16.6081146219,14.4708740948,13.5281168862,16.1760441227
3,20.5107865079,18.4091466992,16.2728110842,20.1073975755
4,23.7882556034,22.1495213612,17.755082641,23.2682518419
5,26.3610300984,23.4793879591,19.9789608056,25.9664997152
6,28.1951298323,25.7934203631,21.3134616996,28.6714170301
7,30.1395111707,27.8797444905,22.5794510444,30.2295334824
8,31.2840613335,29.2751392766,24.0258325045,31.4898846772
9,33.1543904662,31.5865063202,25.4302582931,33.554996202
10,34.2115172286,32.7337083821,26.6042956349,35.4917595586
11,36.3920016033,34.2557611449,27.8300506708,37.5228101448
12,37.8018817006,35.3188112894,28.6423215379,38.971010493
13,39.1724936094,35.9665620261,28.9014184192,40.1627172208
14,39.7386604582,36.8296842986,29.2324747225,41.0079904017
15,40.4325861072,37.8179182607,29.9685023468,41.7063247164
16,41.2429851784,38.7484247673,30.9490510465,42.594409381
17,42.1086212663,39.8825589046,31.6441181154,43.7048404143
18,42.3860357359,40.5960529412,32.2273313079,44.4503561213
19,42.6803504368,40.8903660978,32.6176738235,44.994758205
20,43.0279063083,41.8757273442,32.9113653327,45.6394083037
21,43.2943797393,42.2073148486,33.242410418,46.1708463512
22,43.5215474866,42.3986479204,33.3024132381,46.4100633765
23,43.9026918316,43.4380274071,33.5927835703,47.0020550923
24,44.2677712512,43.947961521,33.9626281778,47.4854903489
25,44.7158963567,44.4423396294,34.1165831174,48.0201043903
26,45.3223034908,44.808863521,34.4142128536,48.7872236437
27,45.5377170783,45.4044167043,34.5255013488,48.9233764414
28,46.2991108193,45.8649376878,34.7791720468,49.7449937175
29,46.8876611406,46.3016116961,34.8759519529,49.9276936762
30,47.1246929971,46.7270281998,35.1145745255,50.3636280003
31,47.2057307135,47.582091302,35.2174207534,50.3841019171
32,47.5429895935,48.1716351595,35.440585731,51.0179899983
33,47.5995534464,48.516835621,35.4830087703,51.1287153785
34,47.9687229893,49.132029477,35.6077995048,51.4805500688
35,48.0063247366,49.5210116552,35.8490745941,51.6810725199
36,48.1175534781,49.6935499261,35.9709563532,51.7628505121
37,48.2891338389,49.8497452005,36.1978353829,52.0059267248
38,48.5388690332,50.2025807483,36.2863345645,52.3040726331
39,48.573655286,50.3472912039,36.3211208172,52.3388588859
40,48.638413183,50.5270883825,36.3397991802,52.61505163
41,48.9100974757,50.8060149886,36.5188679776,52.8719401886
42,49.0030809085,51.1263600145,36.6215504236,52.9180976562
43,49.0115561644,51.4326059896,36.6474796757,52.9751539329
44,49.0758976231,51.883525994,36.697255927,53.0213238689
45,49.2169040966,51.9558378439,36.8424921551,53.1474995974
46,49.3534873637,52.2246965372,36.9468454852,53.3092195716
47,49.7975651698,52.717575892,37.2109022705,53.8673931537
48,50.2426730568,53.0899808443,37.2840095664,54.4921696978
49,50.4694387137,53.6482014646,37.4335709159,54.7095288194
50,50.4694387137,53.8069527699,37.4736781018,54.7785490609
51,50.4694387137,53.9190826663,37.5814114542,54.8135881589
52,50.5036701945,54.0511999845,37.5814114542,54.8434860864
53,50.6330446779,54.3069019552,37.8696754519,55.002862181
54,50.6345573364,54.6782119159,37.9704839347,55.108843731
55,50.6886105734,54.7729112537,38.0245371718,55.1590795438
56,50.7183851957,54.9146818109,38.0543117941,55.383572633
57,50.8183671421,55.0914504446,38.1542937405,55.5619548973
