Time(Iteration),CAB,LinUCB
0,1.24063986577,2.34509013798
1,1.85813622195,3.94164894666
2,2.29970685978,5.01860061549
3,2.75511564109,5.96472300736
4,3.26506342967,7.32008601343
5,3.77959233738,8.33542862158
6,4.09611964413,9.09486706788
7,4.52068362429,9.85594136501
8,5.00700083481,10.3852855946
9,5.67335977343,10.9361902199
10,5.98823275561,11.3074819435
11,6.31696053777,11.5728682636
12,6.72382497641,12.0413021209
13,7.14823550755,12.3837394538
14,7.46137782638,12.6613020041
15,7.63792962597,13.0598375191
16,8.08617958915,13.4909708342
17,8.36276203264,13.7390045908
18,8.49604116396,13.8114067835
19,8.72199180184,14.0848383766
20,8.93419765403,14.2795766372
21,9.19537694859,14.5201355938
22,9.29895506324,14.7339530491
23,9.65574805643,15.072945644
24,9.79912852028,15.2945605095
25,9.92424282249,15.4338000116
26,10.0728332608,15.576328476
27,10.2007385891,15.8416703764
28,10.270552904,15.9491950176
29,10.4163230221,16.1687018595
30,10.6228166611,16.3978267609
31,10.6824675785,16.4998151856
32,10.8082704861,16.7321405946
33,10.933344321,16.8259149413
34,11.0079347366,16.9346956226
35,11.1920522777,17.0672514684
36,11.3447441112,17.3298705184
37,11.4920709036,17.5670638969
38,11.532077033,17.6774711106
39,11.6603129713,17.8173672684
40,11.6879012195,17.8840462695
41,11.7480321482,18.0029675393
42,11.8633574364,18.1461110103
43,11.9333145043,18.2373126905
44,12.0639073417,18.3134414518
45,12.2204200365,18.3764632124
46,12.3414829672,18.4508664859
47,12.4982548679,18.6217484207
48,12.5603736075,18.6993746729
49,12.7236643578,18.8006111972
50,12.7712112091,18.8235287407
51,12.8879771307,18.8832177805
52,13.051832697,19.0747635969
53,13.0948451541,19.1929680179
54,13.211949099,19.3218551659
55,13.3031147878,19.353211491
56,13.3323521835,19.4011678404
57,13.4127644443,19.4541867458
58,13.5110923877,19.4825582229
59,13.5752591063,19.5467249414
60,13.6777252732,19.5904905644
61,13.7010782389,19.6292991218
62,13.7558066727,19.6333945679
63,13.8197331119,19.6464199469
64,13.924790755,19.699828434
65,13.9673770311,19.7323449189
66,14.1004343319,19.7735709204
67,14.1135194143,19.7985339481
68,14.1373836955,19.8216524231
69,14.2182493991,19.8788264633
70,14.2957235664,19.908027467
71,14.3661434679,19.9499820837
72,14.4279460777,19.9696669786
73,14.4687583207,20.0058139851
74,14.493378839,20.0954716148
75,14.5776657887,20.1451768489
76,14.658787049,20.1631852574
77,14.660125725,20.1948433307
78,14.7109344326,20.2304365392
79,14.7443546783,20.2852934962
80,14.762295466,20.2986813239
