Time(Iteration),CAB_original,LinUCB
0,5.73056297556,6.02825291313
1,13.4467052302,13.2929767557
2,20.9934715972,20.5219722659
3,26.9565252802,25.9262454815
4,31.2086440905,29.0219249239
5,36.6695882539,32.5800413858
6,41.576666955,35.6024576513
7,47.4837334838,37.4103266853
8,52.2431087828,40.9632478376
9,58.3523206613,43.1579071958
10,63.4272835609,45.7501906628
11,69.50626848,47.8455011758
12,75.4369213655,49.0926025132
13,81.9719909557,51.2453088071
14,87.1866943009,52.5497353226
15,93.4601116951,53.6429935838
16,101.141686092,54.5941873174
17,107.322528084,55.2300166349
18,112.696235323,57.2379122698
19,118.366787622,58.3365218635
20,124.489524309,59.7091270876
21,130.788177687,61.3833195391
22,136.234810998,64.0494369292
23,141.531167298,64.7124013373
24,146.891106419,66.2212537988
25,152.292325508,67.5188854028
26,157.811250904,68.1925026691
27,162.569696614,69.3683440144
28,168.297896036,70.4194234331
29,173.321104872,71.3728780584
30,177.132648829,72.3667071143
31,181.662677948,73.6054523282
32,185.601656925,74.6598984834
33,189.628876151,75.4472319478
34,193.81174896,76.309589507
35,198.091694257,77.003406581
36,202.675523017,77.7402507519
37,206.578309655,78.4186745517
38,212.036498821,78.9870617362
39,215.462494384,80.0492350073
40,219.955285463,80.8009372727
41,223.288551411,82.0693758674
42,225.861038044,83.0387552436
43,228.196383968,83.6884997886
44,231.305836087,84.4647775082
45,233.102332162,85.0999633235
46,236.021952117,85.6154650865
47,239.209413424,86.1127324672
48,240.923532251,87.1320380688
49,243.658953249,88.0222276748
50,245.168028924,88.787751246
51,247.988664753,89.8857969733
52,249.321897829,90.268201902
53,252.338238723,90.5959710662
54,254.449449546,90.9642551196
55,258.196920392,91.3785527599
56,259.934892023,92.3006268959
57,261.749148701,92.6635715142
58,263.899162185,93.4668288518
59,265.547116114,94.1128442285
60,266.490564175,94.4671414793
61,268.546997067,94.8909991571
62,272.099497805,94.9284760613
63,273.569633873,95.0603381591
64,274.670320174,95.824307513
65,277.107802673,96.7510924188
66,279.290205799,97.7480966748
67,280.053704687,98.0218599559
68,281.114570962,98.6685239508
69,283.399742716,99.3653992218
