Time(Iteration),CAB_original
0,1.29991270983
1,2.69948129399
2,3.63973404862
3,4.58925179154
4,5.45572957895
5,6.22690079685
6,7.35513392811
7,8.48322281992
8,9.16647987027
9,9.95363736449
10,10.6455343293
11,11.2845085367
12,11.6779424884
13,11.9792343274
14,12.3189001963
15,12.6023373382
16,12.9661840025
17,13.4859294431
18,13.9418948681
19,14.2134527084
20,14.5888872047
21,14.9175907948
22,15.2405284519
23,15.5033867809
24,15.8547088056
25,16.1092532751
26,16.3599012058
27,16.6190478819
28,16.7745771095
29,16.9503916259
30,17.1308971879
31,17.3204512243
32,17.4560724438
33,17.5634394881
34,17.8419192127
35,18.0815578537
36,18.3169755456
37,18.4123973232
38,18.5294902419
39,18.6787280867
40,18.8726467647
41,19.0832879794
42,19.1582019893
43,19.3819583256
44,19.4949928717
45,19.567131494
46,19.7448486678
47,19.8628863489
48,19.9493962024
49,20.0475207154
50,20.1368514401
51,20.2247771239
52,20.3514081117
53,20.4690980545
54,20.5484730311
55,20.7063106298
56,20.7842173755
57,20.9319811041
58,21.1085836748
59,21.1603373555
60,21.29214391
61,21.4129732028
62,21.4671021452
63,21.5950874463
64,21.6133059687
65,21.7423896218
66,21.7874530805
67,21.8448579471
68,21.9095925164
69,21.9343493022
70,22.0212750307
71,22.0841582344
72,22.118748108
73,22.2700853464
74,22.3569151951
75,22.3827707772
76,22.4084239707
77,22.4726550069
78,22.4943888221
79,22.5765476915
80,22.5954519874
81,22.6392976795
82,22.6808953576
83,22.7364070068
84,22.7814413416
85,22.790843463
86,22.8404012787
87,22.9348498737
88,23.0197596001
89,23.1131792241
90,23.1283213513
91,23.1906513521
92,23.2996030127
93,23.3094556766
94,23.3476701823
95,23.3773718599
96,23.4310434602
97,23.4415172447
98,23.4940765106
99,23.5157008897
100,23.5559462616
101,23.5740064152
102,23.6034198666
103,23.6102592369
104,23.6699093367
105,23.6929059238
106,23.705091302
107,23.7927464701
108,23.8112727655
109,23.8704556397
110,23.9340183166
111,23.9663590711
112,24.0371298728
113,24.0557349466
114,24.0834157872
115,24.1000923374
116,24.12030113
117,24.1725031289
118,24.1888194885
119,24.2160387135
120,24.2353984707
121,24.2494011298
122,24.2987657309
123,24.3415256473
124,24.3583050005
125,24.389806031
126,24.4142394185
127,24.4621378522
128,24.5104941813
129,24.6084194797
130,24.6165144338
131,24.6390896426
132,24.653367878
133,24.6682763309
134,24.6781348308
135,24.683648735
136,24.726256473
137,24.7368048618
138,24.7477645938
139,24.7781363701
140,24.7936368146
141,24.8052878412
142,24.8810679614
143,24.9077105003
144,24.9412713827
145,24.965251724
146,24.9886617157
147,25.0174474976
148,25.1155096525
149,25.1615335597
150,25.1880882503
151,25.2256206073
152,25.2412047025
153,25.2532600252
154,25.2593324799
155,25.3324632512
156,25.3376620576
157,25.3688578599
158,25.3966190121
159,25.4248882783
160,25.4519965391
161,25.4956207309
162,25.5650052316
163,25.5959432089
164,25.6504782904
165,25.6563148707
166,25.6907492611
167,25.7047116691
168,25.7347153795
169,25.7407239936
170,25.7407239936
171,25.7899893896
172,25.7899893896
173,25.7899893896
174,25.8296796763
175,25.8322022408
176,25.8460815731
177,25.9016068953
178,25.9428383504
179,25.9902421971
180,25.9972092941
181,26.0673250968
182,26.0859109933
183,26.0864218777
184,26.1524581663
185,26.1524893995
186,26.1646941284
187,26.221378029
188,26.2312934106
189,26.2535825561
190,26.2779580703
191,26.3285011333
192,26.34542999
193,26.3741798797
194,26.4251861603
195,26.4335281452
196,26.4537583379
197,26.4637504698
198,26.4775939917
199,26.4846383474
200,26.5005124864
201,26.5181128976
202,26.5225293315
203,26.544645828
204,26.5494547918
205,26.5830744382
206,26.5979653048
207,26.617968955
208,26.6357374542
209,26.6729326866
210,26.6797385764
211,26.7237431761
212,26.7518953462
213,26.7648051865
214,26.7981059997
215,26.8156132195
216,26.8375675193
217,26.8745337726
218,26.8844072631
219,26.9345038204
220,26.9641448081
221,26.9693494516
222,26.9697025326
223,26.9868810925
224,26.9910844577
225,27.0240539674
226,27.0699499045
227,27.0772296828
228,27.0772296828
229,27.1104296363
230,27.1492718224
231,27.2160776386
232,27.2456608171
233,27.2555440062
234,27.2650988176
235,27.2704201755
236,27.2984139971
237,27.3188514289
238,27.3407381321
239,27.359634549
240,27.4028309115
241,27.4158212266
242,27.4564698278
243,27.4578721771
244,27.4840478308
245,27.5050350095
246,27.5185292123
247,27.5416690364
248,27.5416690364
249,27.5630130085
250,27.6134183363
251,27.6248520711
252,27.6522856618
253,27.661349037
254,27.7134408212
255,27.7182714799
256,27.7536947478
257,27.7579031008
258,27.7792343235
259,27.7813551932
260,27.8771278924
261,27.9002212678
262,27.914059058
263,27.9197131393
264,27.9559074017
265,27.9587373167
266,27.9992694384
267,28.0188088589
268,28.0829096829
269,28.0952117524
270,28.1406742321
271,28.1567825678
272,28.1656889946
273,28.1820809687
274,28.1862254372
275,28.1902713877
276,28.2005944419
277,28.2105188044
278,28.2291831894
279,28.2359925847
280,28.2408008891
281,28.2415912541
282,28.2717454581
283,28.2765400629
284,28.3061442496
285,28.3187569873
286,28.3235694465
287,28.3289618589
288,28.332322841
289,28.3343062368
290,28.338374276
291,28.338374276
292,28.3501211206
293,28.376746304
294,28.376746304
295,28.3934649019
296,28.3980183521
297,28.4045543078
298,28.4760119507
299,28.4907320343
