Time(Iteration),CAB,CAB_nodecide,CAB_noupdate,CAB_original,LinUCB
0,4.17862782669,4.17862782669,4.89413972102,5.68467801894,7.05463223857
1,5.88828124513,5.88828124513,7.22980804207,10.749381575,13.0849774238
2,7.47130318383,7.47130318383,9.11889275489,14.5728444339,18.3887990785
3,8.64169948514,8.64169948514,11.5995794653,17.7983385566,22.3082518552
4,9.43906924149,9.43906924149,13.2793285246,20.87516314,24.5166554745
5,9.98893907716,9.98893907716,15.384373873,23.5877563548,27.8319644878
6,10.500146131,10.500146131,17.0810118386,25.7347682697,30.2705233856
7,10.9442280593,10.9442280593,19.0295866506,28.2941664029,31.7842316195
8,11.2314106201,11.2314106201,20.6260553082,31.1328546695,33.6913305723
9,11.372009614,11.372009614,21.2806089249,32.3847766361,35.0621825219
10,11.7921656815,11.7921656815,22.2989623779,34.131439777,36.4466018986
11,12.1051025315,12.1051025315,23.3407333885,35.5349083912,38.2847748617
12,12.2709607477,12.2709607477,24.2500644913,36.712813545,39.2179195598
13,12.5980535343,12.5980535343,25.3820394502,37.3778869975,40.606367099
14,12.890480347,12.890480347,26.2787209701,38.1540797671,41.3849617436
15,12.998055409,12.998055409,27.5006084723,38.6277618669,42.4950993898
16,13.3582855923,13.3582855923,28.5490254434,39.7682700654,43.5479547522
17,13.3969960454,13.3969960454,29.3211258713,40.5426761784,44.3456831317
18,13.3969960454,13.3969960454,30.0638549163,41.4895012667,45.0922446936
19,13.5193769402,13.5193769402,31.3021924056,42.1340826443,45.89433008
20,13.5860290195,13.5860290195,31.7855631759,42.5973975727,46.4675185295
21,13.7157411764,13.7157411764,32.4733066732,42.9034752633,47.1383287588
22,13.7235701653,13.7235701653,33.2074867862,43.6657382825,47.4493990411
23,13.7326474246,13.7326474246,33.6231998732,44.1874845864,48.2323707099
24,13.7589181367,13.7589181367,34.011190909,44.4864796744,48.4299739063
25,13.779876404,13.779876404,34.6051417935,44.9114495904,48.973942065
26,13.8191430997,13.8191430997,35.0799792807,45.2161534941,49.3439558259
27,13.8191430997,13.8191430997,35.5099443556,45.5664727367,49.8519824669
28,13.8404161601,13.8404161601,35.7233951217,46.2708374184,50.3352562292
29,14.0048166538,14.0048166538,36.320614362,46.8410153686,50.9286968248
30,14.0185164319,14.0185164319,36.4887092566,47.1287550991,51.637406548
31,14.1368747341,14.1368747341,36.7776816652,47.6590481989,52.1833613606
32,14.1421762566,14.1421762566,37.2260506754,48.0532031487,52.4838557552
33,14.1421762566,14.1421762566,37.2924559716,48.1522421164,52.7520464686
34,14.1540464501,14.1540464501,37.5365970052,48.594523588,53.0879819067
35,14.1736946043,14.1736946043,37.628623542,48.6429578074,53.3252343813
36,14.1812959227,14.1812959227,37.8583820623,48.8133083644,53.5983054413
37,14.1812959227,14.1812959227,37.9790490674,49.0241136528,53.8203233812
38,14.1890915296,14.1890915296,38.0113103483,49.2189524491,53.9235739333
