Time(Iteration),CABCoTheta,CAB_originalCoTheta,,,,,,
0,0.312426320723,0.312426320723,,,,,,
1,0.304816214185,0.304816214185,,,,,,
2,0.295549448874,0.295549448874,,,,,,
3,0.29082170378,0.29082170378,,,,,,
4,0.284953509565,0.284953509565,,,,,,
5,0.278482065025,0.278482065025,,,,,,
6,0.272197895437,0.272197895437,,,,,,
7,0.267713732073,0.267713732073,,,,,,
8,0.263389022299,0.263389022299,,,,,,
9,0.258260016957,0.258260016957,,,,,,
10,0.251490430555,0.251490430555,,,,,,
11,0.248348305003,0.248348305003,,,,,,
12,0.239105882752,0.239105882752,,,,,,
13,0.228636324209,0.228636324209,,,,,,
14,0.225231450521,0.225231450521,,,,,,
15,0.221861447379,0.221861447379,,,,,,
16,0.21530511806,0.21530511806,,,,,,
17,0.210751003375,0.210751003375,,,,,,
18,0.204030925518,0.204030925518,,,,,,
19,0.195659437592,0.195659437592,,,,,,
20,0.189892463649,0.189892463649,,,,,,
21,0.187009116098,0.187009116098,,,,,,
22,0.184706313827,0.184704279388,,,,,,
23,0.179174176257,0.179094626283,,,,,,
24,0.176496092062,0.176435617132,,,,,,
25,0.17445786176,0.174390691473,,,,,,
26,0.173852592821,0.17381384974,,,,,,
27,0.172162494954,0.172204799479,,,,,,
28,0.170691546834,0.170799896054,,,,,,
29,0.169126076557,0.169377840918,,,,,,
30,0.16837200142,0.168606999899,,,,,,
31,0.167967993821,0.168156098463,,,,,,
32,0.167159253584,0.167247227574,,,,,,
33,0.165602781139,0.165905476326,,,,,,
34,0.15923697756,0.159393442248,,,,,,
35,0.155259730584,0.155765024607,,,,,,
36,0.154688882466,0.155294394427,,,,,,
37,0.152183884672,0.152963532364,,,,,,
38,0.151013287298,0.151966223067,,,,,,
39,0.150151274962,0.150940180223,,,,,,
40,0.148454811911,0.149362934728,,,,,,
41,0.147226421135,0.148421129902,,,,,,
42,0.145062259093,0.146436585593,,,,,,
43,0.141041601237,0.143217717409,,,,,,
44,0.139707807812,0.141687974993,,,,,,
45,0.13815732728,0.140199452146,,,,,,
46,0.13598534421,0.137659869587,,,,,,
47,0.134862768174,0.136697517624,,,,,,
48,0.134017971316,0.135928474155,,,,,,
49,0.133157514693,0.135154639417,,,,,,
50,0.132313256583,0.134479686093,,,,,,
51,0.13142611575,0.133559681538,,,,,,
52,0.130978770728,0.132941429767,,,,,,
53,0.129802957492,0.132146079941,,,,,,
54,0.128539336911,0.130858197082,,,,,,
55,0.128137051791,0.130303842163,,,,,,
56,0.127703254213,0.130061555694,,,,,,
57,0.127101505716,0.129392390913,,,,,,
58,0.126664400707,0.128517282691,,,,,,
59,0.12528238334,0.127263318776,,,,,,
60,0.124371883041,0.125159933487,,,,,,
61,0.122208544798,0.123083592996,,,,,,
62,0.122107169207,0.122819183648,,,,,,
63,0.120330448691,0.120424905157,,,,,,
64,0.119176193194,0.118854095578,,,,,,
65,0.118569739495,0.118198254549,,,,,,
66,0.118552035886,0.11819150606,,,,,,
67,0.118048194034,0.117694168068,,,,,,
