Time(Iteration),CAB_full,CAB_cbj,CAB_original,CAB_cbij,LinUCB
0,7.62405731466,7.62405731466,8.23365217445,7.62405731466,6.8695428925
1,14.331698721,13.7377297717,13.6093507259,13.4779625723,12.108840037
2,18.5591851748,18.8014180297,18.4213289323,18.5298891775,16.1193049319
3,21.2785340056,20.5054950715,22.8013919209,20.1468360112,19.3777504768
4,25.0805511951,23.2881683132,26.3621116434,23.5207466748,23.6477707446
5,29.2254798286,26.4004875206,28.9926069504,27.4476381157,26.712237034
6,32.7362690549,28.2460916221,32.1027119923,29.6974253352,28.6726666756
7,35.6363425238,30.1100635722,35.0067536764,31.8576450507,30.3523984785
8,37.2954124622,32.6894974005,37.2751788894,33.7482401767,32.2570381617
9,38.7940294625,34.4614816391,39.6760772159,34.8687783561,33.8146214157
10,40.1982433637,35.8433648617,41.3026066457,36.0451821453,35.7872158576
11,42.3333492653,37.4980578407,42.5853465765,37.6701897425,37.3491774285
12,44.6370868227,38.6424851786,44.2761935992,38.372138977,38.5789611761
13,45.7526494693,39.7677046018,45.4121390382,39.1400130675,39.386212421
14,46.930342906,41.1082882896,46.5914794161,39.6304228458,40.5187652356
15,48.0322848783,41.7785381133,47.9255440328,40.6161293752,41.6495779676
16,49.7716132403,42.5076693839,49.9725832842,41.455992152,43.5428661821
17,51.289908012,42.9943194621,51.3549620354,42.0495418722,44.7998292354
18,52.687782786,43.6638621133,52.2408096455,42.6454858227,45.5941195673
19,53.0657052282,44.4578495589,53.1390333459,43.023353393,46.6131806592
20,53.7693375955,45.0104372739,53.6619935442,43.5014648439,47.040366189
21,54.5507954475,46.0106233628,54.5575680319,43.9404686673,47.5704729065
22,55.3973432343,46.3605398783,55.6079016476,44.2092022255,48.6046996518
23,56.028861902,46.9789830122,56.3322073837,44.6151010649,49.1408304645
24,56.7716519633,47.3785196813,56.9816888977,45.0843924849,49.8697040096
25,57.1831255133,47.5797919667,57.7503569334,45.1715931616,50.183395984
26,57.3630795509,47.9860546951,58.135697227,45.5332931568,50.4064943919
27,57.8664900427,48.2230588889,58.6352937716,45.7805228901,50.9869048131
28,58.2072859363,48.4091400411,59.145855015,46.1909486797,51.8350127068
29,58.6036283955,48.7800352583,59.782218757,46.8155889085,52.2438297119
30,59.2370483162,49.1237164289,60.398425031,47.2186783987,52.6758521046
31,59.7974502364,49.558597421,60.7645108355,47.5985122437,53.0825267055
32,60.2971598815,49.8852997967,61.2971011559,47.8622076252,53.6430355187
33,60.4971441131,50.1129911936,61.4823927217,48.1039437405,54.0723340428
34,61.1075352076,50.5456339856,62.0953106589,48.3311195319,54.7595878792
35,61.3236013862,50.8477905766,62.5384030997,48.6314670957,54.9981191982
36,61.657200002,51.2606858655,62.9359422118,48.7782952692,55.3872508222
37,61.9741550849,51.6093594683,63.6123620934,49.0019053804,55.8045128041
38,62.2859021368,52.0386315477,63.8150242214,49.241664593,56.1873625953
39,62.3998381125,52.1735013686,64.1516851055,49.4115288177,56.5539765169
40,62.613004467,52.3300246505,64.4555109757,49.5046201415,56.8810501948
41,62.64840845,52.505925961,64.6069284706,49.6795110542,57.0526627121
42,62.9614292237,52.7069321568,64.9394677438,49.9844851966,57.316050972
43,63.1441045957,52.8498667614,65.0461787535,49.9854343896,57.4227619817
44,63.5612614154,53.0369794631,65.8948087539,50.2463456298,57.8501418291
45,63.7768648684,53.2452524094,66.0151066366,50.3047664162,57.9915265353
46,64.2291434364,53.55505797,66.3321064901,50.5817685517,58.4287476065
47,64.2628525651,53.5887670986,66.5133424154,50.6283524892,58.649461307
48,64.4246579096,54.2750116899,66.8471697776,50.9704747056,58.9529928055
49,64.6566386696,54.5573352443,66.9596283769,51.1606881036,59.2575858921
50,64.8974347007,54.7070338618,67.1959174242,51.4222479218,59.491915199
51,65.1904540026,54.7796592791,67.4428503384,51.7390927782,59.7000174076
52,65.3072798702,54.83176479,67.4792373577,51.834294144,59.8060569763
53,65.5072345388,54.9391481515,67.5882410522,51.9770691044,59.8871257388
54,65.7239618591,55.0134889152,67.7123784691,52.0511661036,60.0429100515
55,66.0741887925,55.1081693372,67.9488992038,52.2415687872,60.3405962337
56,66.3676122392,55.4114330019,68.2006084981,52.7171733151,60.4917346333
