Time(Iteration),CAB_true_increase,CAB_original,CAB_optimal,LinUCB
0,5.6689182908,6.7743463491,5.6689182908,5.6689182908
1,10.4271413225,12.278463145,9.35295957523,10.4271413225
2,15.383433611,17.7582614378,11.9137056674,14.7430692169
3,19.1030485645,21.6101515749,14.3722474497,18.0470893796
4,21.6135913916,24.0966814066,15.8881312089,20.8972747999
5,23.7554769123,27.1432063829,17.8693073397,22.7110417638
6,26.0097069391,29.0443428824,19.4211922705,25.4709752806
7,27.9700248292,31.3148208061,21.1648211892,27.6013076784
8,29.5086007891,33.1834743957,22.578138069,29.3826657305
9,30.8007771525,34.6262550144,24.0129848754,30.7575352955
10,32.2822430061,35.9064821441,25.2345244234,32.35961712
11,33.4840614414,38.1534552252,25.7289745383,33.7650010714
12,34.653041239,39.5838759402,26.4182255204,35.4243670602
13,35.360319611,41.296052286,26.9313878962,36.8257210685
14,36.4743130706,42.853786875,27.7259748012,38.0941216076
15,37.1921530749,43.8622928455,28.3715123274,39.4143950972
16,37.9108559097,44.6186556131,28.86868721,40.4825554277
17,38.6357140988,45.6691171464,29.2841893267,41.6888158341
18,39.4271162501,47.2905197403,29.9381368402,42.5341820941
19,39.7977930026,48.6038600515,30.2625639253,43.1301846746
20,40.3403589363,48.8554531407,30.7072731837,43.7642666398
21,40.6724190183,49.6285127626,30.9531878027,44.0849507907
22,41.0279574776,50.1493179889,31.3599009976,44.7022924684
23,41.3821630854,50.9523022048,31.5942210871,45.3142242742
24,41.6709262528,51.7595531061,31.8276427601,46.0165470713
25,41.7941249382,52.2475837913,31.9634245826,46.6176488645
26,41.8672543961,52.6721877433,32.0355796444,47.3022341911
27,41.8830727964,53.2182745131,32.2276365349,47.6156105288
28,42.0589254419,53.7423852835,32.3114521712,48.1731177996
29,42.2350395547,54.0378971267,32.4707558109,48.801047383
30,42.3927629892,54.4997755113,32.8116687472,49.24283195
31,42.5255478693,54.8727836913,33.0663706511,49.5220313141
32,42.7615923042,55.1902118782,33.3610986007,49.7936438637
33,42.7751178752,55.383383215,33.4824737454,50.1511381912
34,42.9571279248,55.9771957174,33.6199422077,50.5261433037
35,43.0829806709,56.3022586512,33.9308339298,50.7013082259
36,43.1604925077,56.5047075117,33.9893330444,50.9572185285
37,43.3018990578,57.1604615565,34.1040372417,51.3638438286
38,43.3840103515,57.311828312,34.1861485354,51.3850984632
39,43.5202537452,57.4711204383,34.3036587002,51.7755456569
40,43.6093486279,57.5805094502,34.3036587002,52.2549410651
41,43.78633127,57.6824393547,34.434390938,52.3387288918
42,43.8802606811,57.8183056682,34.4969531413,52.5009356184
43,43.9669792303,57.8784737378,34.8050353943,52.6237319473
44,44.0639118801,58.2301013092,34.9538924953,52.6920437971
45,44.4127294411,58.7527951967,35.2215573869,53.1656022561
46,44.4717024816,58.7927765403,35.3480876935,53.3316396739
